GENE_ID	locusLine	bin_1_21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam
1_MACS_peak_21357_lociStitched	chr20(.):21493047-21494178	0.9632
1_MACS_peak_21358_lociStitched	chr20(.):21495290-21495621	0.5416
2_MACS_peak_21359_lociStitched	chr20(.):21496764-21500839	1.1776
1_MACS_peak_21361_lociStitched	chr20(.):22677709-22677941	7.5471
1_MACS_peak_21362_lociStitched	chr20(.):23100798-23101106	0.7383
1_MACS_peak_21363_lociStitched	chr20(.):23968066-23968383	0.5446
1_MACS_peak_21364_lociStitched	chr20(.):25064849-25065559	0.7342
6_MACS_peak_21365_lociStitched	chr20(.):25835358-25843263	0.9664
2_MACS_peak_21371_lociStitched	chr20(.):25844666-25847138	0.8228
1_MACS_peak_21373_lociStitched	chr20(.):25848509-25849048	0.8213
1_MACS_peak_21374_lociStitched	chr20(.):29516814-29517045	1.4788
1_MACS_peak_21376_lociStitched	chr20(.):30175576-30176490	0.9978
1_MACS_peak_21377_lociStitched	chr20(.):30193229-30194229	0.9699
2_MACS_peak_21378_lociStitched	chr20(.):30425611-30433695	1.3677
3_MACS_peak_21380_lociStitched	chr20(.):30434744-30461310	1.6637
2_MACS_peak_21383_lociStitched	chr20(.):30466740-30469153	0.6856
2_MACS_peak_21385_lociStitched	chr20(.):30510676-30511791	0.6466
1_MACS_peak_21387_lociStitched	chr20(.):30513195-30514287	0.9494
1_MACS_peak_21388_lociStitched	chr20(.):30542528-30542909	0.5212
5_MACS_peak_21389_lociStitched	chr20(.):30550161-30557480	0.929
4_MACS_peak_21394_lociStitched	chr20(.):30560077-30564477	0.8895
6_MACS_peak_21398_lociStitched	chr20(.):30567626-30573228	0.8052
5_MACS_peak_21404_lociStitched	chr20(.):30578509-30589824	1.2712
8_MACS_peak_21409_lociStitched	chr20(.):30591336-30600012	0.8942
1_MACS_peak_21417_lociStitched	chr20(.):30601058-30601402	0.7364
1_MACS_peak_21418_lociStitched	chr20(.):30603669-30604022	0.6043
1_MACS_peak_21419_lociStitched	chr20(.):30605433-30605986	1.0313
2_MACS_peak_21420_lociStitched	chr20(.):30607156-30612433	1.3218
1_MACS_peak_21422_lociStitched	chr20(.):30613492-30614136	0.9116
2_MACS_peak_21423_lociStitched	chr20(.):30616240-30619366	0.9156
2_MACS_peak_21425_lociStitched	chr20(.):30620541-30623757	0.9034
8_MACS_peak_21427_lociStitched	chr20(.):30638605-30652964	1.1653
2_MACS_peak_21435_lociStitched	chr20(.):30661560-30665720	0.9954
3_MACS_peak_21437_lociStitched	chr20(.):30670980-30673193	0.9413
1_MACS_peak_21440_lociStitched	chr20(.):30686039-30686385	0.6592
3_MACS_peak_21441_lociStitched	chr20(.):31158652-31160141	0.8191
3_MACS_peak_21444_lociStitched	chr20(.):31168726-31171811	0.9606
2_MACS_peak_21447_lociStitched	chr20(.):31173283-31178171	1.3297
3_MACS_peak_21449_lociStitched	chr20(.):31209464-31212550	0.8211
1_MACS_peak_21452_lociStitched	chr20(.):31221776-31222237	0.7677
1_MACS_peak_21453_lociStitched	chr20(.):31485355-31485893	0.7637
2_MACS_peak_21454_lociStitched	chr20(.):31495074-31496469	0.8825
1_MACS_peak_21456_lociStitched	chr20(.):31505317-31506382	0.9645
1_MACS_peak_21457_lociStitched	chr20(.):31507638-31508042	0.6079
2_MACS_peak_21458_lociStitched	chr20(.):31564636-31565645	0.689
2_MACS_peak_21460_lociStitched	chr20(.):31572509-31574778	0.844
6_MACS_peak_21462_lociStitched	chr20(.):31595258-31604861	1.0514
3_MACS_peak_21468_lociStitched	chr20(.):31606128-31609022	0.9135
1_MACS_peak_21471_lociStitched	chr20(.):31620652-31621120	1.0011
3_MACS_peak_21472_lociStitched	chr20(.):31622369-31624589	0.7554
1_MACS_peak_21475_lociStitched	chr20(.):31628093-31628418	0.7228
4_MACS_peak_21476_lociStitched	chr20(.):31646897-31651041	0.9121
4_MACS_peak_21480_lociStitched	chr20(.):31656767-31660515	0.8107
1_MACS_peak_21484_lociStitched	chr20(.):31663278-31663678	0.8504
3_MACS_peak_21485_lociStitched	chr20(.):31672048-31674503	0.9984
1_MACS_peak_21488_lociStitched	chr20(.):31679743-31680083	0.5692
1_MACS_peak_21489_lociStitched	chr20(.):31690335-31690723	0.743
1_MACS_peak_21490_lociStitched	chr20(.):31693324-31693635	0.8028
1_MACS_peak_21491_lociStitched	chr20(.):31700004-31700331	0.5573
2_MACS_peak_21492_lociStitched	chr20(.):31720531-31721751	0.8555
1_MACS_peak_21494_lociStitched	chr20(.):31743624-31743932	0.5577
1_MACS_peak_21495_lociStitched	chr20(.):31765572-31765982	0.8646
1_MACS_peak_21496_lociStitched	chr20(.):31769437-31770096	0.7375
1_MACS_peak_21497_lociStitched	chr20(.):31772719-31773089	0.6311
1_MACS_peak_21498_lociStitched	chr20(.):31819753-31820127	0.6397
1_MACS_peak_21499_lociStitched	chr20(.):31861626-31861961	0.7405
16_MACS_peak_21500_lociStitched	chr20(.):31863280-31879326	0.8171
1_MACS_peak_21516_lociStitched	chr20(.):31892440-31894483	0.8602
3_MACS_peak_21517_lociStitched	chr20(.):31905290-31908722	0.8911
8_MACS_peak_21520_lociStitched	chr20(.):31909797-31920698	0.8878
3_MACS_peak_21528_lociStitched	chr20(.):33874778-33882946	1.1313
1_MACS_peak_21531_lociStitched	chr20(.):34204559-34206530	1.0034
1_MACS_peak_21532_lociStitched	chr20(.):34680680-34681549	1.5837
1_MACS_peak_21533_lociStitched	chr20(.):34853333-34854128	0.7146
2_MACS_peak_21534_lociStitched	chr20(.):34861709-34863544	0.7015
2_MACS_peak_21536_lociStitched	chr20(.):34884944-34886553	0.7199
3_MACS_peak_21538_lociStitched	chr20(.):34892394-34896911	1.4221
1_MACS_peak_21541_lociStitched	chr20(.):34947229-34947624	0.6402
3_MACS_peak_21542_lociStitched	chr20(.):34948801-34950985	0.8004
4_MACS_peak_21545_lociStitched	chr20(.):34958957-34972981	1.3884
5_MACS_peak_21549_lociStitched	chr20(.):34976176-34984368	0.9871
7_MACS_peak_21554_lociStitched	chr20(.):34986437-34998271	0.9701
1_MACS_peak_21561_lociStitched	chr20(.):34999469-34999843	0.6846
5_MACS_peak_21562_lociStitched	chr20(.):35002816-35007857	0.973
1_MACS_peak_21567_lociStitched	chr20(.):35013906-35014731	0.7573
1_MACS_peak_21568_lociStitched	chr20(.):35016944-35017343	0.8954
3_MACS_peak_21569_lociStitched	chr20(.):35019931-35023679	0.9238
1_MACS_peak_21572_lociStitched	chr20(.):35031248-35031668	0.7015
1_MACS_peak_21573_lociStitched	chr20(.):35033962-35034520	1.0062
1_MACS_peak_21574_lociStitched	chr20(.):35036268-35036674	0.5618
3_MACS_peak_21575_lociStitched	chr20(.):35039080-35040839	0.628
1_MACS_peak_21578_lociStitched	chr20(.):35050116-35050644	0.834
2_MACS_peak_21579_lociStitched	chr20(.):36036482-36038816	0.8627
5_MACS_peak_21581_lociStitched	chr20(.):36043268-36056020	1.132
1_MACS_peak_21586_lociStitched	chr20(.):36057158-36057832	0.7655
1_MACS_peak_21587_lociStitched	chr20(.):36193094-36193598	0.8378
1_MACS_peak_21588_lociStitched	chr20(.):36527109-36527460	0.6977
3_MACS_peak_21589_lociStitched	chr20(.):36530553-36533834	0.8656
4_MACS_peak_21592_lociStitched	chr20(.):36535553-36538179	0.7364
1_MACS_peak_21596_lociStitched	chr20(.):36540975-36541395	0.6949
3_MACS_peak_21597_lociStitched	chr20(.):36557452-36560628	0.9326
1_MACS_peak_21600_lociStitched	chr20(.):37287383-37287699	0.6306
1_MACS_peak_21601_lociStitched	chr20(.):37294956-37295514	0.8344
3_MACS_peak_21602_lociStitched	chr20(.):37325602-37331099	1.1131
1_MACS_peak_21605_lociStitched	chr20(.):37343757-37344591	0.8098
4_MACS_peak_21606_lociStitched	chr20(.):37348136-37360103	1.3811
2_MACS_peak_21610_lociStitched	chr20(.):39311201-39313163	0.9749
1_MACS_peak_21612_lociStitched	chr20(.):39318955-39321994	1.5433
3_MACS_peak_21613_lociStitched	chr20(.):39992990-39996441	0.8017
1_MACS_peak_21616_lociStitched	chr20(.):42815384-42815704	0.69
1_MACS_peak_21617_lociStitched	chr20(.):43041223-43041822	0.9263
9_MACS_peak_21618_lociStitched	chr20(.):43318354-43335700	1.1117
2_MACS_peak_21627_lociStitched	chr20(.):43337665-43340645	0.9735
2_MACS_peak_21629_lociStitched	chr20(.):43342087-43344795	0.8399
3_MACS_peak_21631_lociStitched	chr20(.):43346954-43351083	0.9654
1_MACS_peak_21634_lociStitched	chr20(.):43371615-43372219	0.8646
1_MACS_peak_21635_lociStitched	chr20(.):43374176-43376146	1.2774
5_MACS_peak_21636_lociStitched	chr20(.):43377832-43387440	1.0732
1_MACS_peak_21641_lociStitched	chr20(.):43394289-43394870	0.8441
1_MACS_peak_21642_lociStitched	chr20(.):43399415-43399732	0.5742
1_MACS_peak_21643_lociStitched	chr20(.):43400904-43402019	1.052
1_MACS_peak_21644_lociStitched	chr20(.):43403559-43403970	0.5909
1_MACS_peak_21645_lociStitched	chr20(.):43440396-43440789	0.8624
1_MACS_peak_21646_lociStitched	chr20(.):43921431-43922127	0.7742
1_MACS_peak_21647_lociStitched	chr20(.):43935124-43935642	0.8946
1_MACS_peak_21648_lociStitched	chr20(.):43944692-43945690	0.8467
1_MACS_peak_21649_lociStitched	chr20(.):44034328-44035291	1.0097
1_MACS_peak_21650_lociStitched	chr20(.):44540370-44541011	0.8626
1_MACS_peak_21651_lociStitched	chr20(.):44570590-44570881	1.5546
1_MACS_peak_21652_lociStitched	chr20(.):44622102-44622395	0.7455
2_MACS_peak_21653_lociStitched	chr20(.):44636417-44642475	1.4103
7_MACS_peak_21655_lociStitched	chr20(.):44651520-44664645	1.1277
1_MACS_peak_21662_lociStitched	chr20(.):44665704-44666110	0.748
1_MACS_peak_21663_lociStitched	chr20(.):44672046-44672523	0.8076
1_MACS_peak_21664_lociStitched	chr20(.):44673740-44674783	0.9293
1_MACS_peak_21665_lociStitched	chr20(.):44678247-44679067	0.7879
2_MACS_peak_21666_lociStitched	chr20(.):44757470-44758840	0.6261
1_MACS_peak_21668_lociStitched	chr20(.):44760756-44761132	0.8246
2_MACS_peak_21669_lociStitched	chr20(.):44764333-44765574	0.7827
5_MACS_peak_21671_lociStitched	chr20(.):44766815-44770083	0.7813
6_MACS_peak_21676_lociStitched	chr20(.):44776716-44782392	1.0034
5_MACS_peak_21682_lociStitched	chr20(.):44786380-44790719	0.8029
6_MACS_peak_21687_lociStitched	chr20(.):44798278-44809926	1.0275
1_MACS_peak_21693_lociStitched	chr20(.):44812227-44812558	0.6863
1_MACS_peak_21694_lociStitched	chr20(.):44822259-44822550	0.6973
3_MACS_peak_21695_lociStitched	chr20(.):44824298-44827025	0.7523
3_MACS_peak_21698_lociStitched	chr20(.):44828782-44833696	0.9562
3_MACS_peak_21701_lociStitched	chr20(.):44837686-44841637	1.1783
2_MACS_peak_21704_lociStitched	chr20(.):44853319-44854974	0.7043
2_MACS_peak_21706_lociStitched	chr20(.):44868656-44869769	0.7944
1_MACS_peak_21708_lociStitched	chr20(.):44870907-44871550	0.7909
4_MACS_peak_21709_lociStitched	chr20(.):44872949-44876717	0.753
2_MACS_peak_21713_lociStitched	chr20(.):44880170-44882597	0.8558
1_MACS_peak_21715_lociStitched	chr20(.):44884086-44884404	0.6617
2_MACS_peak_21716_lociStitched	chr20(.):44886053-44887620	0.8333
1_MACS_peak_21718_lociStitched	chr20(.):44896311-44896700	0.7732
5_MACS_peak_21719_lociStitched	chr20(.):44910351-44915934	0.9276
1_MACS_peak_21724_lociStitched	chr20(.):44919209-44919595	0.7446
4_MACS_peak_21725_lociStitched	chr20(.):44922955-44927921	0.9498
6_MACS_peak_21729_lociStitched	chr20(.):44930927-44947176	1.2756
8_MACS_peak_21735_lociStitched	chr20(.):44949625-44962414	1.0231
2_MACS_peak_21743_lociStitched	chr20(.):44966137-44967914	0.6112
2_MACS_peak_21745_lociStitched	chr20(.):44969204-44973319	1.2486
1_MACS_peak_21747_lociStitched	chr20(.):45337810-45338411	0.7618
1_MACS_peak_21748_lociStitched	chr20(.):46523291-46524919	3.5311
1_MACS_peak_21749_lociStitched	chr20(.):46750902-46753102	1.0544
1_MACS_peak_21750_lociStitched	chr20(.):47100775-47101154	0.6181
3_MACS_peak_21751_lociStitched	chr20(.):47102575-47104675	0.8072
2_MACS_peak_21754_lociStitched	chr20(.):47128762-47133281	2.559
1_MACS_peak_21756_lociStitched	chr20(.):47443072-47444245	0.9352
1_MACS_peak_21757_lociStitched	chr20(.):47935060-47935902	0.7535
1_MACS_peak_21758_lociStitched	chr20(.):48025355-48025689	0.7967
3_MACS_peak_21759_lociStitched	chr20(.):48121908-48124961	0.837
1_MACS_peak_21762_lociStitched	chr20(.):48127057-48127471	0.896
1_MACS_peak_21763_lociStitched	chr20(.):48130038-48131047	0.8608
2_MACS_peak_21764_lociStitched	chr20(.):48234244-48236111	0.8456
1_MACS_peak_21766_lociStitched	chr20(.):48596182-48596619	0.5921
1_MACS_peak_21767_lociStitched	chr20(.):48597645-48598815	0.8283
1_MACS_peak_21768_lociStitched	chr20(.):48640536-48641067	0.7481
1_MACS_peak_21769_lociStitched	chr20(.):48771646-48771938	0.7432
1_MACS_peak_21770_lociStitched	chr20(.):48800178-48803010	0.9501
1_MACS_peak_21771_lociStitched	chr20(.):48805525-48806056	1.06
2_MACS_peak_21772_lociStitched	chr20(.):48830585-48832158	0.9091
2_MACS_peak_21774_lociStitched	chr20(.):48834540-48836695	0.7771
3_MACS_peak_21776_lociStitched	chr20(.):48838090-48840427	0.834
1_MACS_peak_21779_lociStitched	chr20(.):48842405-48842836	0.8247
2_MACS_peak_21780_lociStitched	chr20(.):48844982-48846292	0.7889
2_MACS_peak_21782_lociStitched	chr20(.):48847617-48849313	0.7756
1_MACS_peak_21784_lociStitched	chr20(.):48850542-48851383	0.8527
1_MACS_peak_21785_lociStitched	chr20(.):48852890-48853208	0.5454
5_MACS_peak_21786_lociStitched	chr20(.):48854342-48860319	0.822
1_MACS_peak_21791_lociStitched	chr20(.):48863880-48865087	1.0842
1_MACS_peak_21792_lociStitched	chr20(.):48866265-48866897	1.2106
1_MACS_peak_21793_lociStitched	chr20(.):48868273-48868720	0.602
1_MACS_peak_21794_lociStitched	chr20(.):48869779-48870256	0.7387
1_MACS_peak_21795_lociStitched	chr20(.):48873005-48873433	0.5839
1_MACS_peak_21796_lociStitched	chr20(.):48875785-48876157	0.6091
14_MACS_peak_21797_lociStitched	chr20(.):48881506-48916142	1.1689
7_MACS_peak_21811_lociStitched	chr20(.):48918572-48932614	1.0429
2_MACS_peak_21818_lociStitched	chr20(.):48933619-48934980	0.909
3_MACS_peak_21820_lociStitched	chr20(.):48936297-48939870	0.9205
1_MACS_peak_21823_lociStitched	chr20(.):48941032-48941311	0.5138
1_MACS_peak_21824_lociStitched	chr20(.):48945317-48945714	0.6926
2_MACS_peak_21825_lociStitched	chr20(.):48947367-48950719	1.0147
8_MACS_peak_21827_lociStitched	chr20(.):48956627-48982022	1.1869
7_MACS_peak_21835_lociStitched	chr20(.):48983606-48991546	1.0778
1_MACS_peak_21842_lociStitched	chr20(.):48993474-48994347	0.8741
1_MACS_peak_21843_lociStitched	chr20(.):49004911-49005781	0.9389
2_MACS_peak_21844_lociStitched	chr20(.):49010684-49012422	1.058
1_MACS_peak_21846_lociStitched	chr20(.):49013664-49014239	0.824
1_MACS_peak_21847_lociStitched	chr20(.):49016116-49016688	0.921
11_MACS_peak_21848_lociStitched	chr20(.):49019497-49034992	0.9959
2_MACS_peak_21859_lociStitched	chr20(.):49036014-49037585	1.0838
6_MACS_peak_21861_lociStitched	chr20(.):49042692-49048892	0.8192
1_MACS_peak_21867_lociStitched	chr20(.):49052577-49053345	0.9679
1_MACS_peak_21868_lociStitched	chr20(.):49055696-49055990	0.7135
1_MACS_peak_21869_lociStitched	chr20(.):49065837-49066625	1.2535
1_MACS_peak_21870_lociStitched	chr20(.):49070050-49070537	0.8105
2_MACS_peak_21871_lociStitched	chr20(.):49211525-49213539	0.9754
1_MACS_peak_21873_lociStitched	chr20(.):49224907-49225384	0.7022
3_MACS_peak_21874_lociStitched	chr20(.):49244250-49246363	0.8745
3_MACS_peak_21877_lociStitched	chr20(.):49247649-49250543	1.1028
2_MACS_peak_21880_lociStitched	chr20(.):49306754-49308463	1.0433
3_MACS_peak_21882_lociStitched	chr20(.):49615294-49618036	0.602
1_MACS_peak_21885_lociStitched	chr20(.):49620300-49620669	0.5669
4_MACS_peak_21886_lociStitched	chr20(.):49637064-49640540	0.8272
1_MACS_peak_21890_lociStitched	chr20(.):50178527-50179822	1.2111
2_MACS_peak_21891_lociStitched	chr20(.):52789504-52790748	1.0608
1_MACS_peak_21893_lociStitched	chr20(.):53691324-53691699	0.5514
1_MACS_peak_21894_lociStitched	chr20(.):55201346-55202634	1.0615
2_MACS_peak_21895_lociStitched	chr20(.):55278249-55280138	0.6951
1_MACS_peak_21897_lociStitched	chr20(.):55281966-55282249	0.5417
1_MACS_peak_21898_lociStitched	chr20(.):55284477-55284835	0.5606
1_MACS_peak_21899_lociStitched	chr20(.):55647243-55647795	0.93
1_MACS_peak_21900_lociStitched	chr20(.):55649113-55649804	1.0502
1_MACS_peak_21901_lociStitched	chr20(.):55659460-55659777	0.7043
2_MACS_peak_21902_lociStitched	chr20(.):55662545-55664014	0.912
1_MACS_peak_21904_lociStitched	chr20(.):55675452-55676207	0.8774
5_MACS_peak_21905_lociStitched	chr20(.):55678045-55681351	0.7258
2_MACS_peak_21910_lociStitched	chr20(.):55753764-55755053	0.764
1_MACS_peak_21912_lociStitched	chr20(.):55756061-55756408	0.8229
1_MACS_peak_21913_lociStitched	chr20(.):55757553-55758210	0.7088
1_MACS_peak_21914_lociStitched	chr20(.):55770800-55771690	0.8435
1_MACS_peak_21915_lociStitched	chr20(.):55774370-55774972	0.7232
3_MACS_peak_21916_lociStitched	chr20(.):55777802-55779424	0.8171
1_MACS_peak_21919_lociStitched	chr20(.):55787418-55787967	0.6994
2_MACS_peak_21920_lociStitched	chr20(.):55799069-55800579	0.7265
1_MACS_peak_21922_lociStitched	chr20(.):55802330-55802658	0.4958
1_MACS_peak_21923_lociStitched	chr20(.):55837481-55837947	0.8161
4_MACS_peak_21924_lociStitched	chr20(.):55839408-55842937	0.8856
1_MACS_peak_21928_lociStitched	chr20(.):55844359-55844797	0.8903
1_MACS_peak_21929_lociStitched	chr20(.):55862016-55862500	0.8093
3_MACS_peak_21930_lociStitched	chr20(.):55864695-55866697	0.8707
1_MACS_peak_21933_lociStitched	chr20(.):55867869-55868295	0.7348
1_MACS_peak_21934_lociStitched	chr20(.):55893025-55893565	0.9035
1_MACS_peak_21935_lociStitched	chr20(.):55923079-55923614	0.7538
2_MACS_peak_21936_lociStitched	chr20(.):56109758-56111376	0.6723
1_MACS_peak_21938_lociStitched	chr20(.):56113622-56113996	0.5611
1_MACS_peak_21939_lociStitched	chr20(.):56117893-56118515	0.9459
1_MACS_peak_21940_lociStitched	chr20(.):56120698-56121234	0.9038
1_MACS_peak_21941_lociStitched	chr20(.):56123581-56124478	0.9795
11_MACS_peak_21942_lociStitched	chr20(.):56126455-56168127	1.2856
2_MACS_peak_21953_lociStitched	chr20(.):56169849-56171191	1.1363
2_MACS_peak_21955_lociStitched	chr20(.):56204777-56207868	1.0225
1_MACS_peak_21957_lociStitched	chr20(.):56209627-56210052	0.644
1_MACS_peak_21958_lociStitched	chr20(.):56211204-56211836	0.7328
2_MACS_peak_21959_lociStitched	chr20(.):56222516-56224364	0.7173
1_MACS_peak_21961_lociStitched	chr20(.):56283220-56284369	0.9306
2_MACS_peak_21962_lociStitched	chr20(.):56285883-56287192	0.7892
6_MACS_peak_21964_lociStitched	chr20(.):56294738-56303168	0.9323
1_MACS_peak_21970_lociStitched	chr20(.):56323064-56323422	0.9106
1_MACS_peak_21971_lociStitched	chr20(.):56326721-56327138	0.7616
2_MACS_peak_21972_lociStitched	chr20(.):56328308-56329952	0.6787
1_MACS_peak_21974_lociStitched	chr20(.):56346091-56346420	0.4798
1_MACS_peak_21975_lociStitched	chr20(.):56348920-56349295	0.7429
1_MACS_peak_21976_lociStitched	chr20(.):56358066-56358725	0.9179
2_MACS_peak_21977_lociStitched	chr20(.):56366320-56367410	0.7801
1_MACS_peak_21979_lociStitched	chr20(.):56369027-56369623	0.7507
2_MACS_peak_21980_lociStitched	chr20(.):56378702-56379918	0.7705
4_MACS_peak_21982_lociStitched	chr20(.):56382266-56386779	0.8796
1_MACS_peak_21986_lociStitched	chr20(.):56394319-56395505	0.8561
1_MACS_peak_21987_lociStitched	chr20(.):56402107-56402388	0.5986
9_MACS_peak_21988_lociStitched	chr20(.):56404035-56420003	0.9127
5_MACS_peak_21997_lociStitched	chr20(.):56442243-56447589	0.8304
1_MACS_peak_22002_lociStitched	chr20(.):56449016-56449438	0.6667
1_MACS_peak_22003_lociStitched	chr20(.):56452207-56452517	0.577
4_MACS_peak_22004_lociStitched	chr20(.):56453848-56458169	0.8697
1_MACS_peak_22008_lociStitched	chr20(.):56465899-56466436	0.9966
1_MACS_peak_22009_lociStitched	chr20(.):56467658-56468727	0.975
3_MACS_peak_22010_lociStitched	chr20(.):56469853-56474108	0.9113
4_MACS_peak_22013_lociStitched	chr20(.):56480834-56483444	0.8394
1_MACS_peak_22017_lociStitched	chr20(.):56484847-56485158	0.6217
1_MACS_peak_22018_lociStitched	chr20(.):56486846-56487689	0.8402
3_MACS_peak_22019_lociStitched	chr20(.):56497207-56500228	0.7058
1_MACS_peak_22022_lociStitched	chr20(.):56505468-56506037	0.6392
1_MACS_peak_22023_lociStitched	chr20(.):56507403-56507734	0.7681
2_MACS_peak_22024_lociStitched	chr20(.):56509804-56510594	0.6756
2_MACS_peak_22026_lociStitched	chr20(.):56512448-56513539	0.7909
5_MACS_peak_22028_lociStitched	chr20(.):56514667-56518836	0.7492
2_MACS_peak_22033_lociStitched	chr20(.):56534458-56536703	0.7809
1_MACS_peak_22035_lociStitched	chr20(.):56537859-56538395	0.7751
1_MACS_peak_22036_lociStitched	chr20(.):56552602-56552949	0.5656
2_MACS_peak_22037_lociStitched	chr20(.):56554357-56555181	0.7522
1_MACS_peak_22039_lociStitched	chr20(.):56564235-56564612	0.541
1_MACS_peak_22040_lociStitched	chr20(.):56566433-56566713	0.5735
1_MACS_peak_22041_lociStitched	chr20(.):56568799-56569493	0.9676
1_MACS_peak_22042_lociStitched	chr20(.):56574463-56574831	0.8212
1_MACS_peak_22043_lociStitched	chr20(.):56576264-56577172	0.8673
1_MACS_peak_22044_lociStitched	chr20(.):56582984-56583281	0.8099
1_MACS_peak_22045_lociStitched	chr20(.):56586667-56588355	1.0595
3_MACS_peak_22046_lociStitched	chr20(.):56592421-56596705	0.9645
1_MACS_peak_22049_lociStitched	chr20(.):56598540-56599117	0.7931
4_MACS_peak_22050_lociStitched	chr20(.):56613391-56616979	0.9144
1_MACS_peak_22054_lociStitched	chr20(.):56629952-56630288	0.6464
2_MACS_peak_22055_lociStitched	chr20(.):56643874-56646361	0.7272
2_MACS_peak_22057_lociStitched	chr20(.):56651847-56652688	0.6834
1_MACS_peak_22059_lociStitched	chr20(.):56654290-56654753	0.6011
3_MACS_peak_22060_lociStitched	chr20(.):56665078-56668543	1.0241
2_MACS_peak_22063_lociStitched	chr20(.):56672173-56673713	0.7167
1_MACS_peak_22065_lociStitched	chr20(.):56676440-56676776	0.7765
1_MACS_peak_22066_lociStitched	chr20(.):56679077-56679414	0.8426
1_MACS_peak_22067_lociStitched	chr20(.):56686103-56686580	0.8246
1_MACS_peak_22068_lociStitched	chr20(.):56703705-56704093	0.6691
1_MACS_peak_22069_lociStitched	chr20(.):56705648-56706076	0.8275
2_MACS_peak_22070_lociStitched	chr20(.):56707581-56709235	0.7768
1_MACS_peak_22072_lociStitched	chr20(.):56710737-56711116	0.7435
1_MACS_peak_22073_lociStitched	chr20(.):56714797-56715155	0.6255
1_MACS_peak_22074_lociStitched	chr20(.):56719351-56719696	0.7537
3_MACS_peak_22075_lociStitched	chr20(.):56723789-56726665	0.7895
1_MACS_peak_22078_lociStitched	chr20(.):56728143-56728728	0.8868
1_MACS_peak_22079_lociStitched	chr20(.):56730046-56730408	0.849
1_MACS_peak_22080_lociStitched	chr20(.):56733025-56733823	0.9524
4_MACS_peak_22081_lociStitched	chr20(.):56736536-56739070	0.7526
1_MACS_peak_22085_lociStitched	chr20(.):56741577-56742115	0.7828
12_MACS_peak_22086_lociStitched	chr20(.):56747560-56761223	0.877
7_MACS_peak_22098_lociStitched	chr20(.):56764035-56769675	0.8715
16_MACS_peak_22105_lociStitched	chr20(.):56773640-56800802	1.0307
1_MACS_peak_22121_lociStitched	chr20(.):57074406-57074755	0.676
2_MACS_peak_22122_lociStitched	chr20(.):57089061-57090650	0.8771
1_MACS_peak_22124_lociStitched	chr20(.):57093998-57094325	0.7663
1_MACS_peak_22125_lociStitched	chr20(.):57128368-57128775	0.6701
1_MACS_peak_22126_lociStitched	chr20(.):57132635-57133959	1.0926
3_MACS_peak_22127_lociStitched	chr20(.):57140908-57145214	1.034
7_MACS_peak_22130_lociStitched	chr20(.):57147532-57155490	0.9598
5_MACS_peak_22137_lociStitched	chr20(.):57165496-57170317	0.8823
1_MACS_peak_22142_lociStitched	chr20(.):57171520-57172889	0.8413
3_MACS_peak_22143_lociStitched	chr20(.):57180386-57187194	1.1145
7_MACS_peak_22146_lociStitched	chr20(.):57188464-57197799	1.0278
3_MACS_peak_22153_lociStitched	chr20(.):57198933-57201900	0.9174
10_MACS_peak_22156_lociStitched	chr20(.):57203786-57216314	1.0161
1_MACS_peak_22166_lociStitched	chr20(.):57217870-57218324	0.7163
1_MACS_peak_22167_lociStitched	chr20(.):57221949-57222317	0.7534
1_MACS_peak_22168_lociStitched	chr20(.):57225139-57225547	0.5889
1_MACS_peak_22169_lociStitched	chr20(.):57293086-57293567	0.6853
2_MACS_peak_22170_lociStitched	chr20(.):57295860-57297354	0.891
5_MACS_peak_22172_lociStitched	chr20(.):57325407-57331623	1.0192
1_MACS_peak_22177_lociStitched	chr20(.):57333427-57333857	0.7334
4_MACS_peak_22178_lociStitched	chr20(.):57338473-57341762	0.814
7_MACS_peak_22182_lociStitched	chr20(.):57343786-57351348	0.5849
1_MACS_peak_22189_lociStitched	chr20(.):57354768-57355114	0.6536
7_MACS_peak_22190_lociStitched	chr20(.):57357421-57373293	1.1241
12_MACS_peak_22197_lociStitched	chr20(.):57374467-57387873	0.906
1_MACS_peak_22209_lociStitched	chr20(.):57389989-57390297	0.6317
1_MACS_peak_22210_lociStitched	chr20(.):57392716-57393181	0.8026
1_MACS_peak_22211_lociStitched	chr20(.):57394806-57395191	0.6329
1_MACS_peak_22212_lociStitched	chr20(.):57412419-57412736	0.7671
1_MACS_peak_22213_lociStitched	chr20(.):57416826-57417197	0.6057
3_MACS_peak_22214_lociStitched	chr20(.):57426934-57430842	1.2164
1_MACS_peak_22217_lociStitched	chr20(.):57582352-57582787	0.7059
1_MACS_peak_22218_lociStitched	chr20(.):57694256-57694544	0.7315
3_MACS_peak_22219_lociStitched	chr20(.):57695797-57699252	0.7914
2_MACS_peak_22222_lociStitched	chr20(.):57701400-57703265	0.7037
1_MACS_peak_22224_lociStitched	chr20(.):57707930-57708312	0.7826
1_MACS_peak_22225_lociStitched	chr20(.):57718289-57718816	0.7966
2_MACS_peak_22226_lociStitched	chr20(.):57721222-57722716	0.6814
6_MACS_peak_22228_lociStitched	chr20(.):57723760-57731578	0.915
1_MACS_peak_22234_lociStitched	chr20(.):57735124-57735774	0.7907
