REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_29063_lociStitched	chrX	119434904	119445632	2	10097	31647.6	1113.5664	363	FAM70A		FAM70A	FAM70A	0.5019	363	1
3_MACS_peak_20754_lociStitched	chr4	129724194	129741536	3	10104	32446.882	2507.6532	364	PHF17		PHF17	PHF17	0.4592	364	1
2_MACS_peak_19525_lociStitched	chr3	177068666	177079666	2	8076	50945.4	3034.9	366			TBL1XR1	TBL1XR1	0.41159999999999997	366	1
4_MACS_peak_21078_lociStitched	chr4	185366839	185381506	4	9993	33189.9543	2622.4596	368	IRF2		IRF2	IRF2	2.1147	368	1
1_MACS_peak_6714_lociStitched	chr12	102870767	102879405	1	8639	45365.9122	1625.6716	371	IGF1		IGF1	IGF1	0.4335	371	1
3_MACS_peak_8636_lociStitched	chr15	34619307	34635870	3	9856	34818.7386	2688.1749	372	SLC12A6,NOP10	C15orf55,SLC12A6,LPCAT4,MIR1233-1,GOLGA8A	SLC12A6	LPCAT4	0.6467	372	1
3_MACS_peak_22973_lociStitched	chr6	26020335	26034776	3	10003	33117.5453	2878.0913	373	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H1C	1.8192000000000002	373	1
4_MACS_peak_23138_lociStitched	chr6	31618835	31634966	4	9925	34128.3567	2966.4909	374	APOM,CSNK2B,BAT3,C6orf47,GPANK1	AIF1,BAT2,SNORA38,LY6G5B,LY6G6F,LY6G6D,LY6G5C,BAT5,LY6G6E	C6orf47	C6orf47	1.1231	374	1
1_MACS_peak_2181_lociStitched	chr1	197740075	197748641	1	8567	46560.493	2448.1628	375	DENND1B		DENND1B	DENND1B	0.1293	375	1
3_MACS_peak_13119_lociStitched	chr19	16180510	16198103	3	9338	40166.5783	2684.6918	376	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	HSH2D	1.6089	376	1
1_MACS_peak_21924_lociStitched	chr5	109024053	109034295	1	10243	28623.3174	2008.4562	377	MAN2A1		MAN2A1	MAN2A1	0.34440000000000004	377	1
3_MACS_peak_19439_lociStitched	chr3	169657084	169668412	3	8830	44769.3888	3082.3488	380	LOC100128164	SAMD7,SEC62	LOC100128164	LOC100128164	1.5434	380	1
4_MACS_peak_11997_lociStitched	chr17	76137462	76152393	4	9729	34684.713	2341.1808	383	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	SYNGR2	1.6871	383	1
1_MACS_peak_16287_lociStitched	chr20	9489948	9499800	1	9853	31815.0636	1675.8252	384	C20orf103		C20orf103	C20orf103	1.183	384	1
2_MACS_peak_22561_lociStitched	chr5	173696529	173709914	2	9095	40535.134	2353.083	386			HMP19	HMP19	NONE	386	1
3_MACS_peak_13698_lociStitched	chr19	50166203	50182954	3	9931	31664.4153	2802.4423	387	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	IRF3	RRAS	0.7979999999999999	387	1
2_MACS_peak_16868_lociStitched	chr20	56047690	56058206	2	8953	41183.8108	1835.042	388		CTCFL	CTCFL	NONE	NONE	388	1
2_MACS_peak_25427_lociStitched	chr7	106504222	106513650	2	8411	45965.2712	2545.56	390	PIK3CG		PIK3CG	PIK3CG	0.8995000000000001	390	1
3_MACS_peak_17431_lociStitched	chr22	23477906	23488781	3	9366	36896.7	2033.625	391	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.3573	391	1
1_MACS_peak_24113_lociStitched	chr6	138186978	138196005	1	9028	39795.5295	1781.0271	394	TNFAIP3		TNFAIP3	TNFAIP3	1.533	394	1
1_MACS_peak_14726_lociStitched	chr2	86220206	86228679	1	8474	44036.7229	1460.7452	396		LOC90784	LOC90784	NONE	NONE	396	1
1_MACS_peak_1299_lociStitched	chr1	111172925	111181352	1	8428	43942.5915	1017.9816	397		KCNA2,KCNA3	KCNA2	KCNA3	0.8295	397	1
2_MACS_peak_15300_lociStitched	chr2	153914528	153929071	2	9579	34033.5286	2600.2884	401			ARL6IP6	ARL6IP6	NONE	401	1
3_MACS_peak_13079_lociStitched	chr19	13943863	13959270	3	9614	33346.9108	2468.2014	402	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	1.7097	402	1
4_MACS_peak_3839_lociStitched	chr10	104531586	104543103	4	9393	35134.9119	2184.7749	404	C10orf26		C10orf26	C10orf26	0.5389999999999999	404	1
2_MACS_peak_10606_lociStitched	chr16	89033616	89046128	2	9023	37255.7312	1247.4464	405	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.3179	405	1
3_MACS_peak_23191_lociStitched	chr6	33279362	33292758	3	9468	32205.3236	2251.8676	408	TAPBP,ZBTB22,DAXX	RPS18,B3GALT4,PFDN6,VPS52,WDR46,RGL2,LYPLA2P1	ZBTB22	ZBTB22	1.5131999999999999	408	1
2_MACS_peak_11995_lociStitched	chr17	76116472	76129353	2	9189	34311.1197	1923.1333	412	TMC8,TMC6	C17orf99,SYNGR2	TMC6	SYNGR2	1.6871	412	1
2_MACS_peak_7674_lociStitched	chr13	115039297	115048800	2	8505	40283.217	1490.0704	415	UPF3A	CDC16,ZNF828	UPF3A	UPF3A	1.1007	415	1
2_MACS_peak_23109_lociStitched	chr6	30649018	30659459	2	9120	34391.6099	1972.3049	416	KIAA1949,NRM	C6orf136,TUBB,DHX16,MDC1	KIAA1949	TUBB	2.1187	416	1
3_MACS_peak_12104_lociStitched	chr17	80405765	80424040	3	8809	38838.03	3331.5325	417	NARF,C17orf62	HEXDC,C17orf101	NARF	NARF	0.33619999999999994	417	1
2_MACS_peak_16344_lociStitched	chr20	17939683	17952796	2	8733	38811.8574	2692.0989	419	C20orf72,SNX5,SNORD17		SNORD17	SNORD17	0.43379999999999996	419	1
2_MACS_peak_20380_lociStitched	chr4	78735895	78749457	2	9422	30111.7086	2405.8988	423	CNOT6L	MRPL1	CNOT6L	CNOT6L	0.20329999999999998	423	1
2_MACS_peak_4663_lociStitched	chr11	60602730	60613334	2	9461	28969.0676	2325.4572	426	CCDC86	MS4A10,ZP1,GPR44	CCDC86	CCDC86	1.3555	426	1
1_MACS_peak_23786_lociStitched	chr6	106439224	106446838	1	7615	45435.7836	1436.7618	427			PRDM1	PRDM1	5.164000000000001	427	1
4_MACS_peak_14946_lociStitched	chr2	109829413	109843011	4	9307	30897.3756	2417.7244	429	SH3RF3		MIR4265	MIR4265	NONE	429	1
3_MACS_peak_27888_lociStitched	chr9	112668968	112683147	3	7229	49036.6536	2665.652	430	PALM2,PALM2-AKAP2		PALM2	PALM2	0.21719999999999998	430	1
2_MACS_peak_13122_lociStitched	chr19	16221472	16231888	2	9176	31683.3888	1750.9296	431	RAB8A	TPM4,HSH2D	RAB8A	HSH2D	1.6089	431	1
1_MACS_peak_11289_lociStitched	chr17	38016406	38025015	1	8610	37337.233	1631.4055	432	ZPBP2,IKZF3	GSDMB	IKZF3	IKZF3	0.9121999999999999	432	1
2_MACS_peak_19771_lociStitched	chr3	196358027	196371007	2	8315	41259.526	2968.526	433	LRRC33		LRRC33	LRRC33	0.5683	433	1
2_MACS_peak_20284_lociStitched	chr4	71542260	71555189	2	8759	35731.8773	2085.4477	440	UTP3	ENAM,RUFY3,IGJ	UTP3	IGJ	1.1677	440	1
1_MACS_peak_9443_lociStitched	chr15	90637848	90646727	1	8880	33805.9046	1778.4637	442	IDH2		IDH2	IDH2	1.1502000000000001	442	1
4_MACS_peak_6790_lociStitched	chr12	109161940	109180995	4	9062	32831.765	3041.178	444	SSH1	CORO1C,SSH1	CORO1C	CORO1C	0.49039999999999995	444	1
1_MACS_peak_3926_lociStitched	chr10	112256127	112264995	1	8869	33351.6612	1788.6756	447	DUSP5		DUSP5	DUSP5	1.4135	447	1
1_MACS_peak_4500_lociStitched	chr11	35159729	35168782	1	9054	31331.5277	2179.0571	448	CD44		CD44	CD44	0.44799999999999995	448	1
3_MACS_peak_10796_lociStitched	chr17	7136529	7147433	3	9225	28826.9048	1945.2736	450	DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,C17orf81,SLC2A4,DLG4,MIR324,CLDN7	PHF23	PHF23	1.8578	450	1
2_MACS_peak_13339_lociStitched	chr19	35695531	35705979	2	7619	44046.6784	2083.3312	451		FXYD5,LSR,FAM187B	FAM187B	LSR	0.8559	451	1
4_MACS_peak_3458_lociStitched	chr10	74006940	74024315	4	9085	31212.45	2896.4125	452		ANAPC16,DDIT4,ASCC1	DDIT4	ANAPC16	0.1895	452	1
3_MACS_peak_2078_lociStitched	chr1	183438581	183451089	3	8714	36038.0496	3762.4064	454	SMG7		SMG7	SMG7	0.3152	454	1
2_MACS_peak_7909_lociStitched	chr14	50465460	50476704	2	7816	41328.4464	1181.7444	456	C14orf182		C14orf182	C14orf182	1.1072	456	1
3_MACS_peak_17100_lociStitched	chr21	34695963	34712300	3	8224	40360.5585	3976.4258	464	IFNAR1		IFNAR1	IFNAR1	0.8332	464	1
3_MACS_peak_19924_lociStitched	chr4	9599081	9610864	3	8817	31935.4649	2064.3816	468		MIR548I2	MIR548I2	NONE	NONE	468	1
2_MACS_peak_26995_lociStitched	chr8	134576767	134585850	2	8012	39097.7735	1457.8215	470	ST3GAL1		ST3GAL1	ST3GAL1	0.48889999999999995	470	1
2_MACS_peak_18454_lociStitched	chr3	49054537	49067695	2	8914	30610.7712	2267.1234	471	NDUFAF3,DALRD3,MIR425,MIR191,IMPDH2,QRICH1	P4HTM,WDR6	NDUFAF3	NDUFAF3	1.8808999999999998	471	1
3_MACS_peak_25376_lociStitched	chr7	104576462	104586683	3	7603	42191.2659	1764.1446	472		LOC723809	LOC723809	LOC723809	0.1764	472	1
1_MACS_peak_25185_lociStitched	chr7	90337272	90345424	1	8153	37411.1584	1515.4568	473	CDK14		CDK14	CDK14	0.1466	473	1
1_MACS_peak_1816_lociStitched	chr1	160676476	160685073	1	8598	34326.1016	2886.0129	475	CD48	SLAMF7	CD48	CD48	1.4799	475	1
2_MACS_peak_6089_lociStitched	chr12	46776197	46785819	2	8966	29014.1788	1988.8674	476		SLC38A2	SLC38A2	SLC38A2	0.5537	476	1
2_MACS_peak_6288_lociStitched	chr12	56726515	56734364	2	7513	41855.5774	1392.4126	482	IL23A,PAN2	CS,CNPY2,STAT2,APOF	IL23A	IL23A	2.5949	482	1
3_MACS_peak_28002_lociStitched	chr9	123630299	123641351	3	8563	32418.8316	1899.8388	489	PHF19	LOC253039,PSMD5,TRAF1	PHF19	PHF19	0.9466000000000001	489	1
2_MACS_peak_19020_lociStitched	chr3	124501910	124511928	2	8891	28131.5458	1701.0564	491	ITGB5		UMPS	UMPS	NONE	491	1
1_MACS_peak_24566_lociStitched	chr7	20254713	20261906	1	7194	43184.6141	1520.6002	496	MACC1		MACC1	MACC1	0.48829999999999996	496	1
1_MACS_peak_18079_lociStitched	chr3	14160947	14168531	1	7585	40390.8672	1629.8016	499	TMEM43,CHCHD4		CHCHD4	CHCHD4	1.6956	499	1
1_MACS_peak_14526_lociStitched	chr2	66659643	66668139	1	8497	31269.528	1242.9648	503	MEIS1		MEIS1	MEIS1	0.1785	503	1
2_MACS_peak_11955_lociStitched	chr17	74721262	74735055	2	8401	33288.0262	2257.9141	504	C17orf95,MFSD11,JMJD6,SRSF2,MIR636	MXRA7	MIR636	MIR636	1.8112000000000001	504	1
2_MACS_peak_19820_lociStitched	chr4	1712244	1725153	2	8131	35179.6068	1927.3137	511	TACC3,SLBP,TMEM129	FAM53A	TMEM129	TMEM129	2.1498	511	1
2_MACS_peak_27955_lociStitched	chr9	117127664	117136903	2	8367	31507.7617	1760.9534	518	AKNA	ORM1,ORM2	AKNA	AKNA	0.9037999999999999	518	1
2_MACS_peak_22812_lociStitched	chr6	11722147	11733499	2	8625	28214.2608	1819.7256	519	C6orf105		C6orf105	C6orf105	0.3501	519	1
2_MACS_peak_21956_lociStitched	chr5	112256150	112266826	2	8102	34052.1696	1881.1112	520	REEP5	DCP2	REEP5	REEP5	0.2495	520	1
2_MACS_peak_1315_lociStitched	chr1	112134546	112147990	2	8596	27615.3204	1447.9188	526	LOC100129269	RAP1A,ADORA3	LOC100129269	LOC100129269	1.0896	526	1
1_MACS_peak_13778_lociStitched	chr19	55763949	55772193	1	8245	31656.1356	1579.5504	528	PPP6R1	BRSK1,PTPRH,TMEM86B,HSPBP1	PPP6R1	HSPBP1	0.7843	528	1
2_MACS_peak_2572_lociStitched	chr1	226062565	226071708	2	8416	30551.3345	2408.2662	529	TMEM63A	EPHX1,LEFTY1,PYCR2	TMEM63A	LEFTY1	1.3655	529	1
3_MACS_peak_1654_lociStitched	chr1	153929194	153941597	3	8305	32845.6246	3476.5609	531	CREB3L4,CRTC2,SLC39A1	RPS27,GATAD2B,DENND4B,JTB,RAB13	CRTC2	CRTC2	1.1425	531	1
2_MACS_peak_26144_lociStitched	chr8	26428246	26437527	2	8012	33499.7695	1814.4355	537	DPYSL2		DPYSL2	DPYSL2	0.1773	537	1
2_MACS_peak_21926_lociStitched	chr5	109188932	109202085	2	8196	31924.9616	2404.3684	541	MAN2A1	LOC100289673	LOC100289673	NONE	NONE	541	1
2_MACS_peak_11049_lociStitched	chr17	27046045	27056626	2	7943	33991.4625	2145.8268	548	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,NEK8,TLCD1	TRAF4,PROCA1,RAB34	SNORD4B	SNORD4B	2.5371	548	1
2_MACS_peak_28178_lociStitched	chr9	132646078	132657623	2	7816	34862.4365	2106.9625	552	FNBP1	USP20,C9orf78	USP20	C9orf78	0.2828	552	1
2_MACS_peak_1694_lociStitched	chr1	154971093	154979946	2	8285	29760.2448	1894.542	553	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	4.232	553	1
3_MACS_peak_1832_lociStitched	chr1	161122721	161137525	3	7565	38610.3124	3881.6088	554	UFC1,USP21,PPOX	NIT1,NDUFS2,FCER1G,PFDN2,DEDD,B4GALT3,ADAMTS4	USP21	B4GALT3	1.653	554	1
1_MACS_peak_23111_lociStitched	chr6	30684081	30691997	1	7917	33243.242	1759.7268	555	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	TUBB	2.1187	555	1
2_MACS_peak_10082_lociStitched	chr16	30661288	30673099	2	7889	33473.5551	2077.5549	563	PRR14	FBRS,SRCAP,SNORA30,ZNF689	PRR14	PRR14	2.0168	563	1
1_MACS_peak_6301_lociStitched	chr12	57076477	57083804	1	7328	36760.2917	1518.8871	572	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	ATP5B	1.0627	572	1
3_MACS_peak_17724_lociStitched	chr22	39409109	39422013	3	8078	30143.744	2352.3992	577	APOBEC3C,APOBEC3D	APOBEC3B,APOBEC3F	APOBEC3D	APOBEC3B	0.9918000000000001	577	1
2_MACS_peak_8145_lociStitched	chr14	72980376	72989833	2	8132	28057.0276	970.2882	578	RGS6		DPF3	DPF3	NONE	578	1
2_MACS_peak_8520_lociStitched	chr15	23660181	23669632	2	7432	35566.9483	1757.886	579			MKRN3	MKRN3	NONE	579	1
1_MACS_peak_19282_lociStitched	chr3	150315388	150323427	1	8040	28931.5571	1558.7621	581	SELT		SELT	SELT	0.7061999999999999	581	1
2_MACS_peak_9206_lociStitched	chr15	75353000	75363312	2	8023	28534.3352	1906.6888	592		PPCDC	PPCDC	PPCDC	1.6461	592	1
3_MACS_peak_19533_lociStitched	chr3	178230459	178241178	3	7916	30477.3327	2789.0838	595		KCNMB2	KCNMB2	NONE	NONE	595	1
2_MACS_peak_8957_lociStitched	chr15	58583613	58591203	2	7299	35097.678	1487.64	596			LIPC	LIPC	NONE	596	1
1_MACS_peak_15633_lociStitched	chr2	192539066	192546467	1	7402	34174.8576	1529.7867	599	OBFC2A		OBFC2A	OBFC2A	1.6078	599	1
3_MACS_peak_14552_lociStitched	chr2	68989035	69003578	3	7928	29936.7655	2671.5491	600	ARHGAP25		ARHGAP25	ARHGAP25	0.3161	600	1
2_MACS_peak_13409_lociStitched	chr19	39338850	39349000	2	7612	31267.075	1824.97	610	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	1.1269	610	1
3_MACS_peak_9446_lociStitched	chr15	90721456	90736303	3	7594	31928.4735	2452.7244	612	SEMA4B	SEMA4B,C15orf58,CIB1	SEMA4B	SEMA4B	0.594	612	1
1_MACS_peak_1471_lociStitched	chr1	145434129	145441420	1	7292	34271.3455	2144.2831	616	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	TXNIP	2.2652	616	1
2_MACS_peak_6702_lociStitched	chr12	102129309	102140088	2	7297	33770.607	1704.1599	618	SYCP3,GNPTAB	CHPT1	SYCP3	SYCP3	1.2036000000000002	618	1
1_MACS_peak_21886_lociStitched	chr5	100234424	100241654	1	7231	33314.394	1683.144	635	ST8SIA4		ST8SIA4	ST8SIA4	0.4104	635	1
1_MACS_peak_979_lociStitched	chr1	66795847	66803385	1	7539	30302.0062	1680.974	636	PDE4B		PDE4B	PDE4B	0.11950000000000001	636	1
1_MACS_peak_25541_lociStitched	chr7	121944388	121951674	1	7287	32459.8586	1554.1038	640	LOC154860,FEZF1		FEZF1	FEZF1	1.0279999999999998	640	1
2_MACS_peak_4725_lociStitched	chr11	62597877	62610625	2	7447	31389.4004	2339.258	641	STX5,WDR74	TMEM179B,SLC3A2,TMEM223,NXF1,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	WDR74	1.6878000000000002	641	1
1_MACS_peak_13925_lociStitched	chr2	10259703	10266937	1	7235	32327.2992	1456.9276	646	RRM2	C2orf48,CYS1	RRM2	RRM2	1.7037	646	1
3_MACS_peak_4119_lociStitched	chr10	135201264	135215550	3	7334	31426.3428	2097.1848	655	PAOX,MTG1	PRAP1,C10orf125,MIR3944,ECHS1,SPRN	MTG1	MTG1	0.5564	655	1
2_MACS_peak_17497_lociStitched	chr22	27005149	27014999	2	7331	28528.555	1835.055	690	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	1.0823	690	1
2_MACS_peak_29247_lociStitched	chrX	153189262	153200781	2	7214	28400.0945	1048.229	695	ARHGAP4,NAA10,RENBP	AVPR2,TMEM187,MIR3202-1,L1CAM,HCFC1,MIR3202-2	ARHGAP4	TMEM187	1.817	695	1
2_MACS_peak_4244_lociStitched	chr11	8703120	8711618	2	7241	28414.7626	1777.7816	704	RPL27A,SNORA3,SNORA45	TRIM66	SNORA45	SNORA45	2.6308	704	1
1_MACS_peak_16021_lociStitched	chr2	232570577	232577810	1	7234	27146.8956	660.3729	708	PTMA	MIR1244-1	PTMA	PTMA	1.7827	708	1
