GENE_ID	locusLine	H3k18ac_5_DMSO_compare_signal
MACS_peak_18701_1	chr22(.):31062902-31064765	0.8036
MACS_peak_18702_1	chr22(.):31089969-31090746	1.0863
MACS_peak_18703	chr22(.):31100994-31103260	0.4713
MACS_peak_18704_1	chr22(.):31364092-31364632	0.3577
MACS_peak_18704_2	chr22(.):31364633-31365186	0.842
MACS_peak_18704_3	chr22(.):31365187-31366407	2.4514
MACS_peak_18705_1	chr22(.):31476304-31478303	0.9951
MACS_peak_18706	chr22(.):31478732-31482096	1.4038
MACS_peak_18708_1	chr22(.):31555381-31556605	1.2918
MACS_peak_18709_1	chr22(.):31606610-31607248	0.579
MACS_peak_18709_2	chr22(.):31607249-31609248	1.7948
MACS_peak_18709_3	chr22(.):31609249-31609718	0.1803
MACS_peak_18710	chr22(.):31624966-31626908	0.5461
MACS_peak_18712	chr22(.):31681647-31683423	0.3755
MACS_peak_18713_1	chr22(.):31685208-31687519	1.782
MACS_peak_18713_2	chr22(.):31687520-31689519	1.517
MACS_peak_18713_3	chr22(.):31689520-31690459	0.4819
MACS_peak_18714	chr22(.):31702013-31703462	0.7075
MACS_peak_18716_1	chr22(.):31741678-31743248	2.1434
MACS_peak_18716_2	chr22(.):31743249-31744467	1.5035
MACS_peak_18718_1	chr22(.):31794766-31796537	2.2276
MACS_peak_18718_2	chr22(.):31796538-31796747	0.1732
MACS_peak_18720	chr22(.):31872518-31874795	0.5805
MACS_peak_18721_1	chr22(.):31884350-31884546	0.2574
MACS_peak_18721_2	chr22(.):31884547-31884873	0.2013
MACS_peak_18721_3	chr22(.):31884874-31886546	5.7609
MACS_peak_18721_4	chr22(.):31886547-31886873	1.5915
MACS_peak_18721_5	chr22(.):31886874-31887705	0.7732
MACS_peak_18722_1	chr22(.):31891376-31893259	1.7737
MACS_peak_18722_2	chr22(.):31893260-31893726	0.31
MACS_peak_18723	chr22(.):31948064-31950603	0.5812
MACS_peak_18724	chr22(.):31978246-31979873	0.3114
MACS_peak_18726	chr22(.):32011497-32012831	0.305
MACS_peak_18727_1	chr22(.):32025691-32025809	0.0
MACS_peak_18727_2	chr22(.):32025810-32027750	1.1232
MACS_peak_18728	chr22(.):32056306-32059163	1.2146
MACS_peak_18729_1	chr22(.):32144948-32145119	0.128
MACS_peak_18729_2	chr22(.):32145120-32146973	1.4646
MACS_peak_18730_1	chr22(.):32148506-32149067	0.3251
MACS_peak_18730_2	chr22(.):32149068-32149851	3.2456
MACS_peak_18730_3	chr22(.):32149852-32151067	2.0666
MACS_peak_18730_4	chr22(.):32151068-32151255	0.1372
MACS_peak_18731_1	chr22(.):32339078-32339477	0.2545
MACS_peak_18731_2	chr22(.):32339478-32340335	1.8506
MACS_peak_18731_3	chr22(.):32340336-32341477	4.5503
MACS_peak_18731_4	chr22(.):32341478-32342301	0.6366
MACS_peak_18732	chr22(.):32364695-32367555	0.5713
MACS_peak_18733_1	chr22(.):32435665-32438017	0.5077
MACS_peak_18733_2	chr22(.):32438018-32438333	0.1833
MACS_peak_18734	chr22(.):32533101-32534765	0.9664
MACS_peak_18735	chr22(.):32802290-32804744	0.6542
MACS_peak_18736_1	chr22(.):32806896-32807273	0.3211
MACS_peak_18736_2	chr22(.):32807274-32809068	1.6144
MACS_peak_18737	chr22(.):32812045-32813908	0.6456
MACS_peak_18738_1	chr22(.):32869164-32869705	0.3611
MACS_peak_18738_2	chr22(.):32869706-32870222	0.7816
MACS_peak_18738_3	chr22(.):32870223-32871705	3.0409
MACS_peak_18738_4	chr22(.):32871706-32872076	0.6064
MACS_peak_18739	chr22(.):32931413-32934056	0.273
MACS_peak_18740	chr22(.):32934823-32937851	0.4928
MACS_peak_18741	chr22(.):33118434-33120864	0.6303
MACS_peak_18743	chr22(.):33866791-33871351	1.0459
MACS_peak_18744	chr22(.):33962460-33966695	2.2806
MACS_peak_18745	chr22(.):34183663-34184767	0.3718
MACS_peak_18746	chr22(.):34225459-34226535	0.1963
MACS_peak_18747	chr22(.):34236240-34240051	1.408
MACS_peak_18748	chr22(.):34248978-34251047	0.5686
MACS_peak_18749_1	chr22(.):34314754-34315415	0.4164
MACS_peak_18749_2	chr22(.):34315416-34316794	1.5426
MACS_peak_18750_1	chr22(.):34316843-34317415	0.2148
MACS_peak_18750_2	chr22(.):34317416-34319434	0.7085
MACS_peak_18753	chr22(.):35499578-35501514	0.4014
MACS_peak_18754	chr22(.):35520752-35525756	0.5863
MACS_peak_18755	chr22(.):35526490-35528090	0.2986
MACS_peak_18756	chr22(.):35593303-35597272	0.8453
MACS_peak_18757	chr22(.):35601004-35602827	0.4291
MACS_peak_18758	chr22(.):35626048-35627995	0.9998
MACS_peak_18759_1	chr22(.):35652634-35654443	3.0868
MACS_peak_18759_2	chr22(.):35654444-35654686	0.083
MACS_peak_18760_1	chr22(.):35694930-35696266	1.2586
MACS_peak_18760_2	chr22(.):35696267-35696795	1.5602
MACS_peak_18760_3	chr22(.):35696796-35697131	0.2551
MACS_peak_18761	chr22(.):35703505-35709516	0.8745
MACS_peak_18762	chr22(.):35739094-35742914	0.8438
MACS_peak_18763	chr22(.):35746019-35749940	1.1724
MACS_peak_18764	chr22(.):35758347-35760163	0.6575
MACS_peak_18766	chr22(.):35772178-35774557	1.6853
MACS_peak_18767_1	chr22(.):35776225-35778058	1.3116
MACS_peak_18768_1	chr22(.):35794757-35795114	0.4923
MACS_peak_18768_2	chr22(.):35795115-35797114	5.3243
MACS_peak_18768_3	chr22(.):35797115-35797206	0.0599
MACS_peak_18769	chr22(.):35843119-35845415	0.9315
MACS_peak_18770	chr22(.):35887051-35888656	0.6417
MACS_peak_18771	chr22(.):35929970-35931370	0.3515
MACS_peak_18772_1	chr22(.):35935496-35936350	0.6719
MACS_peak_18772_2	chr22(.):35936351-35936866	0.3756
MACS_peak_18773	chr22(.):36006966-36008502	0.6782
MACS_peak_18774	chr22(.):36022792-36024536	1.9118
MACS_peak_18775_1	chr22(.):36042826-36043422	0.172
MACS_peak_18775_2	chr22(.):36043423-36045422	3.7004
MACS_peak_18775_3	chr22(.):36045423-36046354	0.6596
MACS_peak_18776	chr22(.):36147501-36149528	0.7033
MACS_peak_18777	chr22(.):36231641-36233005	0.7685
MACS_peak_18778_1	chr22(.):36234950-36235629	0.3736
MACS_peak_18778_2	chr22(.):36235630-36236739	0.6952
MACS_peak_18779	chr22(.):36254865-36258694	1.0452
MACS_peak_18780	chr22(.):36265256-36266877	0.5129
MACS_peak_18781	chr22(.):36278087-36280129	0.5101
MACS_peak_18782	chr22(.):36308079-36309779	0.4315
MACS_peak_18783	chr22(.):36310022-36311722	0.5179
MACS_peak_18785	chr22(.):36447927-36449517	1.6821
MACS_peak_18786	chr22(.):36461274-36462803	1.1045
MACS_peak_18787	chr22(.):36519379-36520563	0.9697
MACS_peak_18788	chr22(.):36552118-36554110	1.1495
MACS_peak_18789_1	chr22(.):36554655-36555976	0.5524
MACS_peak_18789_2	chr22(.):36555977-36557976	2.0809
MACS_peak_18789_3	chr22(.):36557977-36560321	1.9829
MACS_peak_18789_1	chr22(.):36554655-36555976	0.5524
MACS_peak_18789_2	chr22(.):36555977-36557976	2.0809
MACS_peak_18789_3	chr22(.):36557977-36560321	1.9829
MACS_peak_18790_1	chr22(.):36633019-36634688	0.9853
MACS_peak_18790_2	chr22(.):36634689-36634999	1.9693
MACS_peak_18790_3	chr22(.):36635000-36636688	2.194
MACS_peak_18791_1	chr22(.):36648354-36650115	1.5909
MACS_peak_18791_2	chr22(.):36650116-36650509	0.2952
MACS_peak_18792	chr22(.):36652576-36656458	3.1757
MACS_peak_18793	chr22(.):36725411-36730192	4.0383
MACS_peak_18794	chr22(.):36749841-36756655	0.8969
MACS_peak_18795	chr22(.):36772611-36774655	0.8538
MACS_peak_18796_1	chr22(.):36778129-36783062	1.7767
MACS_peak_18796_2	chr22(.):36783063-36785062	2.3637
MACS_peak_18796_3	chr22(.):36785063-36785173	0.0909
MACS_peak_18796_1	chr22(.):36778129-36783062	1.7767
MACS_peak_18796_2	chr22(.):36783063-36785062	2.3637
MACS_peak_18796_3	chr22(.):36785063-36785173	0.0909
MACS_peak_18797	chr22(.):36800864-36802864	0.6909
MACS_peak_18798	chr22(.):36812442-36814339	0.7237
MACS_peak_18799	chr22(.):36814495-36816417	0.825
MACS_peak_18800	chr22(.):36831153-36832960	0.749
MACS_peak_18801	chr22(.):36846818-36849898	0.8322
MACS_peak_18801	chr22(.):36846818-36849898	0.8322
MACS_peak_18802	chr22(.):36850335-36852198	1.8684
MACS_peak_18803	chr22(.):36862213-36865435	0.9108
MACS_peak_18804_1	chr22(.):36876480-36876686	0.1189
MACS_peak_18804_2	chr22(.):36876687-36878686	3.7982
MACS_peak_18804_3	chr22(.):36878687-36878846	0.1166
MACS_peak_18805	chr22(.):36889006-36891172	1.0473
MACS_peak_18806_1	chr22(.):36902196-36904062	0.8964
MACS_peak_18807_1	chr22(.):36924035-36924276	0.048
MACS_peak_18807_2	chr22(.):36924277-36926276	2.0127
MACS_peak_18807_3	chr22(.):36926277-36926601	0.2172
MACS_peak_18809	chr22(.):37177325-37178444	1.1282
MACS_peak_18810	chr22(.):37234968-37237103	0.4238
MACS_peak_18811	chr22(.):37248984-37250306	0.523
MACS_peak_18812_1	chr22(.):37253894-37256028	0.6261
MACS_peak_18812_2	chr22(.):37256029-37258028	2.9712
MACS_peak_18812_3	chr22(.):37258029-37258215	0.2796
MACS_peak_18813	chr22(.):37268703-37271335	1.5274
MACS_peak_18814	chr22(.):37296677-37298623	0.4944
MACS_peak_18815_1	chr22(.):37308569-37308673	0.0495
MACS_peak_18815_2	chr22(.):37308674-37310673	2.7492
MACS_peak_18815_3	chr22(.):37310674-37311658	1.2149
MACS_peak_18816	chr22(.):37323976-37327624	1.0048
MACS_peak_18817	chr22(.):37335982-37338006	1.3244
MACS_peak_18818	chr22(.):37373121-37374666	0.6799
MACS_peak_18819_1	chr22(.):37414827-37416490	1.7216
MACS_peak_18819_2	chr22(.):37416491-37416700	0.244
MACS_peak_18819_3	chr22(.):37416701-37416756	0.0099
MACS_peak_18820	chr22(.):37557888-37559381	0.7012
MACS_peak_18821	chr22(.):37594434-37596402	2.5497
MACS_peak_18822	chr22(.):37610621-37621378	2.3567
MACS_peak_18823	chr22(.):37624034-37628755	3.1911
MACS_peak_18824_1	chr22(.):37637085-37639304	1.5723
MACS_peak_18824_2	chr22(.):37639305-37641304	2.4164
MACS_peak_18824_3	chr22(.):37641305-37642184	1.1065
MACS_peak_18825	chr22(.):37661744-37664967	0.9289
MACS_peak_18826_1	chr22(.):37677709-37679493	1.239
MACS_peak_18826_2	chr22(.):37679494-37681699	1.1618
MACS_peak_18827	chr22(.):37772432-37775716	0.3858
MACS_peak_18828_1	chr22(.):37879547-37881424	3.0214
MACS_peak_18828_2	chr22(.):37881425-37881477	1.9807
MACS_peak_18828_3	chr22(.):37881478-37882827	1.8531
MACS_peak_18829	chr22(.):37933616-37935784	0.5474
MACS_peak_18830	chr22(.):37937193-37939122	0.6386
MACS_peak_18831	chr22(.):37940942-37942115	0.2905
MACS_peak_18832	chr22(.):37957535-37958807	0.2776
MACS_peak_18833	chr22(.):37962413-37963781	0.7589
MACS_peak_18834_1	chr22(.):38002846-38003479	0.6341
MACS_peak_18834_2	chr22(.):38003480-38004045	1.0847
MACS_peak_18834_3	chr22(.):38004046-38005479	3.354
MACS_peak_18834_4	chr22(.):38005480-38006045	1.0549
MACS_peak_18834_5	chr22(.):38006046-38006442	0.2787
MACS_peak_18836_1	chr22(.):38033711-38034682	0.5012
MACS_peak_18836_2	chr22(.):38034683-38036682	1.237
MACS_peak_18836_3	chr22(.):38036683-38036742	0.1699
MACS_peak_18837_1	chr22(.):38053612-38053735	0.2738
MACS_peak_18837_2	chr22(.):38053736-38055735	0.7341
MACS_peak_18838	chr22(.):38067982-38069354	0.5026
MACS_peak_18839_1	chr22(.):38070250-38070611	0.5196
MACS_peak_18839_2	chr22(.):38070612-38072611	2.0949
MACS_peak_18839_3	chr22(.):38072612-38074100	1.7833
MACS_peak_18840_1	chr22(.):38080060-38081342	0.6801
MACS_peak_18840_2	chr22(.):38081343-38083323	1.8233
MACS_peak_18841	chr22(.):38123656-38125199	0.3525
MACS_peak_18842_1	chr22(.):38141027-38141239	0.0917
MACS_peak_18842_2	chr22(.):38141240-38143239	2.8097
MACS_peak_18842_3	chr22(.):38143240-38143459	0.2179
MACS_peak_18843_1	chr22(.):38239378-38241285	1.1036
MACS_peak_18844_1	chr22(.):38244498-38244780	0.0999
MACS_peak_18844_2	chr22(.):38244781-38246367	1.7864
MACS_peak_18845	chr22(.):38291596-38293373	0.9581
MACS_peak_18846_1	chr22(.):38301501-38303330	1.0636
MACS_peak_18847_1	chr22(.):38349182-38350602	0.8079
MACS_peak_18847_2	chr22(.):38350603-38350672	0.0562
MACS_peak_18848_1	chr22(.):38452295-38454260	2.8411
MACS_peak_18848_2	chr22(.):38454261-38454396	0.061
MACS_peak_18849	chr22(.):38463205-38467428	1.1674
MACS_peak_18850	chr22(.):38500512-38501648	0.3395
MACS_peak_18851	chr22(.):38557795-38559458	0.4462
MACS_peak_18852_1	chr22(.):38572169-38576760	0.9986
MACS_peak_18852_2	chr22(.):38576761-38578642	5.2493
MACS_peak_18853	chr22(.):38589831-38591099	0.3977
MACS_peak_18854	chr22(.):38594283-38596434	0.4313
MACS_peak_18855_1	chr22(.):38596938-38598025	0.6398
MACS_peak_18855_2	chr22(.):38598026-38598937	1.4533
MACS_peak_18855_3	chr22(.):38598938-38600025	1.6491
MACS_peak_18856	chr22(.):38609482-38611848	0.4775
MACS_peak_18857	chr22(.):38613787-38615594	0.5152
MACS_peak_18858	chr22(.):38638172-38647487	0.7634
MACS_peak_18858	chr22(.):38638172-38647487	0.7634
MACS_peak_18859	chr22(.):38654944-38659289	0.7853
MACS_peak_18860_1	chr22(.):38667329-38667669	0.0706
MACS_peak_18860_2	chr22(.):38667670-38668039	0.5205
MACS_peak_18860_3	chr22(.):38668040-38669669	1.7611
MACS_peak_18860_4	chr22(.):38669670-38670039	0.3369
MACS_peak_18860_5	chr22(.):38670040-38670097	0.0866
MACS_peak_18861	chr22(.):38671426-38673665	0.6785
MACS_peak_18862	chr22(.):38700338-38703547	0.5796
MACS_peak_18864_1	chr22(.):38706166-38712412	1.6359
MACS_peak_18864_2	chr22(.):38712413-38713088	2.6982
MACS_peak_18864_3	chr22(.):38713089-38713347	1.3724
MACS_peak_18865_1	chr22(.):38713400-38714412	1.2661
MACS_peak_18865_2	chr22(.):38714413-38715088	0.4805
MACS_peak_18865_3	chr22(.):38715089-38715181	0.0885
MACS_peak_18866	chr22(.):38769111-38772209	1.2234
MACS_peak_18867_1	chr22(.):38782059-38793930	1.4965
MACS_peak_18867_2	chr22(.):38793931-38795856	1.6156
MACS_peak_18869_1	chr22(.):38900176-38901344	1.0319
MACS_peak_18869_2	chr22(.):38901345-38903344	11.6526
MACS_peak_18869_3	chr22(.):38903345-38903726	0.2795
MACS_peak_18870_1	chr22(.):38965198-38967188	2.2829
MACS_peak_18870_2	chr22(.):38967189-38967793	0.2886
MACS_peak_18872_1	chr22(.):39051352-39051633	0.0138
MACS_peak_18872_2	chr22(.):39051657-39053633	4.3021
MACS_peak_18872_3	chr22(.):39053657-39054204	0.2516
MACS_peak_18873_1	chr22(.):39077493-39078952	0.8176
MACS_peak_18874_1	chr22(.):39095680-39097458	3.0909
MACS_peak_18874_2	chr22(.):39097459-39098693	0.7722
MACS_peak_18875_1	chr22(.):39099589-39100805	1.3169
MACS_peak_18875_2	chr22(.):39100806-39102805	3.235
MACS_peak_18875_3	chr22(.):39102806-39104059	0.7515
MACS_peak_18877	chr22(.):39146110-39149386	2.7188
MACS_peak_18878_1	chr22(.):39149485-39150946	2.3445
MACS_peak_18878_2	chr22(.):39150947-39152946	4.3151
MACS_peak_18878_3	chr22(.):39152947-39153204	0.2261
MACS_peak_18879_1	chr22(.):39189304-39190892	0.6844
MACS_peak_18880_1	chr22(.):39265523-39267257	1.5536
MACS_peak_18880_2	chr22(.):39267258-39269257	5.431
MACS_peak_18880_3	chr22(.):39269258-39271239	2.2044
MACS_peak_18881	chr22(.):39296460-39298796	1.1908
MACS_peak_18882	chr22(.):39336614-39338544	1.0997
MACS_peak_18883_1	chr22(.):39348536-39352525	1.938
MACS_peak_18883_2	chr22(.):39352526-39354176	0.2098
MACS_peak_18884	chr22(.):39361750-39365829	1.1863
MACS_peak_18885	chr22(.):39369320-39370632	0.7281
MACS_peak_18886_1	chr22(.):39376995-39377403	0.1945
MACS_peak_18886_2	chr22(.):39377404-39379403	4.3912
MACS_peak_18886_3	chr22(.):39379404-39386526	1.5862
MACS_peak_18887	chr22(.):39398126-39400207	0.8975
MACS_peak_18888_1	chr22(.):39409007-39409263	0.0679
MACS_peak_18888_2	chr22(.):39409264-39411263	3.5067
MACS_peak_18888_3	chr22(.):39411264-39411838	0.8701
MACS_peak_18889_1	chr22(.):39415856-39416116	0.1523
MACS_peak_18889_2	chr22(.):39416117-39418116	3.6168
MACS_peak_18889_3	chr22(.):39418117-39418779	0.8047
MACS_peak_18890	chr22(.):39419931-39422305	1.0014
MACS_peak_18891_1	chr22(.):39435741-39437671	2.7423
MACS_peak_18891_2	chr22(.):39437672-39438143	0.5018
MACS_peak_18892	chr22(.):39440235-39441469	0.8807
MACS_peak_18893	chr22(.):39458908-39465375	1.7057
MACS_peak_18894	chr22(.):39468020-39470569	2.2425
MACS_peak_18895_1	chr22(.):39470731-39472008	0.453
MACS_peak_18895_2	chr22(.):39472009-39474008	3.0143
MACS_peak_18895_3	chr22(.):39474009-39474319	0.2266
MACS_peak_18896	chr22(.):39487442-39489530	0.9363
MACS_peak_18897_1	chr22(.):39492002-39492227	0.1961
MACS_peak_18897_2	chr22(.):39492228-39494227	2.3824
MACS_peak_18897_3	chr22(.):39494228-39494291	0.1567
MACS_peak_18898	chr22(.):39494468-39496246	0.5442
MACS_peak_18899	chr22(.):39509028-39514970	1.0679
MACS_peak_18899	chr22(.):39509028-39514970	1.0679
MACS_peak_18900	chr22(.):39521255-39522726	0.4008
MACS_peak_18901	chr22(.):39539618-39543258	1.8137
MACS_peak_18902_1	chr22(.):39543532-39547537	1.1889
MACS_peak_18902_2	chr22(.):39547538-39549537	1.186
MACS_peak_18902_3	chr22(.):39549538-39549832	0.0653
MACS_peak_18902_1	chr22(.):39543532-39547537	1.1889
MACS_peak_18902_2	chr22(.):39547538-39549537	1.186
MACS_peak_18902_3	chr22(.):39549538-39549832	0.0653
MACS_peak_18902_1	chr22(.):39543532-39547537	1.1889
MACS_peak_18902_2	chr22(.):39547538-39549537	1.186
MACS_peak_18902_3	chr22(.):39549538-39549832	0.0653
MACS_peak_18903	chr22(.):39566211-39568066	0.7566
MACS_peak_18904	chr22(.):39620174-39621379	0.418
MACS_peak_18905	chr22(.):39630938-39634297	0.544
MACS_peak_18906_1	chr22(.):39635914-39637881	1.0186
MACS_peak_18907_1	chr22(.):39638166-39639956	0.882
MACS_peak_18907_2	chr22(.):39639957-39640985	0.5712
MACS_peak_18909	chr22(.):39648229-39654170	1.5902
MACS_peak_18910	chr22(.):39659827-39666079	1.2534
MACS_peak_18910	chr22(.):39659827-39666079	1.2534
MACS_peak_18911	chr22(.):39672705-39674668	0.592
MACS_peak_18912	chr22(.):39692836-39694481	0.476
MACS_peak_18913_1	chr22(.):39711296-39711900	0.2662
MACS_peak_18913_2	chr22(.):39711901-39712311	0.4583
MACS_peak_18913_3	chr22(.):39712312-39713900	0.8672
MACS_peak_18913_4	chr22(.):39713901-39714117	0.443
MACS_peak_18913_5	chr22(.):39714118-39714669	1.2716
MACS_peak_18913_6	chr22(.):39714670-39716117	4.6624
MACS_peak_18913_7	chr22(.):39716118-39716669	2.9822
MACS_peak_18913_8	chr22(.):39716670-39716989	0.1715
MACS_peak_18914	chr22(.):39783896-39786372	2.2092
MACS_peak_18915	chr22(.):39789342-39790924	0.3851
MACS_peak_18916_1	chr22(.):39794780-39796757	2.8817
MACS_peak_18916_2	chr22(.):39796758-39796860	0.215
MACS_peak_18918	chr22(.):39813942-39815774	0.6813
MACS_peak_18919	chr22(.):39822861-39825855	1.2953
MACS_peak_18920	chr22(.):39826219-39829315	0.7313
MACS_peak_18921	chr22(.):39832058-39836185	2.3047
MACS_peak_18922	chr22(.):39838304-39846378	4.6288
MACS_peak_18923	chr22(.):39862070-39865137	1.0284
MACS_peak_18924	chr22(.):39866151-39870108	2.014
MACS_peak_18925_1	chr22(.):39897368-39899282	1.0984
MACS_peak_18925_2	chr22(.):39899283-39900130	0.1456
MACS_peak_18926	chr22(.):39910558-39912921	0.4394
MACS_peak_18927_1	chr22(.):39914474-39915567	0.9755
MACS_peak_18927_2	chr22(.):39915568-39917567	4.8091
MACS_peak_18927_3	chr22(.):39917568-39918558	0.4168
MACS_peak_18928	chr22(.):39922600-39926265	1.1534
MACS_peak_18929_1	chr22(.):39926963-39927859	0.2561
MACS_peak_18929_2	chr22(.):39927860-39929679	1.4342
MACS_peak_18930	chr22(.):39962685-39964026	0.5265
MACS_peak_18931	chr22(.):40270983-40271827	0.9707
MACS_peak_18932	chr22(.):40352037-40354371	0.3728
MACS_peak_18933	chr22(.):40356462-40358124	0.6577
MACS_peak_18934_1	chr22(.):40439160-40439819	0.3961
MACS_peak_18934_2	chr22(.):40439820-40441819	2.1983
MACS_peak_18934_3	chr22(.):40441820-40442285	0.3713
MACS_peak_18935	chr22(.):40445109-40448142	1.182
MACS_peak_18936	chr22(.):40503351-40504906	0.7167
MACS_peak_18937	chr22(.):40524718-40525891	0.6036
MACS_peak_18938_1	chr22(.):40572340-40572927	0.5881
MACS_peak_18938_2	chr22(.):40572928-40574927	2.0056
MACS_peak_18938_3	chr22(.):40574928-40575800	0.4898
MACS_peak_18939	chr22(.):40598201-40600400	0.6336
MACS_peak_18940	chr22(.):40611011-40613325	1.0832
MACS_peak_18941	chr22(.):40633126-40634761	0.6491
MACS_peak_18942_1	chr22(.):40741370-40741502	0.2308
MACS_peak_18942_2	chr22(.):40741503-40743502	1.6799
MACS_peak_18942_3	chr22(.):40743503-40744018	0.5191
MACS_peak_18943_1	chr22(.):40766084-40767513	0.9984
MACS_peak_18944	chr22(.):40830830-40833869	0.5449
MACS_peak_18945	chr22(.):40886731-40890194	0.5634
MACS_peak_18946_1	chr22(.):41031547-41031689	0.0486
MACS_peak_18946_2	chr22(.):41031690-41033689	1.1286
MACS_peak_18946_3	chr22(.):41033690-41034048	0.1503
MACS_peak_18947	chr22(.):41042044-41045615	0.766
MACS_peak_18948	chr22(.):41046948-41049273	3.537
MACS_peak_18949	chr22(.):41106524-41108649	0.2989
MACS_peak_18950_1	chr22(.):41212832-41214391	1.1125
MACS_peak_18950_2	chr22(.):41214392-41215810	1.3684
MACS_peak_18951_1	chr22(.):41251710-41252092	0.3796
MACS_peak_18951_2	chr22(.):41252093-41253686	5.0581
MACS_peak_18951_3	chr22(.):41253687-41254002	0.1781
MACS_peak_18952_1	chr22(.):41346100-41346349	0.2327
MACS_peak_18952_2	chr22(.):41346350-41348349	3.985
MACS_peak_18952_3	chr22(.):41348350-41349223	0.5514
MACS_peak_18953	chr22(.):41416712-41419460	2.7483
MACS_peak_18954	chr22(.):41464246-41466229	1.9586
MACS_peak_18955_1	chr22(.):41486461-41487515	1.9138
MACS_peak_18955_2	chr22(.):41487516-41487612	0.1574
MACS_peak_18955_3	chr22(.):41487613-41489515	5.3167
MACS_peak_18955_4	chr22(.):41489516-41489612	0.1442
MACS_peak_18955_5	chr22(.):41489613-41489751	0.2181
MACS_peak_18957_1	chr22(.):41600484-41602279	1.0039
MACS_peak_18958	chr22(.):41613021-41614918	0.7946
MACS_peak_18959_1	chr22(.):41680771-41681215	0.1953
MACS_peak_18959_2	chr22(.):41681216-41683215	1.9483
MACS_peak_18959_3	chr22(.):41683216-41683410	0.0379
MACS_peak_18960_1	chr22(.):41696853-41698565	1.1099
MACS_peak_18960_2	chr22(.):41698566-41699011	0.8341
MACS_peak_18961_1	chr22(.):41776404-41776961	0.2111
MACS_peak_18961_2	chr22(.):41776962-41778956	1.3894
MACS_peak_18962	chr22(.):41808151-41811137	3.5152
MACS_peak_18964_1	chr22(.):41839970-41842026	1.0691
MACS_peak_18964_2	chr22(.):41842027-41844026	4.4847
MACS_peak_18964_3	chr22(.):41844027-41845349	1.9263
MACS_peak_18965_1	chr22(.):41863775-41864127	0.3208
MACS_peak_18965_2	chr22(.):41864128-41865707	4.7784
MACS_peak_18965_3	chr22(.):41865708-41866127	0.2655
MACS_peak_18965_4	chr22(.):41866128-41866410	0.0921
MACS_peak_18966_1	chr22(.):41939479-41940941	0.8855
MACS_peak_18967	chr22(.):41952617-41954217	0.4527
MACS_peak_18968_1	chr22(.):41984652-41984870	0.1955
MACS_peak_18968_2	chr22(.):41984871-41986870	1.1841
MACS_peak_18968_3	chr22(.):41986871-41986935	0.0748
MACS_peak_18968_1	chr22(.):41984652-41984870	0.1955
MACS_peak_18968_2	chr22(.):41984871-41986870	1.1841
MACS_peak_18968_3	chr22(.):41986871-41986935	0.0748
MACS_peak_18969_1	chr22(.):42014249-42016060	0.7472
MACS_peak_18969_2	chr22(.):42016061-42016293	1.1892
MACS_peak_18969_3	chr22(.):42016294-42018060	2.4209
MACS_peak_18969_4	chr22(.):42018061-42018293	0.2667
MACS_peak_18969_5	chr22(.):42018294-42018668	0.0738
MACS_peak_18971	chr22(.):42061954-42064124	0.9023
MACS_peak_18972_1	chr22(.):42077650-42079489	0.3591
MACS_peak_18973_1	chr22(.):42083349-42083912	0.4595
MACS_peak_18973_2	chr22(.):42083913-42085545	2.868
MACS_peak_18973_3	chr22(.):42085546-42085912	0.1703
MACS_peak_18975	chr22(.):42141490-42144802	1.3002
MACS_peak_18976	chr22(.):42144995-42152531	1.9701
MACS_peak_18977	chr22(.):42176320-42178622	1.4684
MACS_peak_18978_1	chr22(.):42195230-42195676	0.2742
MACS_peak_18978_2	chr22(.):42195677-42197676	2.2791
MACS_peak_18978_3	chr22(.):42197677-42197952	0.3412
MACS_peak_18979	chr22(.):42222635-42225509	0.5125
MACS_peak_18980_1	chr22(.):42225932-42228104	0.35
MACS_peak_18980_2	chr22(.):42228105-42230104	4.4255
MACS_peak_18980_3	chr22(.):42230105-42231326	0.6382
MACS_peak_18981	chr22(.):42315104-42316198	0.4167
MACS_peak_18982_1	chr22(.):42334755-42335222	0.097
MACS_peak_18982_2	chr22(.):42335223-42337222	1.0512
MACS_peak_18982_3	chr22(.):42337223-42337953	0.3475
MACS_peak_18983_1	chr22(.):42341132-42342147	0.9351
MACS_peak_18983_2	chr22(.):42342148-42343910	4.2491
MACS_peak_18986_1	chr22(.):42393842-42395727	1.2478
MACS_peak_18987	chr22(.):42418058-42419484	0.7514
MACS_peak_18988	chr22(.):42426304-42428496	0.657
MACS_peak_18989_1	chr22(.):42465746-42465845	0.0532
MACS_peak_18989_2	chr22(.):42465846-42467766	1.5435
MACS_peak_18990_1	chr22(.):42474605-42474697	0.0
MACS_peak_18990_2	chr22(.):42474698-42476697	3.5931
MACS_peak_18990_3	chr22(.):42476698-42477211	0.2676
MACS_peak_18991_1	chr22(.):42485615-42485887	0.0816
MACS_peak_18991_2	chr22(.):42485936-42487887	2.1072
MACS_peak_18992_1	chr22(.):42665011-42666730	0.9086
MACS_peak_18993_1	chr22(.):42666758-42667430	0.3611
MACS_peak_18995	chr22(.):42839646-42840982	0.5707
MACS_peak_18996_1	chr22(.):42914547-42914828	0.0706
MACS_peak_18996_2	chr22(.):42914829-42916332	1.2957
MACS_peak_18997	chr22(.):42927696-42931154	0.4879
MACS_peak_18998	chr22(.):42931687-42936587	0.4477
