REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_7718_lociStitched	chr20	10650744	10656012	3	4763	3611.214	1034.1084	323	JAG1		JAG1	JAG1	0.055099999999999996	323	1
1_MACS_peak_807_lociStitched	chr1	160641409	160646170	1	4762	5753.6685	2032.4709	324		SLAMF1,CD48	SLAMF1	CD48	0.1542	324	1
2_MACS_peak_9441_lociStitched	chr3	182505722	182513189	2	4757	4285.3113	2264.7411	325	ATP11B		ATP11B	ATP11B	0.023999999999999994	325	1
1_MACS_peak_1992_lociStitched	chr10	112217360	112222111	1	4752	7025.7788	1512.7184	326		DUSP5	DUSP5	DUSP5	0.1962	326	1
2_MACS_peak_11980_lociStitched	chr6	130004386	130009510	2	4751	9220.638	1566.9192	327	ARHGAP18		ARHGAP18	ARHGAP18	0.08839999999999998	327	1
3_MACS_peak_4381_lociStitched	chr15	70047342	70053912	3	4751	6316.398	1654.326	328			C15orf50	C15orf50	NONE	328	1
3_MACS_peak_5380_lociStitched	chr17	47816507	47827020	3	4751	6220.5421	2332.8347	329	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	0.06969999999999998	329	1
4_MACS_peak_3834_lociStitched	chr14	50466832	50475830	4	4731	3412.9414	1117.5516	330	C14orf182		C14orf182	C14orf182	0.0907	330	1
3_MACS_peak_2753_lociStitched	chr11	130045453	130052302	3	4728	4472.397	1737.5913	331	ST14		ST14	ST14	0.04580000000000001	331	1
2_MACS_peak_12978_lociStitched	chr8	1991439	2000138	2	4720	5818.7611	1577.1287	332	MYOM2		MYOM2	MYOM2	0.17079999999999998	332	1
2_MACS_peak_6346_lociStitched	chr19	49375135	49380443	2	4707	5403.0132	1249.5032	333	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	PPP1R15A	0.3256	333	1
3_MACS_peak_11110_lociStitched	chr5	151128752	151138888	3	4703	5057.864	1903.5408	334	ATOX1	G3BP1	ATOX1	ATOX1	0.1343	334	1
2_MACS_peak_6278_lociStitched	chr19	42039052	42047398	2	4685	7543.9494	1859.4888	335		CEACAM21	CEACAM21	NONE	NONE	335	1
1_MACS_peak_8244_lociStitched	chr21	43481066	43485747	1	4682	6744.8529	2138.7489	336	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.07790000000000002	336	1
1_MACS_peak_6769_lociStitched	chr2	65141411	65146087	1	4677	4279.4752	1520.1676	337	LOC400958		LOC400958	LOC400958	0.1276	337	1
3_MACS_peak_2499_lociStitched	chr11	78131163	78139522	3	4677	5488.5194	1803.0363	338		GAB2	GAB2	GAB2	0.018000000000000016	338	1
2_MACS_peak_4520_lociStitched	chr15	89655082	89660426	2	4662	5995.968	1267.5968	339	ABHD2		ABHD2	ABHD2	0.07200000000000001	339	1
2_MACS_peak_7293_lociStitched	chr2	175457899	175463510	2	4661	5842.1732	1514.4089	340	WIPF1		WIPF1	WIPF1	0.04630000000000001	340	1
3_MACS_peak_6253_lociStitched	chr19	39339456	39348727	3	4660	4467.6949	1703.0827	341	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	0.11309999999999998	341	1
2_MACS_peak_5060_lociStitched	chr17	2295672	2305627	2	4655	4175.127	1716.242	342	MNT	LOC284009	MNT	MNT	0.08180000000000001	342	1
2_MACS_peak_13120_lociStitched	chr8	28347224	28351943	2	4649	3696.8646	1140.1104	343	FZD3,FBXO16	MIR4288	FBXO16	FBXO16	0.053800000000000014	343	1
2_MACS_peak_4427_lociStitched	chr15	75334712	75340504	2	4641	7798.3488	1645.5072	344	PPCDC	SCAMP5	PPCDC	PPCDC	0.18369999999999997	344	1
3_MACS_peak_2222_lociStitched	chr11	21432305	21437822	3	4640	6785.3583	1244.0835	345	NELL1		NELL1	NONE	NONE	345	1
3_MACS_peak_8372_lociStitched	chr22	26986046	26991490	3	4636	4584.3924	1383.8648	346	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	0.33709999999999996	346	1
2_MACS_peak_1434_lociStitched	chr10	3846775	3854368	2	4618	6991.6344	1720.5738	347		KLF6	KLF6	KLF6	0.1529	347	1
2_MACS_peak_6164_lociStitched	chr19	16476768	16483719	2	4613	6783.4809	1385.3343	348	EPS15L1	KLF2	KLF2	KLF2	0.257	348	1
1_MACS_peak_13969_lociStitched	chr9	102580986	102585581	1	4596	4400.172	1077.5275	349	NR4A3	NR4A3	NR4A3	NR4A3	0.0882	349	1
1_MACS_peak_8261_lociStitched	chr21	44581713	44586304	1	4592	6321.3479	1903.8877	350		CRYAA	CRYAA	CRYAA	0.22390000000000002	350	1
2_MACS_peak_12429_lociStitched	chr7	47514243	47522354	2	4589	5876.4195	2300.2796	351	TNS3		TNS3	TNS3	0.007900000000000018	351	1
1_MACS_peak_11329_lociStitched	chr6	7135300	7139886	1	4587	3817.845	1347.8254	352	RREB1		RREB1	RREB1	0.0421	352	1
1_MACS_peak_5573_lociStitched	chr17	75205102	75209684	1	4583	5343.9866	1501.9796	353	SEC14L1		SEC14L1	SEC14L1	0.14489999999999997	353	1
2_MACS_peak_9450_lociStitched	chr3	183228830	183235093	2	4572	7103.4946	2423.781	354	KLHL6		KLHL6	KLHL6	0.2156	354	1
1_MACS_peak_6045_lociStitched	chr19	2607228	2611793	1	4566	9115.392	1654.356	355	GNG7		GNG7	GNG7	0.12440000000000001	355	1
2_MACS_peak_4996_lociStitched	chr16	81842235	81851996	2	4560	4847.3126	1210.364	356	PLCG2		PLCG2	PLCG2	0.028500000000000004	356	1
2_MACS_peak_13180_lociStitched	chr8	38239248	38244816	2	4558	3293.472	1321.8432	357	LETM2,WHSC1L1		LETM2	LETM2	0.07370000000000002	357	1
3_MACS_peak_8454_lociStitched	chr22	37614360	37620734	3	4555	4460.5252	1659.1522	358		C1QTNF6,SSTR3,RAC2	SSTR3	RAC2	0.1456	358	1
1_MACS_peak_8226_lociStitched	chr21	41304012	41308558	1	4547	5533.3912	1858.8594	359			PCP4	PCP4	NONE	359	1
2_MACS_peak_9352_lociStitched	chr3	169845903	169851155	2	4546	5255.1512	1776.7516	360	PHC3		PHC3	PHC3	0.09179999999999999	360	1
2_MACS_peak_6623_lociStitched	chr2	42328205	42333934	2	4543	6296.7439	1448.2912	361			PKDCC	PKDCC	NONE	361	1
2_MACS_peak_1263_lociStitched	chr1	226248769	226253342	2	4542	3042.4169	1226.0213	362	LOC440926,H3F3A		LOC440926	LOC440926	0.08859999999999998	362	1
3_MACS_peak_11591_lociStitched	chr6	37136651	37144495	3	4539	4314.9844	1386.0348	363	PIM1		PIM1	PIM1	0.19909999999999997	363	1
1_MACS_peak_8072_lociStitched	chr21	11168132	11172669	1	4538	4564.6757	2135.1122	364			BAGE	BAGE	NONE	364	1
2_MACS_peak_4133_lociStitched	chr15	31637295	31646428	2	4530	5719.0846	1769.0621	365	KLF13		KLF13	KLF13	0.17439999999999997	365	1
1_MACS_peak_6672_lociStitched	chr2	47209243	47213766	1	4524	4453.7981	1508.4205	366	TTC7A	MCFD2	MCFD2	MCFD2	0.027099999999999985	366	1
3_MACS_peak_10013_lociStitched	chr4	103533453	103542511	3	4523	5969.222	1964.6802	367	NFKB1		NFKB1	NFKB1	0.0524	367	1
2_MACS_peak_8438_lociStitched	chr22	36778807	36783534	2	4515	4176.7772	1222.8749	368	MYH9		MYH9	MYH9	0.06540000000000001	368	1
1_MACS_peak_3295_lociStitched	chr12	92755360	92759873	1	4514	4828.91	1189.6268	369			CLLU1	CLLU1	0.056499999999999995	369	1
1_MACS_peak_14356_lociStitched	chrX	48793930	48798441	1	4512	6555.8363	781.7563	370	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	0.18660000000000002	370	1
2_MACS_peak_14440_lociStitched	chrX	106915883	106920963	2	4506	3150.616	861.568	371		PRPS1,TSC22D3	TSC22D3	TSC22D3	0.19799999999999995	371	1
1_MACS_peak_933_lociStitched	chr1	179049122	179053617	1	4496	6149.6095	1775.9745	372	TOR3A		TOR3A	TOR3A	0.2381	372	1
3_MACS_peak_14161_lociStitched	chr9	132769076	132779720	3	4496	6820.6752	1629.5964	373	FNBP1	GPR107	FNBP1	FNBP1	0.07930000000000001	373	1
3_MACS_peak_11221_lociStitched	chr5	173330004	173341989	3	4490	5480.7405	2164.491	374	CPEB4		CPEB4	CPEB4	0.11199999999999996	374	1
2_MACS_peak_4388_lociStitched	chr15	70389605	70394581	2	4486	3791.712	1168.8624	375	TLE3	MIR629	TLE3	TLE3	0.0494	375	1
1_MACS_peak_8273_lociStitched	chr21	45135971	45140451	1	4481	4809.28	1381.632	376	PDXK		PDXK	PDXK	0.05150000000000002	376	1
2_MACS_peak_1306_lociStitched	chr1	230239240	230246651	2	4472	7164.2137	2398.1996	377	GALNT2		GALNT2	GALNT2	0.0718	377	1
2_MACS_peak_2381_lociStitched	chr11	62318781	62325346	2	4470	5063.5845	1694.4265	378		AHNAK,EEF1G,TUT1,MTA2	AHNAK	EEF1G	0.11970000000000003	378	1
1_MACS_peak_13630_lociStitched	chr9	5625931	5630397	1	4467	4778.1734	1183.49	379	KIAA1432	KIAA1432	KIAA1432	KIAA1432	0.04869999999999999	379	1
3_MACS_peak_4844_lociStitched	chr16	48641914	48647763	3	4464	3436.2875	1027.6693	380	N4BP1		N4BP1	N4BP1	0.042899999999999994	380	1
3_MACS_peak_14170_lociStitched	chr9	134127701	134139024	3	4464	4696.7804	1930.5715	381	FAM78A	PPAPDC3	FAM78A	FAM78A	0.1448	381	1
1_MACS_peak_10330_lociStitched	chr4	185302769	185307227	1	4459	8417.5956	1709.1972	382			IRF2	IRF2	NONE	382	1
2_MACS_peak_5506_lociStitched	chr17	66453702	66459577	2	4456	3439.8125	1485.2	383		PRKAR1A,MIR635,WIPI1	WIPI1	WIPI1	0.062299999999999994	383	1
2_MACS_peak_10151_lociStitched	chr4	140128197	140135907	2	4456	5023.065	1542.771	384			C4orf49	C4orf49	NONE	384	1
3_MACS_peak_10217_lociStitched	chr4	153580615	153587882	3	4455	4512.807	1607.4604	385	TMEM154		TMEM154	TMEM154	0.0766	385	1
2_MACS_peak_816_lociStitched	chr1	161008147	161017485	2	4452	6054.7592	2887.3096	386	TSTD1,USF1,ARHGAP30	F11R,PVRL4	USF1	USF1	0.19190000000000002	386	1
1_MACS_peak_6585_lociStitched	chr2	37601707	37606152	1	4446	6985.3175	1312.164	387		QPCT	QPCT	QPCT	0.372	387	1
2_MACS_peak_1154_lociStitched	chr1	209275957	209282511	2	4433	8020.7852	2365.994	388			LOC642587	LOC642587	NONE	388	1
2_MACS_peak_11207_lociStitched	chr5	172191647	172200111	2	4428	6289.5984	1619.1632	389	DUSP1		DUSP1	DUSP1	0.37060000000000004	389	1
2_MACS_peak_10402_lociStitched	chr5	1335743	1343981	2	4426	5264.082	1676.433	390	CLPTM1L	TERT	CLPTM1L	CLPTM1L	0.40580000000000005	390	1
3_MACS_peak_6096_lociStitched	chr19	10304468	10315873	3	4422	4873.3565	1771.1965	391	DNMT1	MIR4322,MRPL4,S1PR2	DNMT1	S1PR2	0.24869999999999998	391	1
2_MACS_peak_4873_lociStitched	chr16	56944173	56952052	2	4412	8671.6274	1805.0789	392	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.34330000000000005	392	1
2_MACS_peak_11499_lociStitched	chr6	27857923	27863621	2	4407	3570.9366	1731.6222	393	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	HIST1H2AM	0.2036	393	1
2_MACS_peak_736_lociStitched	chr1	154756927	154765064	2	4401	7958.7997	2818.6568	394	KCNN3		KCNN3	KCNN3	0.06409999999999999	394	1
1_MACS_peak_1433_lociStitched	chr10	3824187	3828586	1	4400	3031.7908	852.9661	395	KLF6		KLF6	KLF6	0.1529	395	1
1_MACS_peak_2804_lociStitched	chr12	4224863	4229261	1	4399	11331.8868	1594.7148	396			CCND2	CCND2	0.1487	396	1
4_MACS_peak_368_lociStitched	chr1	59473292	59486547	4	4395	4456.331	2311.672	397			LOC729467	LOC729467	NONE	397	1
2_MACS_peak_2636_lociStitched	chr11	115126262	115135945	2	4390	8678.8729	2046.9862	398	CADM1		CADM1	CADM1	0.06740000000000002	398	1
1_MACS_peak_5335_lociStitched	chr17	43302802	43307189	1	4388	4243.9838	1137.5491	399	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.12009999999999998	399	1
1_MACS_peak_10559_lociStitched	chr5	43039344	43043724	1	4381	3923.166	1113.834	400	LOC153684,C5orf39	LOC648987,LOC100132356	LOC153684	LOC153684	0.23750000000000002	400	1
2_MACS_peak_4035_lociStitched	chr14	106026140	106034153	2	4380	4468.0488	1413.4932	401		TMEM121	TMEM121	TMEM121	0.027900000000000008	401	1
2_MACS_peak_8854_lociStitched	chr3	52739363	52745280	2	4375	3815.8733	1360.91	402	SPCS1,GLT8D1,NEK4	GNL3,SNORD19,SNORD19B,SNORD69,PBRM1,GLT8D1	GLT8D1	GLT8D1	0.1284	402	1
2_MACS_peak_4037_lociStitched	chr14	106040391	106049664	2	4371	10049.1501	1930.6386	403		TMEM121	TMEM121	TMEM121	0.027900000000000008	403	1
2_MACS_peak_7050_lociStitched	chr2	114187940	114196405	2	4368	3974.3175	1849.6025	404	CBWD2,LOC440839		CBWD2	CBWD2	0.016699999999999993	404	1
2_MACS_peak_11875_lociStitched	chr6	106610536	106616325	2	4365	6230.7007	1898.792	405			PRDM1	PRDM1	0.2733	405	1
1_MACS_peak_11243_lociStitched	chr5	176726903	176731266	1	4364	3306.7177	1088.5685	406	NSD1,PRELID1,RAB24	MXD3,LMAN2	RAB24	RAB24	0.2179	406	1
2_MACS_peak_618_lociStitched	chr1	144518241	144522603	2	4361	3774.4386	1083.957	407	LOC728875		C1orf152	C1orf152	NONE	407	1
3_MACS_peak_1430_lociStitched	chr10	3799071	3808021	3	4360	4418.615	1662.015	408		KLF6	KLF6	KLF6	0.1529	408	1
2_MACS_peak_663_lociStitched	chr1	148598034	148606018	2	4355	3647.0912	1805.9808	409		NBPF15,NBPF16,PPIAL4E	NBPF16	NBPF15	0.012300000000000005	409	1
2_MACS_peak_18_lociStitched	chr1	1669095	1678802	2	4351	3948.8076	1633.6881	410	SLC35E2	SLC35E2B,CDK11B,CDK11A,NADK	SLC35E2	SLC35E2	0.0933	410	1
2_MACS_peak_3056_lociStitched	chr12	46608205	46612640	2	4344	5228.4215	1254.6615	411	SLC38A1		SLC38A1	SLC38A1	0.0819	411	1
2_MACS_peak_10510_lociStitched	chr5	32582196	32586999	2	4340	3383.7135	1081.6356	412	SUB1		SUB1	SUB1	0.17409999999999998	412	1
2_MACS_peak_130_lociStitched	chr1	23850852	23855861	2	4335	5007.4973	1587.853	413	E2F2	ASAP3,ID3	E2F2	E2F2	0.13460000000000003	413	1
2_MACS_peak_12555_lociStitched	chr7	78115169	78123663	2	4329	5561.8712	2329.9042	414	MAGI2		RPL13AP17	RPL13AP17	NONE	414	1
2_MACS_peak_10347_lociStitched	chr4	186124372	186131027	2	4327	3095.906	1418.846	415	KIAA1430	SNX25	KIAA1430	SNX25	0.0733	415	1
2_MACS_peak_3895_lociStitched	chr14	69259335	69263714	2	4322	3321.0336	411.1881	416	ZFP36L1,C14orf181		C14orf181	C14orf181	0.2732	416	1
2_MACS_peak_11480_lociStitched	chr6	26532110	26538994	2	4321	3857.1052	1287.308	417	HMGN4	BTN1A1,HCG11	HMGN4	HMGN4	0.14019999999999996	417	1
2_MACS_peak_2965_lociStitched	chr12	27331108	27339671	2	4321	7483.2057	2213.5355	418			STK38L	STK38L	NONE	418	1
1_MACS_peak_14057_lociStitched	chr9	117146779	117151097	1	4319	3808.476	1170.6098	419	AKNA		AKNA	AKNA	0.0839	419	1
1_MACS_peak_5313_lociStitched	chr17	40608468	40612784	1	4317	3631.0508	1046.1984	420	ATP6V0A1	PTRF	ATP6V0A1	ATP6V0A1	0.023999999999999994	420	1
1_MACS_peak_4285_lociStitched	chr15	52754843	52759157	1	4315	3495.2028	1218.705	421	MYO5A		MYO5A	MYO5A	0.040700000000000014	421	1
2_MACS_peak_8654_lociStitched	chr3	15835397	15840182	2	4310	3975.8565	1151.271	422	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.032299999999999995	422	1
2_MACS_peak_12682_lociStitched	chr7	104596689	104604955	2	4305	7342.6878	1943.3366	423		MLL5,LOC723809,LOC100216545	LOC723809	LOC100216545	0.41640000000000005	423	1
3_MACS_peak_9868_lociStitched	chr4	77608971	77619381	3	4305	5290.362	2471.334	424	SHROOM3		ANKRD56	ANKRD56	NONE	424	1
3_MACS_peak_7134_lociStitched	chr2	135163617	135170225	3	4299	4525.8192	1435.9184	425	MGAT5	LOC151162	LOC151162	NONE	NONE	425	1
1_MACS_peak_930_lociStitched	chr1	178546967	178551264	1	4298	5302.498	1812.4746	426		C1orf220	C1orf220	C1orf220	0.016000000000000014	426	1
3_MACS_peak_1825_lociStitched	chr10	81946805	81957175	3	4293	5112.41	2112.369	427	ANXA11		ANXA11	ANXA11	0.04999999999999999	427	1
2_MACS_peak_3637_lociStitched	chr13	77899584	77904939	2	4292	3445.407	1276.0965	428	MYCBP2		MYCBP2	MYCBP2	0.003500000000000003	428	1
2_MACS_peak_6894_lociStitched	chr2	89050649	89055272	2	4280	5114.4249	1297.2138	429		ANKRD36BP2	ANKRD36BP2	ANKRD36BP2	0.0204	429	1
1_MACS_peak_99_lociStitched	chr1	16990774	16995051	1	4278	6313.2797	2462.2689	430		MST1P2,CROCCP2	MST1P2	MST1P2	0.014000000000000012	430	1
2_MACS_peak_10970_lociStitched	chr5	131435767	131440991	2	4275	5964.7632	1560.4088	431		IL3,CSF2	CSF2	NONE	NONE	431	1
3_MACS_peak_5339_lociStitched	chr17	43517508	43530672	3	4273	4819.3404	2419.5432	432	PLEKHM1	ARHGAP27,SH3D20,MIR4315-1	SH3D20	SH3D20	0.0582	432	1
1_MACS_peak_9351_lociStitched	chr3	169771766	169776037	1	4272	3239.1264	1543.5394	433	GPR160		GPR160	GPR160	0.1021	433	1
2_MACS_peak_11150_lociStitched	chr5	157285142	157290329	2	4272	3467.5095	982.9365	434	CLINT1		CLINT1	CLINT1	0.039900000000000005	434	1
2_MACS_peak_13441_lociStitched	chr8	118450629	118456346	2	4268	10242.5772	1388.0876	435			MED30	MED30	NONE	435	1
1_MACS_peak_13550_lociStitched	chr8	134510186	134514451	1	4266	5178.9895	1274.382	436	ST3GAL1		ST3GAL1	ST3GAL1	0.05300000000000002	436	1
2_MACS_peak_2446_lociStitched	chr11	67647502	67654005	2	4265	5275.8839	1922.9371	437			LOC645332	LOC645332	NONE	437	1
3_MACS_peak_8520_lociStitched	chr22	42928627	42936070	3	4260	6481.3644	2104.8804	438		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	SERHL2	0.056599999999999984	438	1
3_MACS_peak_5645_lociStitched	chr17	80451430	80457781	3	4258	3663.2568	1312.7517	439		NARF,FOXK2,C17orf62	FOXK2	C17orf62	0.0797	439	1
2_MACS_peak_4557_lociStitched	chr15	93346643	93354466	2	4255	4257.2766	1265.7614	440		ASB9P1	ASB9P1	ASB9P1	0.011099999999999999	440	1
3_MACS_peak_3299_lociStitched	chr12	92855317	92865981	3	4244	6043.2888	2134.9328	441		CLLU1,CLLU1OS	CLLU1OS	CLLU1OS	0.0601	441	1
3_MACS_peak_4827_lociStitched	chr16	31879830	31889458	3	4242	4322.972	1415.316	442	ZNF267		ZNF267	ZNF267	0.06040000000000001	442	1
3_MACS_peak_2070_lociStitched	chr10	129860887	129868233	3	4239	3620.1088	1571.3094	443	PTPRE		PTPRE	PTPRE	0.012700000000000003	443	1
1_MACS_peak_12812_lociStitched	chr7	128577342	128581576	1	4235	2678.4284	1370.9692	444	IRF5	KCP	IRF5	IRF5	0.08039999999999997	444	1
2_MACS_peak_4205_lociStitched	chr15	42896684	42901027	2	4234	3917.8203	955.0257	445	STARD9		STARD9	STARD9	0.022999999999999993	445	1
2_MACS_peak_11140_lociStitched	chr5	156692399	156700350	2	4234	5326.3749	1835.8859	446	CYFIP2		CYFIP2	CYFIP2	0.0189	446	1
3_MACS_peak_5176_lociStitched	chr17	20205145	20211354	3	4233	3623.5724	1251.1135	447	SPECC1	CCDC144C	CCDC144C	CCDC144C	0.009399999999999992	447	1
2_MACS_peak_6565_lociStitched	chr2	33718633	33723215	2	4229	5378.3516	1211.939	448	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.0862	448	1
2_MACS_peak_774_lociStitched	chr1	156469819	156476107	2	4226	7063.3104	2167.4736	449	MEF2D		MEF2D	MEF2D	0.171	449	1
1_MACS_peak_5165_lociStitched	chr17	19206529	19210753	1	4225	5705.3568	1301.4144	450	EPN2	MIR1180	MIR1180	NONE	NONE	450	1
3_MACS_peak_11940_lociStitched	chr6	117859487	117870961	3	4206	5732.4104	2170.8808	451	DCBLD1		GOPC	GOPC	NONE	451	1
2_MACS_peak_6447_lociStitched	chr2	10584626	10589599	2	4204	3623.8251	908.0698	452	ODC1,SNORA80B		SNORA80B	SNORA80B	0.2877	452	1
3_MACS_peak_11667_lociStitched	chr6	52438563	52442901	3	4203	3384.5076	1319.1858	453	TRAM2		TRAM2	TRAM2	0.21090000000000003	453	1
2_MACS_peak_6280_lociStitched	chr19	42054823	42059946	2	4201	4330.9842	1384.7469	454		CEACAM21	CEACAM21	NONE	NONE	454	1
2_MACS_peak_187_lociStitched	chr1	28906740	28914313	2	4198	3330.6054	1398.7331	455	SNHG12,SNORA44,SNORA16A	TRNAU1AP,RAB42,SNORD99,SNORA61	SNHG12	RAB42	0.1909	455	1
1_MACS_peak_875_lociStitched	chr1	167596644	167600840	1	4197	4028.5796	1634.342	456	RCSD1		RCSD1	RCSD1	0.018599999999999978	456	1
1_MACS_peak_10700_lociStitched	chr5	75697084	75701275	1	4192	4096.2834	1125.7026	457	IQGAP2		IQGAP2	IQGAP2	0.02579999999999999	457	1
2_MACS_peak_4535_lociStitched	chr15	90726967	90735622	2	4185	4170.8445	2032.194	458	SEMA4B	SEMA4B,C15orf58,CIB1	SEMA4B	SEMA4B	0.04299999999999998	458	1
2_MACS_peak_5594_lociStitched	chr17	76143289	76152102	2	4184	5910.8791	1759.9561	459	C17orf99	TMC8,SYNGR2,AFMID,TMC6,TK1	C17orf99	C17orf99	0.1882	459	1
3_MACS_peak_2343_lociStitched	chr11	58865091	58876136	3	4184	4658.781	2171.447	460	FAM111B	FAM111A,LOC283194	FAM111B	FAM111A	0.11649999999999999	460	1
1_MACS_peak_1749_lociStitched	chr10	70846551	70850731	1	4181	3621.552	1336.346	461	SRGN	VPS26A	SRGN	SRGN	0.11579999999999999	461	1
2_MACS_peak_2655_lociStitched	chr11	117878260	117883358	2	4179	6475.4796	1123.5992	462		IL10RA	IL10RA	IL10RA	0.08450000000000002	462	1
3_MACS_peak_4220_lociStitched	chr15	45016199	45021856	3	4175	3828.0919	1581.1315	463		B2M,TRIM69,PATL2	TRIM69	B2M	0.1576	463	1
3_MACS_peak_4882_lociStitched	chr16	57570132	57578773	3	4175	4527.0199	1570.0697	464	GPR114,CCDC102A	DOK4	GPR114	GPR114	0.05460000000000001	464	1
2_MACS_peak_11931_lociStitched	chr6	114176442	114180741	2	4170	3455.9661	923.4252	465	MARCKS	FLJ34503	MARCKS	MARCKS	0.1809	465	1
2_MACS_peak_13778_lociStitched	chr9	70488985	70497568	2	4168	3392.0016	1706.3004	466	CBWD5,CBWD3		CBWD5	CBWD5	0.018299999999999997	466	1
2_MACS_peak_8158_lociStitched	chr21	34637609	34642195	2	4167	2950.6324	1331.7744	467	IL10RB	IFNAR2	IL10RB	IFNAR2	0.09409999999999999	467	1
1_MACS_peak_1456_lociStitched	chr10	6967216	6971378	1	4163	5216.2346	1100.0166	468			LOC439949	LOC439949	NONE	468	1
2_MACS_peak_117_lociStitched	chr1	21616805	21622231	2	4161	5065.171	1447.6568	469	ECE1	ECE1	ECE1	ECE1	0.023699999999999985	469	1
1_MACS_peak_13551_lociStitched	chr8	134579339	134583493	1	4155	3120.4848	1055.9468	470	ST3GAL1		ST3GAL1	ST3GAL1	0.05300000000000002	470	1
2_MACS_peak_10736_lociStitched	chr5	81146740	81151547	2	4151	4699.3232	1126.2801	471			SSBP2	SSBP2	NONE	471	1
2_MACS_peak_3753_lociStitched	chr13	114789695	114794119	2	4148	4500.9776	836.5784	472	RASA3		RASA3	RASA3	0.07949999999999999	472	1
2_MACS_peak_1760_lociStitched	chr10	72252597	72260222	2	4147	3713.375	1954.2875	473	KIAA1274		KIAA1274	KIAA1274	0.045499999999999985	473	1
2_MACS_peak_7913_lociStitched	chr20	43679843	43684514	2	4142	3709.2411	885.1545	474	STK4	KCNS1	KCNS1	NONE	NONE	474	1
2_MACS_peak_6022_lociStitched	chr19	1897105	1906252	2	4141	4045.7181	2294.0676	475	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	KLF16	0.1381	475	1
1_MACS_peak_8024_lociStitched	chr20	56192666	56196791	1	4126	4558.5375	1087.7625	476	ZBP1		ZBP1	ZBP1	0.2019	476	1
3_MACS_peak_13240_lociStitched	chr8	54930721	54935617	3	4122	3116.7936	1080.0576	477	TCEA1		TCEA1	TCEA1	0.027599999999999986	477	1
1_MACS_peak_1269_lociStitched	chr1	226592563	226596682	1	4120	3122.202	1152.0843	478	PARP1		PARP1	PARP1	0.013300000000000006	478	1
3_MACS_peak_1283_lociStitched	chr1	228290359	228300732	3	4117	3899.2107	2626.4436	479	C1orf35,MRPL55	ARF1,MIR3620,GUK1,GJC2	MRPL55	ARF1	0.13729999999999998	479	1
1_MACS_peak_4907_lociStitched	chr16	66555591	66559704	1	4114	7073.1261	1364.2821	480	TK2	CKLF,CMTM1	TK2	TK2	0.17129999999999998	480	1
2_MACS_peak_13091_lociStitched	chr8	23076673	23083268	2	4111	3126.03	1086.1965	481	LOC389641,TNFRSF10A	CHMP7	TNFRSF10A	TNFRSF10A	0.05049999999999999	481	1
2_MACS_peak_13782_lociStitched	chr9	70849402	70857883	2	4106	3210.9066	1695.3519	482	CBWD3		CBWD3	CBWD3	0.018299999999999997	482	1
3_MACS_peak_13603_lociStitched	chr9	178037	186468	3	4095	3469.3565	1468.6802	483	CBWD1	LOC642313,DOCK8,C9orf66	CBWD1	CBWD1	0.018100000000000005	483	1
2_MACS_peak_6830_lociStitched	chr2	74425061	74434263	2	4090	4243.0422	2048.3652	484	MTHFD2	MOBKL1B	MTHFD2	MTHFD2	0.07879999999999998	484	1
3_MACS_peak_6612_lociStitched	chr2	39694603	39702126	3	4086	4749.2699	1607.6651	485		MAP4K3	MAP4K3	MAP4K3	0.01969999999999998	485	1
3_MACS_peak_2103_lociStitched	chr11	2793450	2800680	3	4081	4717.575	1907.274	486	KCNQ1		KCNQ1OT1	KCNQ1OT1	NONE	486	1
2_MACS_peak_5733_lociStitched	chr18	13610376	13614480	2	4076	6600.0528	967.7232	487	C18orf1	C18orf1	C18orf1	C18orf1	0.017700000000000007	487	1
1_MACS_peak_12928_lociStitched	chr7	150017418	150021488	1	4071	4422.462	1618.639	488	LRRC61,ACTR3C	C7orf29,REPIN1,ACTR3C,RARRES2	LRRC61	REPIN1	0.38969999999999994	488	1
