REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_20981_lociStitched	chr4	38306918	38322531	2	13198	26926.1798	3700.281	374			KLF3	374	1
2_MACS_peak_28392_lociStitched	chr8	142126388	142141026	2	9989	25973.6672	2768.0458	375	DENND3		DENND3	375	1
2_MACS_peak_4257_lociStitched	chr10	125151589	125163946	2	10952	25434.4131	2269.9809	376			BUB3	376	1
4_MACS_peak_30523_lociStitched	chrX	128901626	128921423	4	16168	25490.6172	2340.0054	377	XPNPEP2,SASH3		SASH3	377	1
2_MACS_peak_2339_lociStitched	chr1	200984258	200996995	2	11434	26508.2444	3386.7683	378	KIF21B		KIF21B	378	1
1_MACS_peak_8823_lociStitched	chr14	106323784	106329590	1	5807	23816.7926	709.4932	379			KIAA0125	379	1
3_MACS_peak_21053_lociStitched	chr4	48191213	48206619	3	13470	26080.8174	3030.3602	380	TEC		TXK	380	1
3_MACS_peak_19106_lociStitched	chr3	45592834	45618062	3	15199	27541.4076	4500.6752	381		LIMD1	LIMD1	381	1
3_MACS_peak_11701_lociStitched	chr17	38251170	38270773	3	16693	27544.1753	4506.7297	382	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	382	1
1_MACS_peak_2794_lociStitched	chr1	230238247	230249690	1	11444	26252.5306	3414.5912	383	GALNT2		GALNT2	383	1
2_MACS_peak_16205_lociStitched	chr2	192530028	192546119	2	10749	26167.1842	3332.4461	384	OBFC2A		OBFC2A	384	1
4_MACS_peak_14999_lociStitched	chr2	64430466	64456468	4	18728	27913.147	5085.9912	385	LOC150992		LOC150992	385	1
3_MACS_peak_13597_lociStitched	chr19	16180230	16198200	3	10966	26149.944	3351.405	386	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	386	1
3_MACS_peak_17181_lociStitched	chr20	34673179	34691175	3	15753	25946.6328	3152.8992	387		EPB41L1,LOC647979	EPB41L1	387	1
2_MACS_peak_1895_lociStitched	chr1	161007709	161018715	2	7098	25832.1826	3123.5028	388	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	388	1
1_MACS_peak_15253_lociStitched	chr2	86260932	86267630	1	6699	24275.5614	1617.567	389	POLR1A	LOC90784	LOC90784	389	1
3_MACS_peak_10942_lociStitched	chr16	81841200	81857831	3	14384	24397.677	1747.9181	390	PLCG2		PLCG2	390	1
2_MACS_peak_20641_lociStitched	chr3	197449870	197465183	2	11499	26840.6264	4203.4185	391	KIAA0226	FYTTD1,MIR922	KIAA0226	391	1
3_MACS_peak_24406_lociStitched	chr6	42737782	42752483	3	11511	25345.9941	2715.2747	392		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	392	1
2_MACS_peak_1614_lociStitched	chr1	150120960	150139257	2	12468	27397.9278	4784.6655	393	PLEKHO1		PLEKHO1	393	1
5_MACS_peak_5370_lociStitched	chr11	82666238	82690634	5	15590	27360.114	4801.1328	394			C11orf82	394	1
1_MACS_peak_28348_lociStitched	chr8	134508175	134515719	1	7545	24524.7896	1975.0192	395	ST3GAL1		ST3GAL1	395	1
2_MACS_peak_25197_lociStitched	chr6	135190281	135204140	2	8718	25145.7696	2653.9985	396			ALDH8A1	396	1
6_MACS_peak_12822_lociStitched	chr18	42287503	42314516	6	24718	27234.5066	4743.4828	397	SETBP1		SETBP1	397	1
4_MACS_peak_22777_lociStitched	chr5	88595588	88617499	4	13644	26698.5535	4248.5429	398			MEF2C	398	1
5_MACS_peak_8555_lociStitched	chr14	77487736	77510887	5	18068	25005.3951	2579.0214	399	C14orf4		C14orf4	399	1
3_MACS_peak_13431_lociStitched	chr19	10328982	10347966	3	13376	25505.004	3122.868	400	MIR4322,S1PR2	MRPL4,ICAM1,ICAM4,DNMT1	MIR4322	400	1
2_MACS_peak_21250_lociStitched	chr4	77601723	77625128	2	19268	27224.696	4901.007	401	SHROOM3		ANKRD56	401	1
2_MACS_peak_13945_lociStitched	chr19	41801235	41817311	2	11094	25332.5608	3035.1488	402	HNRNPUL1,CCDC97	TGFB1	CCDC97	402	1
2_MACS_peak_23717_lociStitched	chr6	381263	401518	2	14258	26276.8115	4069.2295	403	IRF4		IRF4	403	1
2_MACS_peak_26946_lociStitched	chr7	134670217	134683959	2	10775	26052.0836	3857.3794	404	AGBL3		AGBL3	404	1
4_MACS_peak_28432_lociStitched	chr8	145002268	145027689	4	15314	25326.9423	3225.9249	405	PLEC,MIR661	GRINA,PARP10	PLEC	405	1
4_MACS_peak_10245_lociStitched	chr16	14486387	14503843	4	13348	25152.3504	3067.0192	406			MIR365-1	406	1
2_MACS_peak_7407_lociStitched	chr12	125398163	125413101	2	10402	23881.3806	1811.9794	407	UBC	SCARB1	UBC	407	1
3_MACS_peak_23576_lociStitched	chr5	172191043	172205893	3	12163	24799.5	2733.885	408	DUSP1		DUSP1	408	1
1_MACS_peak_17570_lociStitched	chr20	60910717	60916901	1	6185	23682.8648	1638.76	409	LAMA5	ADRM1,RPS21	LAMA5	409	1
6_MACS_peak_9461_lociStitched	chr15	67366016	67396406	6	20568	27426.975	5427.654	410	SMAD3	SMAD3	SMAD3	410	1
1_MACS_peak_20315_lociStitched	chr3	174864718	174871804	1	7087	24314.1918	2315.7048	411	NAALADL2		NAALADL2	411	1
2_MACS_peak_3077_lociStitched	chr10	6961578	6973125	2	7938	24016.6053	2198.5488	412			LOC439949	412	1
3_MACS_peak_19022_lociStitched	chr3	39247647	39264172	3	14145	25190.71	3376.0575	413		XIRP1	XIRP1	413	1
3_MACS_peak_5630_lociStitched	chr11	115123529	115137716	3	13692	24647.0751	2851.587	414	CADM1		CADM1	414	1
1_MACS_peak_2766_lociStitched	chr1	228268826	228279934	1	11109	25212.9384	3425.7072	415	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	415	1
2_MACS_peak_28924_lociStitched	chr9	73026503	73036821	2	7636	23550.835	1787.0776	416	KLF9		KLF9	416	1
5_MACS_peak_11233_lociStitched	chr17	7736855	7762276	5	14873	26219.2194	4479.1802	417	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	417	1
1_MACS_peak_15784_lociStitched	chr2	137136205	137143585	1	7381	23399.766	1661.976	418			CXCR4	418	1
1_MACS_peak_11518_lociStitched	chr17	29636071	29651078	1	15008	24815.5752	3133.4616	419	NF1,EVI2B,EVI2A	OMG	EVI2B	419	1
3_MACS_peak_4128_lociStitched	chr10	111966752	111986551	3	12974	25784.2377	4128.0915	420	MXI1		MXI1	420	1
3_MACS_peak_2774_lociStitched	chr1	228665292	228679138	3	8209	24123.8858	2497.8184	421	RNF187	HIST3H2BB,HIST3H2A	RNF187	421	1
6_MACS_peak_18655_lociStitched	chr22	50962753	50983552	6	13904	25195.9086	3641.9049	422	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	422	1
1_MACS_peak_15883_lociStitched	chr2	158294224	158302413	1	8190	23742.3677	2260.9829	423	CYTIP		CYTIP	423	1
3_MACS_peak_576_lociStitched	chr1	36614079	36628168	3	10905	24171.0884	2723.4037	424	MAP7D1,TRAPPC3	COL8A2	MAP7D1	424	1
6_MACS_peak_13215_lociStitched	chr19	1647818	1672869	6	13810	26716.8915	5270.7304	425	TCF3	UQCR11	TCF3	425	1
2_MACS_peak_17092_lociStitched	chr20	31254589	31270789	2	12160	24593.22	3149.28	426		C20orf203	C20orf203	426	1
5_MACS_peak_12261_lociStitched	chr17	72733052	72757163	5	20686	26321.9787	4913.8218	427	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	427	1
1_MACS_peak_16457_lociStitched	chr2	217080147	217089738	1	9592	23797.1892	2391.0363	428			XRCC5	428	1
4_MACS_peak_5268_lociStitched	chr11	72976799	73002050	4	17094	25495.9347	4113.3879	429	P2RY6	P2RY2,ARHGEF17	P2RY6	429	1
3_MACS_peak_27495_lociStitched	chr8	29403965	29420516	3	12078	24376.3128	2994.0759	430			C8orf75	430	1
1_MACS_peak_24958_lociStitched	chr6	109214202	109228723	1	14522	24409.801	3043.6016	431	ARMC2		ARMC2	431	1
3_MACS_peak_17936_lociStitched	chr21	44771874	44785738	3	9750	24445.0048	3098.604	432			SIK1	432	1
3_MACS_peak_26524_lociStitched	chr7	100020170	100035060	3	7864	23882.071	2538.745	433	MEPCE,ZCWPW1,C7orf47	PILRA,C7orf51,C7orf61,TSC22D4	MEPCE	433	1
1_MACS_peak_25736_lociStitched	chr7	20254600	20262907	1	8308	23370.0831	2042.6913	434	MACC1		MACC1	434	1
2_MACS_peak_21013_lociStitched	chr4	40301549	40319936	2	13405	25285.8024	4067.2044	435		CHRNA9	CHRNA9	435	1
3_MACS_peak_17772_lociStitched	chr21	34696135	34712634	3	8822	26211.9613	5000.8469	436	IFNAR1		IFNAR1	436	1
1_MACS_peak_12134_lociStitched	chr17	62196753	62210354	1	13602	24409.7147	3219.3567	437	ERN1	SNORD104,SNORA76	ERN1	437	1
3_MACS_peak_12504_lociStitched	chr17	80405718	80424211	3	9412	24708.4973	3552.5053	438	NARF,C17orf62	HEXDC,C17orf101	NARF	438	1
3_MACS_peak_16688_lociStitched	chr2	238599797	238613885	3	13606	22871.868	1730.0064	439	LRRFIP1		LRRFIP1	439	1
4_MACS_peak_10760_lociStitched	chr16	67562542	67587787	4	15087	25298.0145	4200.768	440	FAM65A	CTCF,ATP6V0D1,AGRP	FAM65A	440	1
4_MACS_peak_18463_lociStitched	chr22	39910376	39929416	4	10984	25222.288	4150.72	441	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	441	1
2_MACS_peak_2501_lociStitched	chr1	207994705	208006391	2	8819	24676.1576	3605.131	442	LOC148696	MIR29C,MIR29B2	LOC148696	442	1
2_MACS_peak_23335_lociStitched	chr5	148204759	148222481	2	13022	25190.0508	4180.6198	443	ADRB2		ADRB2	443	1
2_MACS_peak_13883_lociStitched	chr19	39338920	39349168	2	8213	22882.7592	1880.508	444	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	444	1
1_MACS_peak_14656_lociStitched	chr2	33699628	33706002	1	6375	22712.4742	1723.5296	445	RASGRP3	RASGRP3	RASGRP3	445	1
3_MACS_peak_5182_lociStitched	chr11	67644655	67660137	3	11781	24381.0536	3402.9436	446			LOC645332	446	1
6_MACS_peak_29215_lociStitched	chr9	101996416	102029428	6	13384	25930.926	5017.824	447		SEC61B,ALG2	SEC61B	447	1
5_MACS_peak_10842_lociStitched	chr16	70826060	70850538	5	15233	25364.1036	4452.5482	448	VAC14,HYDIN	LOC100130894	VAC14	448	1
6_MACS_peak_13517_lociStitched	chr19	12885542	12918210	6	14782	26216.07	5308.55	449	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	449	1
1_MACS_peak_3183_lociStitched	chr10	15824554	15834879	1	10326	23084.635	2241.5575	450	FAM188A		ITGA8	450	1
4_MACS_peak_14245_lociStitched	chr19	56145412	56167935	4	11142	24041.0502	3198.266	451	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	451	1
1_MACS_peak_13600_lociStitched	chr19	16221336	16232336	1	11001	23228.7	2396.9	452	RAB8A	TPM4,HSH2D	RAB8A	452	1
3_MACS_peak_12384_lociStitched	chr17	76137292	76152685	3	13726	23572.8402	2821.5369	453	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	453	1
1_MACS_peak_29378_lociStitched	chr9	117208883	117216715	1	7833	22651.7104	1904.7424	454	DFNB31		DFNB31	454	1
1_MACS_peak_14490_lociStitched	chr2	20615122	20631266	1	16145	23741.3664	3060.9024	455		RHOB	RHOB	455	1
4_MACS_peak_23192_lociStitched	chr5	138738389	138754987	4	10996	23934.316	3284.7442	456	SPATA24,DNAJC18	SLC23A1,MZB1,LOC389333	SPATA24	456	1
6_MACS_peak_24088_lociStitched	chr6	27094167	27126216	6	15204	26459.6544	5871.3768	457	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	457	1
3_MACS_peak_24034_lociStitched	chr6	26020213	26034964	3	12928	23703.3819	3178.8405	458	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	458	1
3_MACS_peak_17952_lociStitched	chr21	45194897	45210624	3	12079	24991.7757	4482.195	459	RRP1,CSTB	LOC284837	CSTB	459	1
2_MACS_peak_2564_lociStitched	chr1	211686753	211703075	2	12654	24915.533	4410.2044	460		RD3,SLC30A1	RD3	460	1
2_MACS_peak_9603_lociStitched	chr15	75352759	75371019	2	14571	24083.114	3606.35	461		PPCDC	PPCDC	461	1
4_MACS_peak_23375_lociStitched	chr5	150512910	150538149	4	16442	25095.1377	4628.8326	462	ANXA6		ANXA6	462	1
1_MACS_peak_157_lociStitched	chr1	11622771	11632851	1	10081	22428	2035.152	463			FBXO44	463	1
2_MACS_peak_29083_lociStitched	chr9	93948380	93957903	2	6851	22684.7383	2294.0907	464			LOC100129316	464	1
6_MACS_peak_8683_lociStitched	chr14	94422767	94447815	6	16150	23116.7992	2787.8424	465	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	465	1
4_MACS_peak_24348_lociStitched	chr6	37121480	37140893	4	11151	23536.3212	3263.3253	466	PIM1		PIM1	466	1
1_MACS_peak_4772_lociStitched	chr11	35159440	35169414	1	9975	22989.0726	2727.889	467	CD44		CD44	467	1
4_MACS_peak_17941_lociStitched	chr21	44843770	44862433	4	15625	24153.6546	3900.567	468	SIK1	C21orf125,C21orf84	SIK1	468	1
5_MACS_peak_22283_lociStitched	chr5	32275217	32296723	5	18788	24645.876	4415.1818	469	MTMR12		MTMR12	469	1
2_MACS_peak_4053_lociStitched	chr10	104401276	104413705	2	10395	22301.3547	2093.0436	470	TRIM8		TRIM8	470	1
2_MACS_peak_27470_lociStitched	chr8	28195031	28207387	2	9092	22568.234	2364.9384	471	PNOC,ZNF395		PNOC	471	1
1_MACS_peak_24473_lociStitched	chr6	45671525	45684492	1	12968	23070.8864	2879.9707	472			RUNX2	472	1
2_MACS_peak_25141_lociStitched	chr6	130832639	130849039	2	12668	23401.16	3239	473			TMEM200A	473	1
3_MACS_peak_14757_lociStitched	chr2	42343143	42361699	3	15346	24037.4424	3906.038	474		EML4	EML4	474	1
3_MACS_peak_19834_lociStitched	chr3	125548503	125561047	3	10762	22882.7648	2765.952	475		MIR548I1	MIR548I1	475	1
2_MACS_peak_12302_lociStitched	chr17	73773999	73782833	2	7521	22145.0712	2037.1204	476	UNK,H3F3B	GALK1	UNK	476	1
3_MACS_peak_15885_lociStitched	chr2	158323291	158337944	3	9708	23296.8047	3220.7294	477		CYTIP	CYTIP	477	1
2_MACS_peak_15042_lociStitched	chr2	65608850	65624784	2	14244	23137.7614	3068.8884	478	SPRED2	SPRED2	SPRED2	478	1
2_MACS_peak_17842_lociStitched	chr21	37905106	37916845	2	11501	22928.6148	2897.1852	479	CLDN14		CLDN14	479	1
3_MACS_peak_2163_lociStitched	chr1	183439013	183451517	3	8761	23572.5408	3563.64	480	SMG7		SMG7	480	1
2_MACS_peak_14001_lociStitched	chr19	44257429	44272057	2	10365	22690.9536	2695.9404	481	C19orf61,KCNN4	IRGC,LYPD5	C19orf61	481	1
1_MACS_peak_5215_lociStitched	chr11	69060723	69067503	1	6781	21493.278	1510.584	482	MYEOV		MYEOV	482	1
3_MACS_peak_15872_lociStitched	chr2	157188196	157207829	3	8995	23157.1235	3178.5827	483	NR4A2		NR4A2	483	1
2_MACS_peak_23373_lociStitched	chr5	150459539	150476080	2	12345	23334.3887	3376.0181	484	TNIP1	ANXA6	TNIP1	484	1
5_MACS_peak_15702_lociStitched	chr2	129127240	129147415	5	14067	22749.33	2792.22	485			HS6ST1	485	1
1_MACS_peak_26718_lociStitched	chr7	113723713	113728571	1	4859	21615.671	1706.6154	486	FOXP2		FOXP2	486	1
2_MACS_peak_12327_lociStitched	chr17	74257409	74268752	2	8484	22125.6558	2252.7198	487	FAM100B	RNF157,QRICH2	FAM100B	487	1
6_MACS_peak_15073_lociStitched	chr2	68936314	68965877	6	17268	25678.4218	5829.8236	488	ARHGAP25	ARHGAP25	ARHGAP25	488	1
7_MACS_peak_8857_lociStitched	chr15	21967031	22003899	7	21229	24967.0096	5120.9652	489		LOC646214,CXADRP2	CXADRP2	489	1
1_MACS_peak_6643_lociStitched	chr12	57076052	57083820	1	7769	21685.9256	1841.7928	490	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	490	1
2_MACS_peak_24939_lociStitched	chr6	108986204	108999115	2	12849	21960.3199	2148.3904	491	FOXO3		NCRNA00222	491	1
1_MACS_peak_1348_lociStitched	chr1	111172725	111181528	1	8804	20996.9156	1230.6594	492		KCNA2,KCNA3	KCNA2	492	1
4_MACS_peak_29075_lociStitched	chr9	93847239	93866649	4	14071	23606.442	3856.767	493		LOC100129316	LOC100129316	493	1
4_MACS_peak_10609_lociStitched	chr16	50713985	50732848	4	14759	22956.271	3206.71	494	NOD2,SNX20	CYLD	NOD2	494	1
1_MACS_peak_2852_lociStitched	chr1	234652061	234661546	1	9486	22507.905	2761.0835	495		TARBP1	TARBP1	495	1
2_MACS_peak_20570_lociStitched	chr3	193846977	193860682	2	13661	23213.529	3475.588	496	HES1		HES1	496	1
1_MACS_peak_2732_lociStitched	chr1	226308427	226317282	1	8856	22500.555	2788.4395	497			ACBD3	497	1
2_MACS_peak_18410_lociStitched	chr22	39095126	39103813	2	7896	21759.1976	2112.6784	498	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	498	1
4_MACS_peak_11341_lociStitched	chr17	17724916	17745633	4	15069	23097.3833	3470.0975	499	SREBF1	SMCR5,MIR33B	SREBF1	499	1
2_MACS_peak_11108_lociStitched	chr17	2294540	2306174	2	8252	21631.0962	2016.1722	500	MNT	LOC284009	MNT	500	1
2_MACS_peak_23874_lociStitched	chr6	11722248	11736411	2	12878	22735.8639	3121.5252	501	C6orf105		C6orf105	501	1
4_MACS_peak_6087_lociStitched	chr12	11901302	11920033	4	15432	23228.3131	3626.3216	502	ETV6		ETV6	502	1
3_MACS_peak_18836_lociStitched	chr3	15834617	15851851	3	16887	22905.7094	3324.4386	503	ANKRD28	ANKRD28	ANKRD28	503	1
1_MACS_peak_1014_lociStitched	chr1	66795271	66803738	1	8468	21718.7017	2141.3043	504	PDE4B		PDE4B	504	1
4_MACS_peak_8581_lociStitched	chr14	81930754	81955812	4	17426	22158.7894	2583.4798	505	SEL1L		SEL1L	505	1
2_MACS_peak_29549_lociStitched	chr9	130672377	130681120	2	8507	21332.0457	1768.7089	506	ST6GALNAC4	AK1,ST6GALNAC6,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	506	1
3_MACS_peak_25322_lociStitched	chr6	143162913	143179987	3	13595	21397.1368	1847.4068	507	HIVEP2		HIVEP2	507	1
3_MACS_peak_9900_lociStitched	chr15	93346129	93364594	3	10392	22440.5145	2908.2375	508		ASB9P1	ASB9P1	508	1
4_MACS_peak_3786_lociStitched	chr10	81946283	81966211	4	13608	22972.9984	3487.4	509	ANXA11		ANXA11	509	1
2_MACS_peak_11936_lociStitched	chr17	47815846	47827825	2	10749	22038.9642	2619.8073	510	FAM117A	MYST2,SLC35B1	FAM117A	510	1
5_MACS_peak_18100_lociStitched	chr22	22549096	22565903	5	11696	22521.38	3102.5722	511		VPREB1	VPREB1	511	1
1_MACS_peak_1746_lociStitched	chr1	154970836	154979749	1	8914	21702.2637	2308.467	512	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	512	1
2_MACS_peak_5881_lociStitched	chr11	132217646	132231596	2	11309	22035.42	2654.685	513			NTM	513	1
1_MACS_peak_2420_lociStitched	chr1	204529243	204536740	1	7498	21731.5539	2357.8065	514		MDM4	MDM4	514	1
3_MACS_peak_17316_lociStitched	chr20	43587501	43609515	3	13483	23891.7942	4530.4812	515	STK4,TOMM34	PABPC1L	STK4	515	1
2_MACS_peak_1827_lociStitched	chr1	157141826	157153557	2	11651	22718.2546	3441.8754	516		CYCSP52,ETV3	ETV3	516	1
1_MACS_peak_2297_lociStitched	chr1	197740144	197748885	1	8742	22224.8666	2956.2062	517	DENND1B		DENND1B	517	1
3_MACS_peak_14165_lociStitched	chr19	50369542	50382141	3	8323	22121.3242	2856.1933	518	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	518	1
1_MACS_peak_17951_lociStitched	chr21	45134677	45141420	1	6744	21164.2541	1914.3377	519	PDXK		PDXK	519	1
1_MACS_peak_20195_lociStitched	chr3	160115983	160123503	1	7521	21509.456	2262.768	520	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	520	1
5_MACS_peak_3081_lociStitched	chr10	7510996	7536011	5	17396	23599.151	4372.622	521			SFMBT2	521	1
3_MACS_peak_5838_lociStitched	chr11	129233528	129249384	3	11007	22390.2576	3172.7856	522	BARX2		BARX2	522	1
1_MACS_peak_2705_lociStitched	chr1	224809016	224816701	1	7686	21300.5145	2122.597	523	CNIH3		CNIH3	523	1
3_MACS_peak_29421_lociStitched	chr9	123630270	123641826	3	9436	21653.6328	2484.54	524	PHF19	LOC253039,PSMD5,TRAF1	PHF19	524	1
2_MACS_peak_6156_lociStitched	chr12	15101073	15116265	2	15084	22701.4056	3538.2168	525	ARHGDIB	PDE6H,ERP27	ARHGDIB	525	1
1_MACS_peak_9516_lociStitched	chr15	70386969	70396857	1	9889	21360.0576	2209.968	526	TLE3	MIR629	TLE3	526	1
2_MACS_peak_25822_lociStitched	chr7	25979729	25994711	2	10101	22037.0238	2905.0098	527	MIR148A		MIR148A	527	1
3_MACS_peak_4611_lociStitched	chr11	16966948	16986831	3	13030	23177.6131	4056.132	528	PLEKHA7		PLEKHA7	528	1
2_MACS_peak_7831_lociStitched	chr13	77898937	77914787	2	9979	22226.455	3106.6	529	MYCBP2		MYCBP2	529	1
2_MACS_peak_24354_lociStitched	chr6	37271257	37287500	2	12002	22543.6597	3425.6487	530	TBC1D22B	RNF8,TMEM217	RNF8	530	1
4_MACS_peak_24512_lociStitched	chr6	52240046	52264922	4	16654	23468.0184	4378.176	531	PAQR8	EFHC1	PAQR8	531	1
3_MACS_peak_14107_lociStitched	chr19	48823221	48837946	3	11816	22044.7975	2974.45	532	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	532	1
3_MACS_peak_19909_lociStitched	chr3	130557189	130574116	3	13205	22392.7283	3336.3117	533	ATP2C1	ATP2C1	ATP2C1	533	1
2_MACS_peak_28372_lociStitched	chr8	137189109	137201561	2	12451	21539.4696	2495.3808	534			KHDRBS3	534	1
2_MACS_peak_26876_lociStitched	chr7	128571695	128582335	2	8215	22032.248	3022.824	535	IRF5	KCP	IRF5	535	1
1_MACS_peak_286_lociStitched	chr1	21615549	21622980	1	7432	20719.8573	1711.3593	536	ECE1	ECE1	ECE1	536	1
1_MACS_peak_18799_lociStitched	chr3	14160346	14167806	1	7461	20853.684	1873.206	537	TMEM43,CHCHD4		CHCHD4	537	1
2_MACS_peak_12359_lociStitched	chr17	75229016	75244044	2	9790	21847.7064	2871.8508	538		SEC14L1,SEPT9	SEPT9	538	1
5_MACS_peak_1460_lociStitched	chr1	120610653	120636834	5	18449	26725.5648	7760.0484	539	NOTCH2		NOTCH2	539	1
3_MACS_peak_24636_lociStitched	chr6	74220613	74234416	3	9906	22365.0009	3425.9046	540	EEF1A1	MTO1	EEF1A1	540	1
3_MACS_peak_1674_lociStitched	chr1	152001081	152021703	3	13910	25090.7874	6159.7914	541	S100A11	S100A10,TCHHL1	S100A11	541	1
3_MACS_peak_6937_lociStitched	chr12	92753920	92770205	3	10045	22259.9665	3331.911	542		CLLU1	CLLU1	542	1
1_MACS_peak_12358_lociStitched	chr17	75203914	75212041	1	8128	21146.454	2230.8615	543	SEC14L1		SEC14L1	543	1
1_MACS_peak_23883_lociStitched	chr6	12007577	12014262	1	6686	19908.5985	1044.8655	544	HIVEP1		HIVEP1	544	1
3_MACS_peak_2096_lociStitched	chr1	177778266	177795538	3	13419	22913.0352	4053.7384	545			SEC16B	545	1
1_MACS_peak_29374_lociStitched	chr9	117125278	117137065	1	11788	21256.6758	2404.548	546	AKNA	ORM1,ORM2	AKNA	546	1
3_MACS_peak_13697_lociStitched	chr19	19050181	19061906	3	10832	20830.635	1983.87	547	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	547	1
3_MACS_peak_6126_lociStitched	chr12	13242114	13256373	3	14172	21449.8137	2613.6747	548	GSG1	KIAA1467	GSG1	548	1
4_MACS_peak_29559_lociStitched	chr9	130828641	130845609	4	13600	22180.5696	3363.0576	549	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	549	1
1_MACS_peak_29375_lociStitched	chr9	117145406	117151992	1	6587	20242.7296	1450.2372	550	AKNA		AKNA	550	1
2_MACS_peak_29498_lociStitched	chr9	128388138	128400989	2	12094	21601.2459	2818.2243	551	MAPKAP1		MAPKAP1	551	1
2_MACS_peak_4409_lociStitched	chr11	2479298	2489922	2	8625	20470.3232	1692.4032	552	KCNQ1	TRPM5	KCNQ1	552	1
3_MACS_peak_27365_lociStitched	chr8	19518733	19541000	3	12640	22565.3778	3787.6167	553	CSGALNACT1		CSGALNACT1	553	1
1_MACS_peak_13017_lociStitched	chr18	56806324	56812254	1	5931	20251.543	1510.371	554	SEC11C		SEC11C	554	1
5_MACS_peak_11946_lociStitched	chr17	48224763	48250177	5	16498	23157.2368	4434.743	555	SGCA,PPP1R9B,HILS1	SAMD14,COL1A1	SGCA	555	1
1_MACS_peak_40_lociStitched	chr1	1708172	1715031	1	6860	20040.6262	1326.5306	556	NADK	SLC35E2,NADK	NADK	556	1
1_MACS_peak_26512_lociStitched	chr7	99814474	99820934	1	6461	20303.134	1607.248	557	PVRIG,GATS	STAG3,GAL3ST4,GPC2	PVRIG	557	1
1_MACS_peak_12031_lociStitched	chr17	55430917	55437953	1	7037	20353.7408	1678.7896	558	MSI2		MSI2	558	1
2_MACS_peak_5583_lociStitched	chr11	111278132	111294251	2	16104	21995.9874	3333.4092	559		POU2AF1	POU2AF1	559	1
1_MACS_peak_28251_lociStitched	chr8	126440939	126449690	1	8752	20464.2135	1842.9606	560	TRIB1		TRIB1	560	1
6_MACS_peak_8844_lociStitched	chr15	20968480	20996265	6	16664	22644.775	4048.2745	561		BCL8	BCL8	561	1
2_MACS_peak_17144_lociStitched	chr20	32989049	33005666	2	12666	21607.0851	3045.8961	562	ITCH	MIR644	ITCH	562	1
2_MACS_peak_18136_lociStitched	chr22	23517154	23526369	2	9216	20790.883	2262.2825	563	BCR	RAB36,RTDR1	BCR	563	1
2_MACS_peak_1882_lociStitched	chr1	160633662	160646443	2	8574	22355.2471	3843.2467	564		SLAMF1,CD48	SLAMF1	564	1
6_MACS_peak_4285_lociStitched	chr10	126406183	126433760	6	15816	22844.7868	4337.8621	565	FAM53B	METTL10	FAM53B	565	1
