GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_5634_lociStitched	chr2(.):100692599-100693178	0.5584
1_MACS_peak_5635_lociStitched	chr2(.):100758793-100759543	1.36
1_MACS_peak_5636_lociStitched	chr2(.):100851322-100852109	0.9351
1_MACS_peak_5637_lociStitched	chr2(.):100863913-100864741	1.3
1_MACS_peak_5638_lociStitched	chr2(.):101618211-101619044	0.7277
1_MACS_peak_5639_lociStitched	chr2(.):101660239-101661076	0.6055
1_MACS_peak_5640_lociStitched	chr2(.):101668738-101669277	0.5807
1_MACS_peak_5641_lociStitched	chr2(.):101840027-101840972	1.2948
1_MACS_peak_5642_lociStitched	chr2(.):101922669-101923872	0.764
1_MACS_peak_5643_lociStitched	chr2(.):102367880-102368747	0.7302
2_MACS_peak_5644_lociStitched	chr2(.):102444596-102446569	0.5146
1_MACS_peak_5646_lociStitched	chr2(.):103353638-103354412	0.7807
1_MACS_peak_5647_lociStitched	chr2(.):103620676-103621531	0.6575
1_MACS_peak_5648_lociStitched	chr2(.):103893115-103893964	0.9394
1_MACS_peak_5649_lociStitched	chr2(.):104662798-104663542	0.8101
1_MACS_peak_5650_lociStitched	chr2(.):105727544-105728540	1.0826
1_MACS_peak_5651_lociStitched	chr2(.):106214602-106215880	0.8898
1_MACS_peak_5652_lociStitched	chr2(.):106329086-106330561	1.0038
1_MACS_peak_5653_lociStitched	chr2(.):106341817-106343231	0.9693
1_MACS_peak_5654_lociStitched	chr2(.):106351060-106351822	0.6045
1_MACS_peak_5655_lociStitched	chr2(.):106406403-106407244	0.8146
2_MACS_peak_5656_lociStitched	chr2(.):106413408-106415710	0.8618
1_MACS_peak_5658_lociStitched	chr2(.):106451094-106451854	1.0632
2_MACS_peak_5659_lociStitched	chr2(.):106972596-106975215	0.9049
1_MACS_peak_5661_lociStitched	chr2(.):107039493-107040328	0.4725
1_MACS_peak_5662_lociStitched	chr2(.):107859136-107859986	0.8108
1_MACS_peak_5663_lociStitched	chr2(.):109210285-109212117	0.9353
1_MACS_peak_5664_lociStitched	chr2(.):109222249-109223247	0.7801
1_MACS_peak_5665_lociStitched	chr2(.):109228397-109229752	1.4931
1_MACS_peak_5666_lociStitched	chr2(.):109268566-109269700	1.0279
1_MACS_peak_5667_lociStitched	chr2(.):109335286-109336356	1.1208
1_MACS_peak_5668_lociStitched	chr2(.):109383959-109385021	0.7309
1_MACS_peak_5669_lociStitched	chr2(.):109392501-109393625	1.1401
1_MACS_peak_5670_lociStitched	chr2(.):109402660-109403671	0.5523
1_MACS_peak_5671_lociStitched	chr2(.):109705988-109706728	0.573
1_MACS_peak_5672_lociStitched	chr2(.):109760063-109761201	0.919
1_MACS_peak_5673_lociStitched	chr2(.):109810201-109811449	1.3249
2_MACS_peak_5674_lociStitched	chr2(.):109829854-109835535	0.7402
1_MACS_peak_5676_lociStitched	chr2(.):109840720-109842281	0.6787
1_MACS_peak_5677_lociStitched	chr2(.):109967303-109968486	0.7445
2_MACS_peak_5678_lociStitched	chr2(.):110086744-110091126	0.7161
1_MACS_peak_5680_lociStitched	chr2(.):110371257-110372231	0.6203
2_MACS_peak_5681_lociStitched	chr2(.):110395217-110402107	0.4699
1_MACS_peak_5683_lociStitched	chr2(.):110594793-110596091	0.386
1_MACS_peak_5684_lociStitched	chr2(.):110653611-110654317	0.4376
1_MACS_peak_5685_lociStitched	chr2(.):110756336-110758609	1.6615
1_MACS_peak_5686_lociStitched	chr2(.):111127951-111130313	1.3645
1_MACS_peak_5687_lociStitched	chr2(.):111232274-111233040	0.5755
1_MACS_peak_5688_lociStitched	chr2(.):111290915-111291834	0.4882
2_MACS_peak_5689_lociStitched	chr2(.):111432452-111436302	0.5219
1_MACS_peak_5691_lociStitched	chr2(.):111470833-111471726	0.9012
1_MACS_peak_5692_lociStitched	chr2(.):111505513-111506921	2.5225
1_MACS_peak_5693_lociStitched	chr2(.):111573722-111574638	0.737
1_MACS_peak_5694_lociStitched	chr2(.):111615577-111616640	1.0869
1_MACS_peak_5695_lociStitched	chr2(.):111622429-111623440	0.4941
1_MACS_peak_5696_lociStitched	chr2(.):111807149-111809063	1.8027
1_MACS_peak_5697_lociStitched	chr2(.):111819645-111820711	1.05
1_MACS_peak_5698_lociStitched	chr2(.):111857346-111858532	1.4155
2_MACS_peak_5699_lociStitched	chr2(.):111877424-111881289	0.5944
1_MACS_peak_5701_lociStitched	chr2(.):111902878-111903462	0.6923
1_MACS_peak_5702_lociStitched	chr2(.):111914346-111916064	1.4578
1_MACS_peak_5703_lociStitched	chr2(.):111966179-111967833	1.5749
1_MACS_peak_5704_lociStitched	chr2(.):112095704-112096623	0.895
1_MACS_peak_5705_lociStitched	chr2(.):112193572-112194597	0.7688
1_MACS_peak_5706_lociStitched	chr2(.):112200294-112200985	0.7765
1_MACS_peak_5707_lociStitched	chr2(.):112209265-112210798	0.5863
1_MACS_peak_5708_lociStitched	chr2(.):112220605-112223011	1.3923
1_MACS_peak_5709_lociStitched	chr2(.):112250489-112253267	0.7845
3_MACS_peak_5710_lociStitched	chr2(.):112456088-112464825	1.4241
1_MACS_peak_5713_lociStitched	chr2(.):112484808-112486159	1.7093
1_MACS_peak_5714_lociStitched	chr2(.):112587898-112588620	0.6739
1_MACS_peak_5715_lociStitched	chr2(.):112690296-112691433	0.7507
1_MACS_peak_5716_lociStitched	chr2(.):112696005-112696610	0.6049
1_MACS_peak_5717_lociStitched	chr2(.):112812569-112813445	0.6539
1_MACS_peak_5718_lociStitched	chr2(.):113011993-113012934	0.6358
1_MACS_peak_5719_lociStitched	chr2(.):113032573-113033960	0.8965
1_MACS_peak_5720_lociStitched	chr2(.):113145679-113146486	0.424
1_MACS_peak_5721_lociStitched	chr2(.):113299094-113300586	0.867
1_MACS_peak_5722_lociStitched	chr2(.):113752844-113753574	0.6111
1_MACS_peak_5723_lociStitched	chr2(.):114133958-114135087	0.9029
1_MACS_peak_5724_lociStitched	chr2(.):114188008-114189978	0.6585
1_MACS_peak_5725_lociStitched	chr2(.):114361371-114362300	0.6971
1_MACS_peak_5726_lociStitched	chr2(.):114450965-114451754	0.7525
1_MACS_peak_5727_lociStitched	chr2(.):114514000-114514999	0.597
1_MACS_peak_5728_lociStitched	chr2(.):114548924-114550154	1.2285
1_MACS_peak_5729_lociStitched	chr2(.):114616954-114617854	0.8634
2_MACS_peak_5730_lociStitched	chr2(.):114643634-114647872	0.6864
1_MACS_peak_5732_lociStitched	chr2(.):114680809-114681692	0.7913
1_MACS_peak_5733_lociStitched	chr2(.):115158254-115159003	0.8385
1_MACS_peak_5734_lociStitched	chr2(.):115691088-115691962	0.8514
1_MACS_peak_5735_lociStitched	chr2(.):117210024-117210818	0.6119
1_MACS_peak_5736_lociStitched	chr2(.):117340199-117340986	0.7583
1_MACS_peak_5737_lociStitched	chr2(.):118095418-118096191	0.6884
1_MACS_peak_5738_lociStitched	chr2(.):118571714-118572919	1.3748
1_MACS_peak_5739_lociStitched	chr2(.):118646183-118647041	0.7367
1_MACS_peak_5740_lociStitched	chr2(.):118675841-118676867	1.3444
1_MACS_peak_5741_lociStitched	chr2(.):118943146-118944515	0.6121
1_MACS_peak_5742_lociStitched	chr2(.):119455907-119456767	0.8174
1_MACS_peak_5743_lociStitched	chr2(.):120069655-120071093	0.7295
2_MACS_peak_5744_lociStitched	chr2(.):120109887-120113973	0.5968
1_MACS_peak_5746_lociStitched	chr2(.):120123686-120125298	0.7949
1_MACS_peak_5747_lociStitched	chr2(.):120331444-120332506	0.6964
1_MACS_peak_5748_lociStitched	chr2(.):120404983-120405676	0.5848
1_MACS_peak_5749_lociStitched	chr2(.):120516887-120517853	0.5679
1_MACS_peak_5750_lociStitched	chr2(.):120764590-120765387	0.7977
1_MACS_peak_5751_lociStitched	chr2(.):120980522-120981219	0.5915
1_MACS_peak_5752_lociStitched	chr2(.):121067535-121068389	0.7595
1_MACS_peak_5753_lociStitched	chr2(.):122288057-122289138	0.8846
1_MACS_peak_5754_lociStitched	chr2(.):122406976-122408281	0.9167
1_MACS_peak_5755_lociStitched	chr2(.):126087582-126088229	0.64
1_MACS_peak_5756_lociStitched	chr2(.):126155158-126156070	0.6477
1_MACS_peak_5757_lociStitched	chr2(.):127224887-127225814	0.694
2_MACS_peak_5758_lociStitched	chr2(.):127416391-127422186	0.2729
1_MACS_peak_5760_lociStitched	chr2(.):128145669-128146322	0.6494
1_MACS_peak_5761_lociStitched	chr2(.):128320840-128321916	1.274
1_MACS_peak_5762_lociStitched	chr2(.):128457817-128459319	1.5003
1_MACS_peak_5763_lociStitched	chr2(.):128586541-128588346	1.4582
1_MACS_peak_5764_lociStitched	chr2(.):128774877-128775602	1.0589
1_MACS_peak_5765_lociStitched	chr2(.):129128916-129130066	1.6867
2_MACS_peak_5766_lociStitched	chr2(.):131129202-131135146	0.4424
1_MACS_peak_5768_lociStitched	chr2(.):131143134-131143977	0.7881
1_MACS_peak_5769_lociStitched	chr2(.):131993081-131994193	0.9708
1_MACS_peak_5770_lociStitched	chr2(.):132426206-132426983	0.5844
1_MACS_peak_5771_lociStitched	chr2(.):132959952-132961206	0.9304
1_MACS_peak_5773_lociStitched	chr2(.):133339357-133340240	0.8069
2_MACS_peak_5774_lociStitched	chr2(.):134256417-134261636	0.3687
1_MACS_peak_5776_lociStitched	chr2(.):134507831-134508446	0.6576
1_MACS_peak_5777_lociStitched	chr2(.):134710470-134713251	1.0152
1_MACS_peak_5778_lociStitched	chr2(.):134779249-134780172	0.8667
1_MACS_peak_5779_lociStitched	chr2(.):134911618-134913227	0.7581
1_MACS_peak_5780_lociStitched	chr2(.):134927019-134928131	0.8516
2_MACS_peak_5781_lociStitched	chr2(.):134938465-134942220	0.6557
1_MACS_peak_5783_lociStitched	chr2(.):134974557-134975551	0.9034
1_MACS_peak_5784_lociStitched	chr2(.):135040271-135041364	0.8509
1_MACS_peak_5785_lociStitched	chr2(.):135148998-135150024	0.7871
2_MACS_peak_5786_lociStitched	chr2(.):135165542-135170061	0.6398
1_MACS_peak_5788_lociStitched	chr2(.):135676107-135677225	0.6678
1_MACS_peak_5789_lociStitched	chr2(.):135730921-135731528	0.6668
1_MACS_peak_5790_lociStitched	chr2(.):135919691-135921452	0.8496
1_MACS_peak_5791_lociStitched	chr2(.):136287596-136289509	0.671
1_MACS_peak_5792_lociStitched	chr2(.):136689480-136690111	0.5009
1_MACS_peak_5793_lociStitched	chr2(.):136742300-136743459	0.7431
1_MACS_peak_5794_lociStitched	chr2(.):136865017-136865812	0.6213
1_MACS_peak_5795_lociStitched	chr2(.):136874146-136875235	1.3624
1_MACS_peak_5796_lociStitched	chr2(.):136893527-136894469	0.7978
1_MACS_peak_5797_lociStitched	chr2(.):136995863-136996874	0.8122
1_MACS_peak_5798_lociStitched	chr2(.):137084406-137085405	1.6265
1_MACS_peak_5799_lociStitched	chr2(.):137138778-137140880	1.9575
1_MACS_peak_5800_lociStitched	chr2(.):138091040-138091630	0.6403
1_MACS_peak_5801_lociStitched	chr2(.):140152043-140152918	0.8026
1_MACS_peak_5802_lociStitched	chr2(.):140500261-140500988	0.6088
1_MACS_peak_5803_lociStitched	chr2(.):144455220-144455765	0.7981
1_MACS_peak_5804_lociStitched	chr2(.):145319693-145320463	0.7371
1_MACS_peak_5805_lociStitched	chr2(.):145943772-145944744	0.8187
1_MACS_peak_5806_lociStitched	chr2(.):146168560-146170362	3.0757
1_MACS_peak_5807_lociStitched	chr2(.):147004563-147005167	0.6054
1_MACS_peak_5808_lociStitched	chr2(.):147058742-147059368	0.6515
1_MACS_peak_5809_lociStitched	chr2(.):148046342-148047242	0.7181
1_MACS_peak_5810_lociStitched	chr2(.):148055004-148056213	1.0984
1_MACS_peak_5811_lociStitched	chr2(.):148109562-148110447	0.9076
1_MACS_peak_5812_lociStitched	chr2(.):148601382-148601967	0.664
1_MACS_peak_5813_lociStitched	chr2(.):148646030-148646770	0.5025
1_MACS_peak_5814_lociStitched	chr2(.):149877384-149878742	0.8061
1_MACS_peak_5815_lociStitched	chr2(.):150017186-150017922	0.7123
1_MACS_peak_5816_lociStitched	chr2(.):150023719-150024539	0.8836
1_MACS_peak_5817_lociStitched	chr2(.):150688463-150689624	1.4862
1_MACS_peak_5818_lociStitched	chr2(.):150714832-150715584	0.6514
1_MACS_peak_5819_lociStitched	chr2(.):150741799-150742894	0.937
1_MACS_peak_5820_lociStitched	chr2(.):150750745-150752113	2.0959
1_MACS_peak_5821_lociStitched	chr2(.):150864161-150864823	0.6268
2_MACS_peak_5822_lociStitched	chr2(.):150986132-150990743	0.9009
1_MACS_peak_5824_lociStitched	chr2(.):151214382-151215440	1.3639
1_MACS_peak_5825_lociStitched	chr2(.):151343042-151343889	0.5836
1_MACS_peak_5826_lociStitched	chr2(.):151561921-151562868	0.8442
1_MACS_peak_5827_lociStitched	chr2(.):151951733-151952660	0.6926
1_MACS_peak_5828_lociStitched	chr2(.):152117948-152118842	0.6023
1_MACS_peak_5829_lociStitched	chr2(.):152145557-152146693	0.6143
1_MACS_peak_5830_lociStitched	chr2(.):152461616-152462459	0.6142
1_MACS_peak_5831_lociStitched	chr2(.):152586500-152587396	0.7411
1_MACS_peak_5832_lociStitched	chr2(.):152627630-152628598	0.9401
1_MACS_peak_5833_lociStitched	chr2(.):152684510-152685502	0.5942
1_MACS_peak_5834_lociStitched	chr2(.):153363183-153364004	0.838
1_MACS_peak_5835_lociStitched	chr2(.):153420909-153422355	1.0244
1_MACS_peak_5836_lociStitched	chr2(.):153574236-153575779	0.6441
1_MACS_peak_5837_lociStitched	chr2(.):153915591-153916697	1.3181
1_MACS_peak_5838_lociStitched	chr2(.):155242516-155243335	1.1932
1_MACS_peak_5839_lociStitched	chr2(.):155248510-155249443	1.2483
1_MACS_peak_5840_lociStitched	chr2(.):156002121-156002755	0.7394
1_MACS_peak_5841_lociStitched	chr2(.):156268834-156269623	0.7649
2_MACS_peak_5842_lociStitched	chr2(.):157188872-157191764	0.9716
2_MACS_peak_5844_lociStitched	chr2(.):157197535-157199735	0.6428
1_MACS_peak_5846_lociStitched	chr2(.):157752424-157753546	2.6545
1_MACS_peak_5847_lociStitched	chr2(.):157765132-157765853	0.7508
1_MACS_peak_5848_lociStitched	chr2(.):157912276-157913131	0.656
1_MACS_peak_5849_lociStitched	chr2(.):157919662-157920315	0.6763
1_MACS_peak_5850_lociStitched	chr2(.):158049279-158050130	1.0736
1_MACS_peak_5851_lociStitched	chr2(.):158113126-158113822	0.8005
1_MACS_peak_5852_lociStitched	chr2(.):158220498-158221368	0.8448
1_MACS_peak_5853_lociStitched	chr2(.):158296991-158299065	0.6984
1_MACS_peak_5854_lociStitched	chr2(.):158325106-158328153	1.023
1_MACS_peak_5855_lociStitched	chr2(.):158549052-158549845	1.0186
1_MACS_peak_5856_lociStitched	chr2(.):160057707-160058284	0.6476
1_MACS_peak_5857_lociStitched	chr2(.):160568257-160569656	0.9953
1_MACS_peak_5858_lociStitched	chr2(.):160747124-160748230	0.917
1_MACS_peak_5859_lociStitched	chr2(.):161348156-161348912	0.7098
1_MACS_peak_5860_lociStitched	chr2(.):161522613-161523648	0.8863
1_MACS_peak_5861_lociStitched	chr2(.):161560202-161561830	1.0511
1_MACS_peak_5862_lociStitched	chr2(.):161960484-161961357	0.719
1_MACS_peak_5863_lociStitched	chr2(.):162023189-162023889	0.7128
1_MACS_peak_5864_lociStitched	chr2(.):163117384-163117999	0.6475
1_MACS_peak_5865_lociStitched	chr2(.):163174565-163176099	0.8592
1_MACS_peak_5866_lociStitched	chr2(.):165498660-165500318	0.9154
1_MACS_peak_5867_lociStitched	chr2(.):165610577-165611844	1.2429
1_MACS_peak_5868_lociStitched	chr2(.):165617493-165618470	0.9142
1_MACS_peak_5869_lociStitched	chr2(.):165697099-165699248	0.632
2_MACS_peak_5870_lociStitched	chr2(.):165722594-165725504	0.7509
1_MACS_peak_5872_lociStitched	chr2(.):165766422-165767321	0.8826
1_MACS_peak_5873_lociStitched	chr2(.):165848162-165848911	0.7212
1_MACS_peak_5874_lociStitched	chr2(.):165935001-165935895	0.7193
2_MACS_peak_5875_lociStitched	chr2(.):166004047-166006843	1.5642
1_MACS_peak_5877_lociStitched	chr2(.):166049479-166050300	0.7654
1_MACS_peak_5878_lociStitched	chr2(.):166125209-166125817	0.7252
1_MACS_peak_5879_lociStitched	chr2(.):166214081-166214799	0.5537
1_MACS_peak_5880_lociStitched	chr2(.):166292916-166293641	0.8912
1_MACS_peak_5881_lociStitched	chr2(.):166531228-166531782	0.5476
1_MACS_peak_5882_lociStitched	chr2(.):166650362-166651963	0.8036
1_MACS_peak_5883_lociStitched	chr2(.):166809907-166810949	0.6831
1_MACS_peak_5884_lociStitched	chr2(.):167231468-167232766	0.9413
1_MACS_peak_5885_lociStitched	chr2(.):168328174-168328912	0.627
1_MACS_peak_5886_lociStitched	chr2(.):168887176-168888037	0.8205
1_MACS_peak_5887_lociStitched	chr2(.):168898516-168899239	0.6166
1_MACS_peak_5888_lociStitched	chr2(.):169227884-169228724	0.9443
2_MACS_peak_5889_lociStitched	chr2(.):169346208-169352769	0.5518
1_MACS_peak_5891_lociStitched	chr2(.):169928518-169929575	0.773
1_MACS_peak_5892_lociStitched	chr2(.):170440475-170441496	0.8032
1_MACS_peak_5893_lociStitched	chr2(.):170550609-170551466	0.6717
1_MACS_peak_5894_lociStitched	chr2(.):171058225-171059420	0.8392
1_MACS_peak_5895_lociStitched	chr2(.):172179274-172180534	0.796
1_MACS_peak_5896_lociStitched	chr2(.):172203478-172204334	1.0947
1_MACS_peak_5897_lociStitched	chr2(.):172263639-172264331	0.7567
1_MACS_peak_5898_lociStitched	chr2(.):172864610-172865380	0.7438
1_MACS_peak_5899_lociStitched	chr2(.):173291592-173292496	0.7395
1_MACS_peak_5900_lociStitched	chr2(.):173353144-173353847	0.8998
1_MACS_peak_5901_lociStitched	chr2(.):173460786-173462279	1.0616
1_MACS_peak_5902_lociStitched	chr2(.):174219094-174219971	0.7268
1_MACS_peak_5903_lociStitched	chr2(.):174854200-174855058	0.5627
1_MACS_peak_5904_lociStitched	chr2(.):174861697-174862577	1.0696
1_MACS_peak_5905_lociStitched	chr2(.):175201059-175202147	0.6521
1_MACS_peak_5906_lociStitched	chr2(.):175259966-175261008	0.7512
1_MACS_peak_5907_lociStitched	chr2(.):175400903-175401677	0.6587
2_MACS_peak_5908_lociStitched	chr2(.):175457917-175463031	0.8102
1_MACS_peak_5910_lociStitched	chr2(.):175472874-175473862	0.9365
1_MACS_peak_5911_lociStitched	chr2(.):176000866-176002145	0.6729
1_MACS_peak_5912_lociStitched	chr2(.):176440165-176440976	0.9412
1_MACS_peak_5913_lociStitched	chr2(.):177796266-177797538	0.9938
1_MACS_peak_5914_lociStitched	chr2(.):178030566-178031623	0.9302
1_MACS_peak_5915_lociStitched	chr2(.):178076606-178078384	1.0444
2_MACS_peak_5916_lociStitched	chr2(.):178127847-178130588	0.9452
1_MACS_peak_5918_lociStitched	chr2(.):178256928-178257853	0.8507
1_MACS_peak_5919_lociStitched	chr2(.):178413186-178414059	0.8846
1_MACS_peak_5920_lociStitched	chr2(.):178475856-178476899	1.024
1_MACS_peak_5921_lociStitched	chr2(.):178494022-178494742	0.6731
1_MACS_peak_5922_lociStitched	chr2(.):179268829-179269713	0.8395
1_MACS_peak_5923_lociStitched	chr2(.):179342799-179343633	0.6394
1_MACS_peak_5924_lociStitched	chr2(.):179395093-179395966	0.8
1_MACS_peak_5925_lociStitched	chr2(.):179896213-179897444	1.1014
1_MACS_peak_5926_lociStitched	chr2(.):180118001-180118591	0.5438
1_MACS_peak_5927_lociStitched	chr2(.):181199112-181199906	0.7725
1_MACS_peak_5928_lociStitched	chr2(.):182029548-182030887	0.7701
3_MACS_peak_5929_lociStitched	chr2(.):182169585-182179501	0.7194
1_MACS_peak_5932_lociStitched	chr2(.):182321138-182322284	0.7848
1_MACS_peak_5933_lociStitched	chr2(.):183405848-183406632	0.8532
2_MACS_peak_5934_lociStitched	chr2(.):183580467-183582818	0.7499
1_MACS_peak_5936_lociStitched	chr2(.):184205580-184206287	0.8019
1_MACS_peak_5937_lociStitched	chr2(.):185308664-185309747	1.2554
1_MACS_peak_5938_lociStitched	chr2(.):185558380-185559209	0.684
1_MACS_peak_5939_lociStitched	chr2(.):185592394-185592946	0.6166
1_MACS_peak_5940_lociStitched	chr2(.):185644938-185645541	0.5359
1_MACS_peak_5941_lociStitched	chr2(.):186503022-186504206	0.9477
1_MACS_peak_5942_lociStitched	chr2(.):187350257-187351134	0.9098
1_MACS_peak_5943_lociStitched	chr2(.):187811550-187812849	0.9609
1_MACS_peak_5944_lociStitched	chr2(.):187832817-187833631	0.7879
1_MACS_peak_5945_lociStitched	chr2(.):187915529-187916788	1.2608
1_MACS_peak_5946_lociStitched	chr2(.):188033611-188034397	0.7432
1_MACS_peak_5947_lociStitched	chr2(.):188340070-188341091	1.1707
1_MACS_peak_5948_lociStitched	chr2(.):188450464-188451798	2.2589
1_MACS_peak_5949_lociStitched	chr2(.):188503441-188504085	0.5894
1_MACS_peak_5950_lociStitched	chr2(.):188732628-188734726	1.6525
1_MACS_peak_5951_lociStitched	chr2(.):188847078-188848178	1.6048
1_MACS_peak_5952_lociStitched	chr2(.):188852698-188853687	1.3055
1_MACS_peak_5953_lociStitched	chr2(.):189052344-189053031	0.6845
1_MACS_peak_5954_lociStitched	chr2(.):189099874-189100564	0.7384
1_MACS_peak_5955_lociStitched	chr2(.):190305516-190306571	0.7077
1_MACS_peak_5956_lociStitched	chr2(.):190648207-190650052	0.7509
1_MACS_peak_5957_lociStitched	chr2(.):190735126-190736009	0.8712
1_MACS_peak_5958_lociStitched	chr2(.):191398841-191399844	0.61
1_MACS_peak_5959_lociStitched	chr2(.):191746140-191747321	0.8524
1_MACS_peak_5960_lociStitched	chr2(.):191878557-191879673	1.0272
1_MACS_peak_5961_lociStitched	chr2(.):191884703-191886072	1.3313
1_MACS_peak_5962_lociStitched	chr2(.):192014980-192016126	0.5867
1_MACS_peak_5963_lociStitched	chr2(.):192058408-192059365	1.0894
1_MACS_peak_5964_lociStitched	chr2(.):192476093-192476922	1.0507
1_MACS_peak_5965_lociStitched	chr2(.):192482011-192482944	1.0467
2_MACS_peak_5966_lociStitched	chr2(.):192540143-192544559	0.9859
1_MACS_peak_5968_lociStitched	chr2(.):192604518-192605304	0.7298
1_MACS_peak_5969_lociStitched	chr2(.):192613047-192613874	0.6726
1_MACS_peak_5970_lociStitched	chr2(.):192787582-192788285	0.7464
1_MACS_peak_5971_lociStitched	chr2(.):193018217-193018979	0.69
1_MACS_peak_5972_lociStitched	chr2(.):194407333-194408167	0.8169
1_MACS_peak_5973_lociStitched	chr2(.):194533207-194533942	0.7289
1_MACS_peak_5974_lociStitched	chr2(.):194969058-194969756	0.7698
1_MACS_peak_5975_lociStitched	chr2(.):196208178-196209006	0.7063
1_MACS_peak_5976_lociStitched	chr2(.):196333141-196334153	1.1051
1_MACS_peak_5977_lociStitched	chr2(.):196351610-196352322	0.8244
1_MACS_peak_5978_lociStitched	chr2(.):196423841-196425008	1.4217
1_MACS_peak_5979_lociStitched	chr2(.):196514290-196515758	0.9257
1_MACS_peak_5980_lociStitched	chr2(.):196910588-196912044	1.2231
1_MACS_peak_5981_lociStitched	chr2(.):196942349-196943230	0.6627
1_MACS_peak_5982_lociStitched	chr2(.):197024583-197025542	1.0453
2_MACS_peak_5983_lociStitched	chr2(.):197040342-197043113	1.8393
1_MACS_peak_5985_lociStitched	chr2(.):197075396-197076740	1.1727
1_MACS_peak_5986_lociStitched	chr2(.):197097704-197098643	0.7545
1_MACS_peak_5987_lociStitched	chr2(.):197104461-197105560	0.9987
1_MACS_peak_5988_lociStitched	chr2(.):197138769-197140041	0.6978
1_MACS_peak_5989_lociStitched	chr2(.):197156554-197157942	1.4907
1_MACS_peak_5990_lociStitched	chr2(.):197323891-197324917	0.9883
1_MACS_peak_5991_lociStitched	chr2(.):197345404-197346459	1.1306
1_MACS_peak_5992_lociStitched	chr2(.):198063287-198064156	0.6173
1_MACS_peak_5993_lociStitched	chr2(.):198080879-198081935	1.0624
1_MACS_peak_5994_lociStitched	chr2(.):198346431-198347411	1.1148
1_MACS_peak_5995_lociStitched	chr2(.):198363969-198365372	1.3867
1_MACS_peak_5996_lociStitched	chr2(.):198379749-198381101	1.0167
1_MACS_peak_5997_lociStitched	chr2(.):198712063-198713864	1.178
1_MACS_peak_5998_lociStitched	chr2(.):198869362-198870782	1.2274
1_MACS_peak_5999_lociStitched	chr2(.):199236379-199237499	1.0485
1_MACS_peak_6000_lociStitched	chr2(.):199778065-199779541	1.52
1_MACS_peak_6001_lociStitched	chr2(.):199837690-199839237	0.6657
1_MACS_peak_6002_lociStitched	chr2(.):200819957-200820714	0.8887
1_MACS_peak_6003_lociStitched	chr2(.):201240923-201241973	1.1355
1_MACS_peak_6004_lociStitched	chr2(.):201272951-201273780	0.7962
2_MACS_peak_6005_lociStitched	chr2(.):201287345-201292028	0.7876
1_MACS_peak_6007_lociStitched	chr2(.):201313451-201314460	0.9134
1_MACS_peak_6008_lociStitched	chr2(.):201335863-201337306	2.0358
1_MACS_peak_6009_lociStitched	chr2(.):201577480-201578496	0.9785
1_MACS_peak_6010_lociStitched	chr2(.):201728111-201729981	0.796
1_MACS_peak_6011_lociStitched	chr2(.):201753086-201755026	0.8398
4_MACS_peak_6012_lociStitched	chr2(.):201980169-201992434	0.852
1_MACS_peak_6016_lociStitched	chr2(.):202022578-202023463	0.8443
1_MACS_peak_6017_lociStitched	chr2(.):202040270-202041285	0.7305
1_MACS_peak_6018_lociStitched	chr2(.):202058465-202059459	0.8827
1_MACS_peak_6019_lociStitched	chr2(.):202073222-202074105	0.9079
1_MACS_peak_6020_lociStitched	chr2(.):202087932-202089082	0.6754
3_MACS_peak_6021_lociStitched	chr2(.):202116645-202126805	0.7625
1_MACS_peak_6024_lociStitched	chr2(.):202208126-202208775	0.8531
1_MACS_peak_6025_lociStitched	chr2(.):202506895-202508435	0.6303
1_MACS_peak_6026_lociStitched	chr2(.):202867402-202868422	0.6705
1_MACS_peak_6027_lociStitched	chr2(.):203129489-203131225	0.6616
1_MACS_peak_6028_lociStitched	chr2(.):204103208-204104615	0.7154
1_MACS_peak_6029_lociStitched	chr2(.):204348623-204349465	0.8567
2_MACS_peak_6030_lociStitched	chr2(.):204443594-204449194	0.6856
1_MACS_peak_6032_lociStitched	chr2(.):204462759-204463930	1.0351
1_MACS_peak_6033_lociStitched	chr2(.):204524091-204525001	0.9306
1_MACS_peak_6034_lociStitched	chr2(.):204538279-204539611	1.0982
1_MACS_peak_6035_lociStitched	chr2(.):204553280-204554838	0.9139
1_MACS_peak_6036_lociStitched	chr2(.):204569545-204572916	1.7768
1_MACS_peak_6037_lociStitched	chr2(.):204582487-204583591	1.1309
1_MACS_peak_6038_lociStitched	chr2(.):204596503-204597479	0.9445
2_MACS_peak_6039_lociStitched	chr2(.):204663058-204669373	0.5883
1_MACS_peak_6041_lociStitched	chr2(.):204725712-204726791	0.8926
1_MACS_peak_6042_lociStitched	chr2(.):204736035-204737048	0.953
1_MACS_peak_6043_lociStitched	chr2(.):204751097-204752136	0.9185
1_MACS_peak_6044_lociStitched	chr2(.):204773577-204774792	0.7423
1_MACS_peak_6045_lociStitched	chr2(.):204891040-204892889	3.0951
1_MACS_peak_6046_lociStitched	chr2(.):204974565-204975758	1.4631
1_MACS_peak_6047_lociStitched	chr2(.):205409457-205410476	0.8266
1_MACS_peak_6048_lociStitched	chr2(.):207023724-207025067	0.7039
1_MACS_peak_6049_lociStitched	chr2(.):207109785-207111147	0.7401
