GENE_ID	locusLine	bin_1_11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20.bam
1_MACS_peak_18109_lociStitched	chr22(.):44391524-44392440	0.7203
1_MACS_peak_18110_lociStitched	chr22(.):44419172-44424057	7.9775
1_MACS_peak_18111_lociStitched	chr22(.):44443414-44444749	1.0016
1_MACS_peak_18112_lociStitched	chr22(.):44576486-44577562	0.5798
2_MACS_peak_18113_lociStitched	chr22(.):45558757-45566594	0.8446
3_MACS_peak_18115_lociStitched	chr22(.):45630435-45637496	2.2104
1_MACS_peak_18118_lociStitched	chr22(.):45644146-45646415	1.6751
1_MACS_peak_18119_lociStitched	chr22(.):45656855-45660616	1.8603
1_MACS_peak_18120_lociStitched	chr22(.):45704586-45706629	1.2731
1_MACS_peak_18121_lociStitched	chr22(.):45713376-45715261	1.185
1_MACS_peak_18122_lociStitched	chr22(.):45809015-45810502	0.9999
1_MACS_peak_18123_lociStitched	chr22(.):46067285-46068994	1.7208
1_MACS_peak_18124_lociStitched	chr22(.):46165156-46166130	0.5105
1_MACS_peak_18125_lociStitched	chr22(.):46179060-46182072	0.6725
1_MACS_peak_18126_lociStitched	chr22(.):46408688-46410585	3.1244
1_MACS_peak_18127_lociStitched	chr22(.):46431594-46433329	2.493
2_MACS_peak_18128_lociStitched	chr22(.):46447668-46455166	3.1819
2_MACS_peak_18130_lociStitched	chr22(.):46465962-46467800	0.5922
3_MACS_peak_18132_lociStitched	chr22(.):46542177-46547470	0.4864
1_MACS_peak_18135_lociStitched	chr22(.):46614892-46616806	1.9438
1_MACS_peak_18136_lociStitched	chr22(.):46645301-46647153	1.6934
3_MACS_peak_18137_lociStitched	chr22(.):46683055-46694065	1.4042
2_MACS_peak_18140_lociStitched	chr22(.):46728858-46733254	1.1127
2_MACS_peak_18142_lociStitched	chr22(.):46757528-46764089	0.8713
1_MACS_peak_18144_lociStitched	chr22(.):46816664-46818306	1.3309
1_MACS_peak_18145_lociStitched	chr22(.):46827962-46829113	0.5452
1_MACS_peak_18146_lociStitched	chr22(.):46883796-46884884	0.6557
1_MACS_peak_18147_lociStitched	chr22(.):46959008-46960251	1.3214
2_MACS_peak_18148_lociStitched	chr22(.):46983112-46990070	0.8287
1_MACS_peak_18150_lociStitched	chr22(.):47009052-47011201	2.7552
1_MACS_peak_18151_lociStitched	chr22(.):47132606-47136057	2.505
1_MACS_peak_18152_lociStitched	chr22(.):47157540-47159695	3.024
1_MACS_peak_18153_lociStitched	chr22(.):47168420-47170517	1.0272
2_MACS_peak_18154_lociStitched	chr22(.):47183933-47188090	1.3108
1_MACS_peak_18156_lociStitched	chr22(.):47310642-47311715	0.7084
1_MACS_peak_18157_lociStitched	chr22(.):47396486-47397660	0.8531
1_MACS_peak_18158_lociStitched	chr22(.):47732475-47733909	1.1946
1_MACS_peak_18159_lociStitched	chr22(.):48090155-48092500	3.631
1_MACS_peak_18160_lociStitched	chr22(.):48269347-48271048	0.838
1_MACS_peak_18161_lociStitched	chr22(.):48313874-48315263	0.6667
1_MACS_peak_18162_lociStitched	chr22(.):48391046-48393865	2.1311
1_MACS_peak_18163_lociStitched	chr22(.):48416791-48418548	0.9024
1_MACS_peak_18164_lociStitched	chr22(.):48440431-48442075	2.473
2_MACS_peak_18165_lociStitched	chr22(.):48474914-48480816	0.4289
1_MACS_peak_18167_lociStitched	chr22(.):48491959-48496289	7.4879
1_MACS_peak_18168_lociStitched	chr22(.):48508039-48509523	0.8691
1_MACS_peak_18169_lociStitched	chr22(.):48885033-48888643	1.2504
2_MACS_peak_18170_lociStitched	chr22(.):49227899-49231423	0.7417
1_MACS_peak_18172_lociStitched	chr22(.):49660026-49661515	0.5482
1_MACS_peak_18173_lociStitched	chr22(.):49775721-49777715	1.2141
1_MACS_peak_18174_lociStitched	chr22(.):50050416-50051857	0.8048
2_MACS_peak_18175_lociStitched	chr22(.):50219536-50222169	0.9196
2_MACS_peak_18177_lociStitched	chr22(.):50246007-50248683	3.2379
2_MACS_peak_18179_lociStitched	chr22(.):50311345-50320116	0.6494
1_MACS_peak_18181_lociStitched	chr22(.):50329313-50330826	1.8391
1_MACS_peak_18182_lociStitched	chr22(.):50353239-50355361	2.4425
1_MACS_peak_18183_lociStitched	chr22(.):50543728-50544732	0.6464
1_MACS_peak_18184_lociStitched	chr22(.):50577898-50578911	0.5227
2_MACS_peak_18185_lociStitched	chr22(.):50624304-50631056	2.4569
1_MACS_peak_18187_lociStitched	chr22(.):50638562-50640052	0.7277
3_MACS_peak_18188_lociStitched	chr22(.):50679620-50690137	1.8682
1_MACS_peak_18191_lociStitched	chr22(.):50699007-50700382	0.6524
2_MACS_peak_18192_lociStitched	chr22(.):50745400-50754152	0.701
2_MACS_peak_18194_lociStitched	chr22(.):50765169-50773777	0.9036
1_MACS_peak_18196_lociStitched	chr22(.):50780345-50782438	1.7794
1_MACS_peak_18197_lociStitched	chr22(.):50814369-50815011	0.4745
2_MACS_peak_18198_lociStitched	chr22(.):50906940-50920888	1.2199
1_MACS_peak_18200_lociStitched	chr22(.):50944921-50947942	2.6243
4_MACS_peak_18201_lociStitched	chr22(.):50962057-50979093	1.8755
1_MACS_peak_18205_lociStitched	chr22(.):51020118-51022098	3.445
2_MACS_peak_18206_lociStitched	chr22(.):51058391-51067454	0.8331
1_MACS_peak_18208_lociStitched	chr22(.):51130944-51133129	0.8444
1_MACS_peak_18209_lociStitched	chr22(.):51143612-51144521	0.5754
2_MACS_peak_18210_lociStitched	chr22(.):51167269-51172947	0.8276
1_MACS_peak_18212_lociStitched	chr22(.):51194917-51196475	1.1921
1_MACS_peak_18213_lociStitched	chr22(.):51221443-51222945	0.7148
1_MACS_peak_18214_lociStitched	chr3(.):534013-535006	0.4309
1_MACS_peak_18215_lociStitched	chr3(.):564073-565793	0.8557
1_MACS_peak_18216_lociStitched	chr3(.):599134-600797	1.0259
1_MACS_peak_18217_lociStitched	chr3(.):638937-639873	0.5837
1_MACS_peak_18218_lociStitched	chr3(.):693647-694530	0.4505
2_MACS_peak_18219_lociStitched	chr3(.):1166978-1170543	0.696
1_MACS_peak_18221_lociStitched	chr3(.):1371850-1372723	0.4876
2_MACS_peak_18222_lociStitched	chr3(.):1569909-1575877	0.8749
1_MACS_peak_18224_lociStitched	chr3(.):1984645-1986069	0.8516
1_MACS_peak_18225_lociStitched	chr3(.):2131647-2132849	0.7313
1_MACS_peak_18226_lociStitched	chr3(.):2139678-2141156	0.5399
1_MACS_peak_18227_lociStitched	chr3(.):2676623-2678165	0.6764
1_MACS_peak_18228_lociStitched	chr3(.):2756200-2757390	0.4491
2_MACS_peak_18229_lociStitched	chr3(.):2981415-2987266	0.5853
2_MACS_peak_18231_lociStitched	chr3(.):3122732-3131329	0.5888
2_MACS_peak_18233_lociStitched	chr3(.):3139004-3145315	0.8914
1_MACS_peak_18235_lociStitched	chr3(.):3167699-3169529	1.7681
2_MACS_peak_18236_lociStitched	chr3(.):3213611-3222277	0.6935
1_MACS_peak_18238_lociStitched	chr3(.):3242708-3244262	0.7851
1_MACS_peak_18239_lociStitched	chr3(.):3630731-3632361	0.9195
1_MACS_peak_18240_lociStitched	chr3(.):3676429-3677314	0.4415
1_MACS_peak_18241_lociStitched	chr3(.):3839895-3842029	1.5
1_MACS_peak_18242_lociStitched	chr3(.):4057008-4058070	0.561
1_MACS_peak_18243_lociStitched	chr3(.):4344595-4346067	2.3324
1_MACS_peak_18244_lociStitched	chr3(.):4508124-4509415	1.1363
1_MACS_peak_18245_lociStitched	chr3(.):4534179-4535298	0.7988
1_MACS_peak_18246_lociStitched	chr3(.):4544817-4546718	0.5136
1_MACS_peak_18247_lociStitched	chr3(.):4871997-4874014	3.0748
3_MACS_peak_18248_lociStitched	chr3(.):5018494-5029346	1.7729
1_MACS_peak_18251_lociStitched	chr3(.):5163545-5166125	2.7614
1_MACS_peak_18252_lociStitched	chr3(.):5178207-5179433	0.515
4_MACS_peak_18253_lociStitched	chr3(.):5221989-5257148	3.576
1_MACS_peak_18257_lociStitched	chr3(.):5272396-5273514	0.6935
1_MACS_peak_18258_lociStitched	chr3(.):5287361-5288245	0.5526
1_MACS_peak_18259_lociStitched	chr3(.):6685521-6686769	0.6551
1_MACS_peak_18260_lociStitched	chr3(.):6720833-6722708	1.2357
2_MACS_peak_18261_lociStitched	chr3(.):6758302-6763977	0.6808
1_MACS_peak_18263_lociStitched	chr3(.):6886068-6887450	0.7059
1_MACS_peak_18264_lociStitched	chr3(.):7435487-7436245	0.4082
1_MACS_peak_18265_lociStitched	chr3(.):7648375-7649628	0.5022
1_MACS_peak_18266_lociStitched	chr3(.):8029198-8030444	0.6683
1_MACS_peak_18267_lociStitched	chr3(.):8275370-8276912	0.4793
1_MACS_peak_18268_lociStitched	chr3(.):8398332-8399694	0.6779
1_MACS_peak_18269_lociStitched	chr3(.):8664538-8665543	0.5917
2_MACS_peak_18270_lociStitched	chr3(.):8698729-8708223	2.604
1_MACS_peak_18272_lociStitched	chr3(.):9003811-9005915	1.5166
1_MACS_peak_18273_lociStitched	chr3(.):9187848-9189552	1.4055
1_MACS_peak_18274_lociStitched	chr3(.):9209453-9211058	0.8723
1_MACS_peak_18275_lociStitched	chr3(.):9403906-9406017	3.4248
1_MACS_peak_18276_lociStitched	chr3(.):9436874-9441953	5.0118
2_MACS_peak_18277_lociStitched	chr3(.):9690326-9696367	1.1077
1_MACS_peak_18279_lociStitched	chr3(.):9772364-9774604	4.2163
1_MACS_peak_18280_lociStitched	chr3(.):9790559-9793109	1.8417
1_MACS_peak_18281_lociStitched	chr3(.):9811080-9812150	0.4609
1_MACS_peak_18282_lociStitched	chr3(.):9833411-9835921	4.9941
1_MACS_peak_18283_lociStitched	chr3(.):9850997-9852139	0.5877
1_MACS_peak_18284_lociStitched	chr3(.):9884649-9886075	0.9349
1_MACS_peak_18285_lociStitched	chr3(.):9931786-9933177	3.291
1_MACS_peak_18286_lociStitched	chr3(.):9973919-9976472	2.0887
1_MACS_peak_18287_lociStitched	chr3(.):10027518-10029853	3.7599
1_MACS_peak_18288_lociStitched	chr3(.):10050179-10051469	0.7275
2_MACS_peak_18289_lociStitched	chr3(.):10067141-10076593	0.9732
1_MACS_peak_18291_lociStitched	chr3(.):10156662-10158494	1.7238
1_MACS_peak_18292_lociStitched	chr3(.):10182964-10184563	3.0669
1_MACS_peak_18293_lociStitched	chr3(.):10230749-10232164	1.0077
1_MACS_peak_18294_lociStitched	chr3(.):10240048-10241488	1.1668
3_MACS_peak_18295_lociStitched	chr3(.):10254679-10266962	0.6418
1_MACS_peak_18298_lociStitched	chr3(.):10289166-10291471	1.4387
1_MACS_peak_18299_lociStitched	chr3(.):10315735-10317180	0.5307
1_MACS_peak_18300_lociStitched	chr3(.):10340940-10341970	0.5626
1_MACS_peak_18301_lociStitched	chr3(.):10361754-10363309	1.8152
2_MACS_peak_18302_lociStitched	chr3(.):10430704-10439405	2.309
1_MACS_peak_18304_lociStitched	chr3(.):10450010-10450959	0.4779
1_MACS_peak_18305_lociStitched	chr3(.):11313627-11315105	2.4153
1_MACS_peak_18306_lociStitched	chr3(.):11347291-11349693	1.2336
1_MACS_peak_18307_lociStitched	chr3(.):11683517-11685844	1.0615
2_MACS_peak_18308_lociStitched	chr3(.):11759683-11766771	1.3182
1_MACS_peak_18310_lociStitched	chr3(.):11887040-11888669	1.1463
1_MACS_peak_18311_lociStitched	chr3(.):12234543-12235807	0.4209
1_MACS_peak_18312_lociStitched	chr3(.):12524594-12527326	2.6105
1_MACS_peak_18313_lociStitched	chr3(.):12597870-12599682	2.0193
1_MACS_peak_18314_lociStitched	chr3(.):12607139-12608476	0.556
2_MACS_peak_18315_lociStitched	chr3(.):12662502-12668525	0.9622
3_MACS_peak_18317_lociStitched	chr3(.):12681367-12691799	2.081
1_MACS_peak_18320_lociStitched	chr3(.):12703218-12706537	4.2885
1_MACS_peak_18321_lociStitched	chr3(.):12881367-12883981	3.2805
1_MACS_peak_18322_lociStitched	chr3(.):13014780-13016345	0.6519
4_MACS_peak_18323_lociStitched	chr3(.):13035447-13061632	4.4763
1_MACS_peak_18327_lociStitched	chr3(.):13113067-13114975	1.8087
1_MACS_peak_18328_lociStitched	chr3(.):13151503-13153658	3.0537
1_MACS_peak_18329_lociStitched	chr3(.):13371829-13377096	4.1437
1_MACS_peak_18330_lociStitched	chr3(.):13387803-13388908	0.4727
3_MACS_peak_18331_lociStitched	chr3(.):13455189-13470696	1.6775
1_MACS_peak_18334_lociStitched	chr3(.):13492391-13494835	2.9094
1_MACS_peak_18335_lociStitched	chr3(.):13520963-13522028	1.0386
1_MACS_peak_18336_lociStitched	chr3(.):14014153-14015436	0.5407
1_MACS_peak_18337_lociStitched	chr3(.):14123379-14124648	1.0313
1_MACS_peak_18338_lociStitched	chr3(.):14160862-14168259	5.3241
1_MACS_peak_18339_lociStitched	chr3(.):14185280-14187076	1.0197
2_MACS_peak_18340_lociStitched	chr3(.):14216519-14221226	1.3831
1_MACS_peak_18342_lociStitched	chr3(.):14410753-14412362	0.638
1_MACS_peak_18343_lociStitched	chr3(.):14443343-14445593	1.543
2_MACS_peak_18344_lociStitched	chr3(.):14471932-14477678	3.6421
1_MACS_peak_18346_lociStitched	chr3(.):14527174-14529061	0.9712
1_MACS_peak_18347_lociStitched	chr3(.):14692326-14694286	3.3414
2_MACS_peak_18348_lociStitched	chr3(.):14727625-14741104	1.3883
1_MACS_peak_18350_lociStitched	chr3(.):14782094-14783869	2.6484
1_MACS_peak_18351_lociStitched	chr3(.):14987880-14990951	3.5983
1_MACS_peak_18352_lociStitched	chr3(.):14999996-15001581	0.8163
1_MACS_peak_18353_lociStitched	chr3(.):15029887-15031615	1.0201
1_MACS_peak_18354_lociStitched	chr3(.):15039770-15041666	1.7695
2_MACS_peak_18355_lociStitched	chr3(.):15086273-15093677	0.6599
1_MACS_peak_18357_lociStitched	chr3(.):15105487-15107270	2.3959
1_MACS_peak_18358_lociStitched	chr3(.):15139119-15141677	3.0552
1_MACS_peak_18359_lociStitched	chr3(.):15166325-15167899	1.255
1_MACS_peak_18360_lociStitched	chr3(.):15221052-15222426	0.5257
1_MACS_peak_18361_lociStitched	chr3(.):15247038-15249196	3.0348
1_MACS_peak_18362_lociStitched	chr3(.):15332653-15334597	1.7798
1_MACS_peak_18363_lociStitched	chr3(.):15351879-15353110	0.6416
2_MACS_peak_18364_lociStitched	chr3(.):15368685-15374396	0.4256
2_MACS_peak_18366_lociStitched	chr3(.):15386704-15389952	0.5092
2_MACS_peak_18368_lociStitched	chr3(.):15397709-15403716	0.4338
2_MACS_peak_18370_lociStitched	chr3(.):15419073-15428998	0.9195
1_MACS_peak_18372_lociStitched	chr3(.):15468273-15469933	1.5476
1_MACS_peak_18373_lociStitched	chr3(.):15642159-15644386	2.8934
1_MACS_peak_18374_lociStitched	chr3(.):15678650-15680154	0.5948
1_MACS_peak_18375_lociStitched	chr3(.):15687972-15690867	5.0742
4_MACS_peak_18376_lociStitched	chr3(.):15834942-15851816	2.4368
1_MACS_peak_18380_lociStitched	chr3(.):15900030-15902297	1.7907
1_MACS_peak_18381_lociStitched	chr3(.):16305331-16309588	2.7779
1_MACS_peak_18382_lociStitched	chr3(.):16842417-16843851	0.8081
1_MACS_peak_18383_lociStitched	chr3(.):16857101-16858585	1.4181
1_MACS_peak_18384_lociStitched	chr3(.):16865117-16866600	1.6976
2_MACS_peak_18385_lociStitched	chr3(.):16878837-16885442	2.8061
2_MACS_peak_18387_lociStitched	chr3(.):16925402-16930999	1.4273
1_MACS_peak_18389_lociStitched	chr3(.):16953059-16955390	2.6241
1_MACS_peak_18390_lociStitched	chr3(.):16973913-16975524	1.2065
1_MACS_peak_18391_lociStitched	chr3(.):17236250-17238290	1.1235
1_MACS_peak_18392_lociStitched	chr3(.):17363362-17364536	0.6648
2_MACS_peak_18393_lociStitched	chr3(.):17780595-17790020	1.7288
1_MACS_peak_18395_lociStitched	chr3(.):17796815-17798349	0.7361
1_MACS_peak_18396_lociStitched	chr3(.):18153038-18153868	0.4774
2_MACS_peak_18397_lociStitched	chr3(.):18261702-18266133	0.4062
1_MACS_peak_18399_lociStitched	chr3(.):18464654-18467214	1.194
1_MACS_peak_18400_lociStitched	chr3(.):18684341-18685403	0.3971
1_MACS_peak_18401_lociStitched	chr3(.):18781599-18783546	1.5795
1_MACS_peak_18402_lociStitched	chr3(.):18802217-18804458	2.2387
1_MACS_peak_18403_lociStitched	chr3(.):18885156-18886583	0.7038
1_MACS_peak_18404_lociStitched	chr3(.):18894434-18895537	0.6847
1_MACS_peak_18405_lociStitched	chr3(.):18942369-18943477	0.8061
1_MACS_peak_18406_lociStitched	chr3(.):19143959-19145254	1.435
1_MACS_peak_18407_lociStitched	chr3(.):19187963-19189362	1.1063
1_MACS_peak_18408_lociStitched	chr3(.):19547338-19548660	0.8915
1_MACS_peak_18409_lociStitched	chr3(.):19601254-19602128	0.5399
1_MACS_peak_18410_lociStitched	chr3(.):19685921-19687230	0.707
1_MACS_peak_18411_lociStitched	chr3(.):19948536-19949569	0.5324
1_MACS_peak_18412_lociStitched	chr3(.):19972478-19973352	0.3882
1_MACS_peak_18413_lociStitched	chr3(.):19987592-19990041	3.7636
3_MACS_peak_18414_lociStitched	chr3(.):20080327-20098737	1.8107
1_MACS_peak_18417_lociStitched	chr3(.):20226151-20229412	2.6795
1_MACS_peak_18418_lociStitched	chr3(.):21486948-21488667	1.0867
1_MACS_peak_18419_lociStitched	chr3(.):22057494-22058550	0.6153
1_MACS_peak_18420_lociStitched	chr3(.):22820558-22822652	1.2602
1_MACS_peak_18421_lociStitched	chr3(.):23170828-23171717	0.4618
1_MACS_peak_18422_lociStitched	chr3(.):23202358-23205434	5.362
1_MACS_peak_18423_lociStitched	chr3(.):23243953-23245705	1.0969
1_MACS_peak_18424_lociStitched	chr3(.):23463007-23464568	0.6717
2_MACS_peak_18425_lociStitched	chr3(.):23694291-23701560	1.7699
1_MACS_peak_18427_lociStitched	chr3(.):23754322-23755287	0.6049
2_MACS_peak_18428_lociStitched	chr3(.):23764736-23769460	0.9646
1_MACS_peak_18430_lociStitched	chr3(.):23847170-23854734	3.1545
1_MACS_peak_18431_lociStitched	chr3(.):23870544-23871931	0.8639
1_MACS_peak_18432_lociStitched	chr3(.):23898085-23899749	0.7651
2_MACS_peak_18433_lociStitched	chr3(.):23955117-23960243	1.0937
2_MACS_peak_18435_lociStitched	chr3(.):23986105-23992549	1.3101
1_MACS_peak_18437_lociStitched	chr3(.):24178624-24180245	0.8598
1_MACS_peak_18438_lociStitched	chr3(.):24461330-24462535	0.7019
1_MACS_peak_18439_lociStitched	chr3(.):25501624-25504860	1.4997
1_MACS_peak_18440_lociStitched	chr3(.):25703288-25707634	2.9622
1_MACS_peak_18441_lociStitched	chr3(.):25809932-25811250	0.7129
2_MACS_peak_18442_lociStitched	chr3(.):25823793-25832432	0.7783
2_MACS_peak_18444_lociStitched	chr3(.):25871659-25877398	2.2222
1_MACS_peak_18446_lociStitched	chr3(.):25904035-25905448	0.7873
1_MACS_peak_18447_lociStitched	chr3(.):26145876-26147915	0.8041
1_MACS_peak_18448_lociStitched	chr3(.):26463761-26464702	0.4881
1_MACS_peak_18449_lociStitched	chr3(.):26490908-26492125	1.0565
1_MACS_peak_18450_lociStitched	chr3(.):26615524-26617318	1.6221
1_MACS_peak_18451_lociStitched	chr3(.):26744556-26745814	0.7589
1_MACS_peak_18452_lociStitched	chr3(.):26920541-26922354	0.9618
1_MACS_peak_18453_lociStitched	chr3(.):26956220-26957487	0.6164
1_MACS_peak_18454_lociStitched	chr3(.):27003905-27005060	1.0227
1_MACS_peak_18455_lociStitched	chr3(.):27090562-27092372	1.3682
1_MACS_peak_18456_lociStitched	chr3(.):27135128-27140024	5.5992
1_MACS_peak_18457_lociStitched	chr3(.):27212161-27213036	0.4149
1_MACS_peak_18458_lociStitched	chr3(.):27250923-27251855	0.3987
1_MACS_peak_18459_lociStitched	chr3(.):27391046-27392030	0.6562
1_MACS_peak_18460_lociStitched	chr3(.):27524495-27526850	1.0478
1_MACS_peak_18461_lociStitched	chr3(.):27673715-27675298	1.2536
1_MACS_peak_18462_lociStitched	chr3(.):27954335-27955309	0.605
1_MACS_peak_18463_lociStitched	chr3(.):28282425-28283949	1.2567
1_MACS_peak_18464_lociStitched	chr3(.):28367366-28369015	1.0764
1_MACS_peak_18465_lociStitched	chr3(.):28389389-28391315	4.7409
1_MACS_peak_18466_lociStitched	chr3(.):28922144-28924055	2.1169
1_MACS_peak_18467_lociStitched	chr3(.):29030470-29032180	0.9381
1_MACS_peak_18468_lociStitched	chr3(.):29288412-29289291	0.501
1_MACS_peak_18469_lociStitched	chr3(.):29365120-29366753	2.6094
2_MACS_peak_18470_lociStitched	chr3(.):29451252-29454866	0.7619
1_MACS_peak_18472_lociStitched	chr3(.):29977560-29978723	0.6187
1_MACS_peak_18473_lociStitched	chr3(.):30647267-30649247	2.4911
2_MACS_peak_18474_lociStitched	chr3(.):30670016-30673716	0.6853
3_MACS_peak_18476_lociStitched	chr3(.):30682685-30703662	1.8226
1_MACS_peak_18479_lociStitched	chr3(.):31006004-31006999	0.5278
1_MACS_peak_18480_lociStitched	chr3(.):31255101-31256114	0.537
1_MACS_peak_18481_lociStitched	chr3(.):31462552-31464060	0.9807
1_MACS_peak_18482_lociStitched	chr3(.):31488941-31491724	1.4886
1_MACS_peak_18483_lociStitched	chr3(.):31572571-31576188	5.2793
2_MACS_peak_18484_lociStitched	chr3(.):31661957-31664847	0.42
1_MACS_peak_18486_lociStitched	chr3(.):31795705-31797059	0.5984
1_MACS_peak_18487_lociStitched	chr3(.):31894344-31895898	0.8927
1_MACS_peak_18488_lociStitched	chr3(.):31958318-31960421	1.3507
1_MACS_peak_18489_lociStitched	chr3(.):31982926-31984397	0.6911
2_MACS_peak_18490_lociStitched	chr3(.):31993188-31997488	0.4929
1_MACS_peak_18492_lociStitched	chr3(.):32021658-32022973	0.7324
1_MACS_peak_18493_lociStitched	chr3(.):32132803-32134235	1.112
2_MACS_peak_18494_lociStitched	chr3(.):32442700-32449554	0.3879
1_MACS_peak_18496_lociStitched	chr3(.):32463971-32466478	1.9089
1_MACS_peak_18497_lociStitched	chr3(.):32473659-32475656	2.5528
1_MACS_peak_18498_lociStitched	chr3(.):32534905-32536350	0.6237
1_MACS_peak_18499_lociStitched	chr3(.):32542976-32544948	2.0768
2_MACS_peak_18500_lociStitched	chr3(.):32611018-32619923	0.7016
1_MACS_peak_18502_lociStitched	chr3(.):32725334-32727854	2.473
2_MACS_peak_18503_lociStitched	chr3(.):32923744-32931110	0.4381
1_MACS_peak_18505_lociStitched	chr3(.):33088981-33090794	1.0754
1_MACS_peak_18506_lociStitched	chr3(.):33137511-33139309	2.9467
1_MACS_peak_18507_lociStitched	chr3(.):33154732-33157490	1.555
2_MACS_peak_18508_lociStitched	chr3(.):33175216-33181575	0.4522
1_MACS_peak_18510_lociStitched	chr3(.):33278170-33279689	0.7257
1_MACS_peak_18511_lociStitched	chr3(.):33461037-33462601	0.883
1_MACS_peak_18512_lociStitched	chr3(.):33479426-33483671	4.7695
1_MACS_peak_18513_lociStitched	chr3(.):33699807-33702280	1.9753
1_MACS_peak_18514_lociStitched	chr3(.):33758113-33760358	2.405
1_MACS_peak_18515_lociStitched	chr3(.):33770937-33772052	0.5863
1_MACS_peak_18516_lociStitched	chr3(.):33787524-33788694	0.7023
1_MACS_peak_18517_lociStitched	chr3(.):33839028-33841041	2.6956
1_MACS_peak_18518_lociStitched	chr3(.):34058214-34059136	0.5751
1_MACS_peak_18519_lociStitched	chr3(.):34097203-34099550	1.8154
2_MACS_peak_18520_lociStitched	chr3(.):34148356-34152038	0.689
1_MACS_peak_18522_lociStitched	chr3(.):34226158-34227614	0.7391
2_MACS_peak_18523_lociStitched	chr3(.):34239430-34243145	0.6726
1_MACS_peak_18525_lociStitched	chr3(.):34364285-34365963	1.2162
1_MACS_peak_18526_lociStitched	chr3(.):35898080-35899483	0.4969
1_MACS_peak_18527_lociStitched	chr3(.):36484143-36485459	0.8039
1_MACS_peak_18528_lociStitched	chr3(.):36530845-36532340	0.7026
1_MACS_peak_18529_lociStitched	chr3(.):36917463-36918887	1.4295
3_MACS_peak_18530_lociStitched	chr3(.):36949092-36959995	0.8989
1_MACS_peak_18533_lociStitched	chr3(.):37033622-37036260	4.3689
1_MACS_peak_18534_lociStitched	chr3(.):37216661-37219153	1.9004
1_MACS_peak_18535_lociStitched	chr3(.):37283844-37286173	3.0494
1_MACS_peak_18536_lociStitched	chr3(.):37316745-37317500	0.5279
1_MACS_peak_18537_lociStitched	chr3(.):37664417-37665226	0.4502
1_MACS_peak_18538_lociStitched	chr3(.):37808252-37809417	1.1263
1_MACS_peak_18539_lociStitched	chr3(.):37854275-37855545	0.5003
1_MACS_peak_18540_lociStitched	chr3(.):37948541-37950325	1.12
2_MACS_peak_18541_lociStitched	chr3(.):38034976-38040546	0.64
1_MACS_peak_18543_lociStitched	chr3(.):38065129-38067092	1.7171
1_MACS_peak_18544_lociStitched	chr3(.):38080256-38081492	0.7076
1_MACS_peak_18545_lociStitched	chr3(.):38177708-38180926	1.1097
1_MACS_peak_18546_lociStitched	chr3(.):38205693-38207932	4.4233
1_MACS_peak_18547_lociStitched	chr3(.):38387926-38389210	1.1826
1_MACS_peak_18548_lociStitched	chr3(.):38494675-38497559	0.7142
1_MACS_peak_18549_lociStitched	chr3(.):38537437-38538748	1.8345
1_MACS_peak_18550_lociStitched	chr3(.):39092521-39094473	3.2739
1_MACS_peak_18551_lociStitched	chr3(.):39116878-39118287	0.9804
1_MACS_peak_18552_lociStitched	chr3(.):39148140-39150763	2.4072
2_MACS_peak_18553_lociStitched	chr3(.):39188773-39195777	1.538
1_MACS_peak_18555_lociStitched	chr3(.):39232053-39233139	0.6226
3_MACS_peak_18556_lociStitched	chr3(.):39248504-39263625	2.561
3_MACS_peak_18559_lociStitched	chr3(.):39296301-39306329	0.983
3_MACS_peak_18562_lociStitched	chr3(.):39328033-39332379	0.9895
2_MACS_peak_18565_lociStitched	chr3(.):39424104-39431458	2.0707
1_MACS_peak_18567_lociStitched	chr3(.):39447285-39449535	3.0498
1_MACS_peak_18568_lociStitched	chr3(.):40020706-40021807	0.4947
1_MACS_peak_18569_lociStitched	chr3(.):40350415-40351949	1.3112
2_MACS_peak_18570_lociStitched	chr3(.):40493855-40499927	1.5089
1_MACS_peak_18572_lociStitched	chr3(.):40517925-40519377	1.2567
1_MACS_peak_18573_lociStitched	chr3(.):40565529-40567173	1.7033
1_MACS_peak_18574_lociStitched	chr3(.):40664548-40666298	1.037
2_MACS_peak_18575_lociStitched	chr3(.):40754616-40760853	0.6941
1_MACS_peak_18577_lociStitched	chr3(.):41012310-41014025	1.787
1_MACS_peak_18578_lociStitched	chr3(.):41240104-41241718	1.511
1_MACS_peak_18579_lociStitched	chr3(.):41833780-41835253	0.5226
1_MACS_peak_18580_lociStitched	chr3(.):42002013-42004506	2.22
1_MACS_peak_18581_lociStitched	chr3(.):42053627-42057360	4.2303
1_MACS_peak_18582_lociStitched	chr3(.):42066033-42068248	1.006
2_MACS_peak_18583_lociStitched	chr3(.):42107230-42114815	1.1166
2_MACS_peak_18585_lociStitched	chr3(.):42122950-42131111	0.1865
1_MACS_peak_18587_lociStitched	chr3(.):42200706-42202207	0.8741
2_MACS_peak_18588_lociStitched	chr3(.):42233417-42238601	1.5016
1_MACS_peak_18590_lociStitched	chr3(.):42254433-42256891	2.3545
1_MACS_peak_18591_lociStitched	chr3(.):42332171-42333068	0.4242
2_MACS_peak_18592_lociStitched	chr3(.):42530613-42534552	2.6874
1_MACS_peak_18594_lociStitched	chr3(.):42543075-42544725	0.6297
