REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_18079_lociStitched	chr5	151128686	151138694	3	4787	4924.9368	1867.4928	315	ATOX1	G3BP1	ATOX1	ATOX1	0.12459999999999996	315	1
2_MACS_peak_6025_lociStitched	chr13	77899178	77904907	2	4784	4836.4218	1360.0646	316	MYCBP2		MYCBP2	MYCBP2	0.004200000000000009	316	1
1_MACS_peak_15497_lociStitched	chr3	193817987	193822765	1	4779	7779.5396	2235.6262	317		HES1	HES1	HES1	0.43739999999999996	317	1
2_MACS_peak_1965_lociStitched	chr1	211750616	211756654	2	4779	4547.8216	1735.925	318	SLC30A1		SLC30A1	SLC30A1	0.24780000000000002	318	1
2_MACS_peak_9818_lociStitched	chr19	2595141	2600139	2	4773	7969.311	2102.6586	319	GNG7		GNG7	GNG7	0.1038	319	1
2_MACS_peak_16073_lociStitched	chr4	78737997	78743572	2	4769	3412.4575	1113.885	320	CNOT6L	MRPL1	CNOT6L	MRPL1	0.03320000000000001	320	1
4_MACS_peak_3369_lociStitched	chr10	125831282	125844805	4	4768	5363.2218	2551.7901	321	CHST15		CHST15	CHST15	0.1008	321	1
4_MACS_peak_3090_lociStitched	chr10	94831456	94840657	4	4766	4676.8683	1682.8629	322	CYP26A1	CYP26C1	CYP26A1	CYP26A1	0.2061	322	1
3_MACS_peak_1909_lociStitched	chr1	207223024	207232834	3	4764	4897.152	2713.446	323	PFKFB2,YOD1	C4BPB,C4BPA,C1orf116	PFKFB2	PFKFB2	0.053800000000000014	323	1
4_MACS_peak_22507_lociStitched	chr9	69259419	69270008	4	4762	4532.092	2099.7987	324	CBWD6		CBWD6	CBWD6	0.0059999999999999915	324	1
3_MACS_peak_7937_lociStitched	chr16	57570113	57578884	3	4756	6125.6664	1584.0426	325	GPR114,CCDC102A	DOK4	GPR114	GPR114	0.0814	325	1
4_MACS_peak_16475_lociStitched	chr4	129724378	129733922	4	4753	4570.6216	1707.4216	326	PHF17		PHF17	PHF17	0.0474	326	1
1_MACS_peak_1825_lociStitched	chr1	203255850	203260585	1	4736	7032.422	2145.902	327		BTG2,LOC730227	LOC730227	LOC730227	0.2981	327	1
4_MACS_peak_15013_lociStitched	chr3	141205849	141218410	4	4735	6732.696	2493.3585	328	RASA2		RASA2	RASA2	0.031200000000000006	328	1
2_MACS_peak_13307_lociStitched	chr21	36258062	36262913	2	4734	5018.8446	1359.2502	329	RUNX1		RUNX1	RUNX1	0.04669999999999999	329	1
3_MACS_peak_3204_lociStitched	chr10	104531568	104542295	3	4732	6659.3216	2499.391	330	C10orf26		C10orf26	C10orf26	0.0779	330	1
2_MACS_peak_7574_lociStitched	chr16	10970182	10976170	2	4727	4608.9636	1459.8744	331	CIITA		CIITA	CIITA	0.04730000000000001	331	1
1_MACS_peak_8596_lociStitched	chr17	36856734	36861459	1	4726	4987.2375	1292.76	332		MLLT6,CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.11730000000000002	332	1
2_MACS_peak_17593_lociStitched	chr5	98104591	98110801	2	4724	3636.576	1029.618	333	RGMB,FLJ35946		FLJ35946	FLJ35946	0.21130000000000002	333	1
3_MACS_peak_11480_lociStitched	chr2	112456070	112464639	3	4712	6754.0858	2537.2809	334			ANAPC1	ANAPC1	NONE	334	1
1_MACS_peak_15374_lociStitched	chr3	183269591	183274298	1	4708	4783.7241	1918.5732	335	KLHL6		KLHL6	KLHL6	0.1778	335	1
3_MACS_peak_20679_lociStitched	chr7	102080343	102086610	3	4706	4534.8012	1326.7239	336	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.1695	336	1
2_MACS_peak_20700_lociStitched	chr7	104578913	104586469	2	4706	7941.356	2070.344	337		LOC723809	LOC723809	LOC723809	0.05829999999999999	337	1
4_MACS_peak_5372_lociStitched	chr12	77453953	77464830	4	4704	7105.9441	2169.9615	338	E2F7		E2F7	E2F7	0.08280000000000001	338	1
3_MACS_peak_1938_lociStitched	chr1	209920729	209930864	3	4696	7303.281	2994.8925	339	TRAF3IP3	HSD11B1,C1orf74,IRF6	TRAF3IP3	TRAF3IP3	0.16369999999999998	339	1
4_MACS_peak_18257_lociStitched	chr5	173311178	173320414	4	4692	4956.9612	1877.6788	340	CPEB4		CPEB4	CPEB4	0.11910000000000001	340	1
3_MACS_peak_16533_lociStitched	chr4	141071088	141078267	3	4691	4355.4993	1400.6229	341	MAML3		MAML3	MAML3	0.0020000000000000018	341	1
3_MACS_peak_5140_lociStitched	chr12	53846129	53855857	3	4691	4830.9248	2034.1248	342	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.2136	342	1
1_MACS_peak_13382_lociStitched	chr21	41384650	41389331	1	4682	5390.6396	1685.16	343	DSCAM		PCP4	PCP4	NONE	343	1
1_MACS_peak_22087_lociStitched	chr8	134509941	134514621	1	4681	4368.78	1361.412	344	ST3GAL1		ST3GAL1	ST3GAL1	0.0577	344	1
3_MACS_peak_11166_lociStitched	chr2	70310355	70315768	3	4675	4692.5297	1496.1532	345	PCBP1,LOC400960	LOC100133985	LOC400960	LOC100133985	0.11960000000000001	345	1
1_MACS_peak_7049_lociStitched	chr15	65183977	65188645	1	4669	4329.1032	1572.1824	346		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.010999999999999982	346	1
2_MACS_peak_2370_lociStitched	chr10	3823887	3828620	2	4668	3842.2494	971.2116	347	KLF6		KLF6	KLF6	0.25970000000000004	347	1
1_MACS_peak_1125_lociStitched	chr1	149820954	149825620	1	4667	6126.458	1839.8038	348	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	0.48510000000000003	348	1
1_MACS_peak_1127_lociStitched	chr1	149856118	149860776	1	4659	7107.1764	2131.9666	349	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H2AC	0.48510000000000003	349	1
2_MACS_peak_8621_lociStitched	chr17	38019588	38024674	2	4651	4016.4142	1339.6524	350	ZPBP2,IKZF3	GSDMB	IKZF3	IKZF3	0.10560000000000003	350	1
1_MACS_peak_20571_lociStitched	chr7	92461169	92465817	1	4649	3646.8208	1033.2504	351	CDK6		CDK6	CDK6	0.049199999999999994	351	1
3_MACS_peak_22109_lociStitched	chr8	137189782	137200980	3	4649	6301.1146	2332.5434	352			KHDRBS3	KHDRBS3	NONE	352	1
1_MACS_peak_1217_lociStitched	chr1	154296743	154301386	1	4644	4557.5688	1592.549	353	AQP10,ATP8B2		ATP8B2	ATP8B2	0.13740000000000002	353	1
2_MACS_peak_7317_lociStitched	chr15	89177533	89184158	2	4643	5474.9	1898.725	354	ISG20	MIR1179,MIR7-2,AEN	ISG20	ISG20	0.1826	354	1
3_MACS_peak_2320_lociStitched	chr1	247373415	247380393	3	4631	5209.7748	2055.021	355		VN1R5,ZNF124,MIR3916	MIR3916	ZNF124	0.0252	355	1
1_MACS_peak_18638_lociStitched	chr6	26156163	26160784	1	4622	4464.3481	1304.9704	356	HIST1H1E,HIST1H2BD	HIST1H2AC,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H1T,HIST1H2BC,HIST1H4D,HIST1H2AD,HIST1H3D	HIST1H2BD	HIST1H2BF	0.41840000000000005	356	1
4_MACS_peak_3511_lociStitched	chr11	9587286	9599875	4	4617	5434.6713	1911.0102	357	WEE1		WEE1	WEE1	0.1094	357	1
3_MACS_peak_6968_lociStitched	chr15	56656699	56664663	3	4614	6052.64	1783.1396	358	TEX9		TEX9	TEX9	0.05630000000000002	358	1
2_MACS_peak_1920_lociStitched	chr1	207995231	208000223	2	4612	5412.3264	1936.3968	359	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	0.2565	359	1
3_MACS_peak_1035_lociStitched	chr1	143992211	144001163	3	4604	7380.0288	2246.952	360	SRGAP2P2		SRGAP2P2	SRGAP2P2	0.0464	360	1
2_MACS_peak_20809_lociStitched	chr7	116164613	116170761	2	4603	4674.3244	1631.0644	361	CAV1	CAV2	CAV1	CAV2	0.2448	361	1
3_MACS_peak_3856_lociStitched	chr11	59324325	59334317	3	4588	4540.3648	1642.6848	362		OR4D9,MIR3162,OSBP	MIR3162	OSBP	0.007199999999999998	362	1
3_MACS_peak_4289_lociStitched	chr11	96071070	96077029	3	4585	3567.6533	1390.2347	363	MIR1260B,MAML2	JRKL,CCDC82	MIR1260B	MIR1260B	0.20740000000000003	363	1
2_MACS_peak_18644_lociStitched	chr6	26215440	26224984	2	4579	4373.0608	1841.992	364	HIST1H2AE,HIST1H2BG	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BI,HIST1H4D,HIST1H2AD,HIST1H3D,HIST1H1D,HIST1H4G,HIST1H3F,HIST1H3G	HIST1H2AE	HIST1H2BF	0.41840000000000005	364	1
1_MACS_peak_14361_lociStitched	chr3	49055477	49060049	1	4573	3125.4192	1107.7956	365	NDUFAF3,DALRD3,MIR425,MIR191	P4HTM,WDR6,IMPDH2	MIR425	MIR425	0.2394	365	1
3_MACS_peak_18617_lociStitched	chr6	25366826	25374571	3	4568	4161.3885	1758.115	366	LRRC16A		LRRC16A	LRRC16A	0.03749999999999998	366	1
1_MACS_peak_20344_lociStitched	chr7	55599527	55604084	1	4558	6491.4465	1616.8236	367	VOPP1		VOPP1	VOPP1	0.1439	367	1
1_MACS_peak_4659_lociStitched	chr12	4224744	4229297	1	4554	7055.7841	1622.6892	368			CCND2	CCND2	0.16670000000000001	368	1
2_MACS_peak_9785_lociStitched	chr19	1897268	1906196	2	4554	5572.8576	2267.712	369	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	KLF16	0.14679999999999999	369	1
2_MACS_peak_12211_lociStitched	chr2	204569663	204574227	2	4550	4789.0052	1465.044	370	CD28		CD28	CD28	0.12009999999999998	370	1
3_MACS_peak_13851_lociStitched	chr22	42928764	42936076	3	4549	6380.4512	2068.5648	371		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	SERHL2	0.06549999999999997	371	1
2_MACS_peak_9848_lociStitched	chr19	4398687	4403704	2	4545	3612.24	1456.4351	372	CHAF1A,SH3GL1		SH3GL1	SH3GL1	0.055499999999999994	372	1
3_MACS_peak_18884_lociStitched	chr6	37136540	37144240	3	4543	4670.05	1359.05	373	PIM1		PIM1	PIM1	0.2336	373	1
2_MACS_peak_14754_lociStitched	chr3	113463625	113468528	2	4536	3773.8391	1146.8117	374	ATP6V1A,NAA50	KIAA2018	ATP6V1A	ATP6V1A	0.0406	374	1
3_MACS_peak_13617_lociStitched	chr22	29214540	29225894	3	4534	5894.9968	2343.4656	375		CCDC117,XBP1	XBP1	XBP1	0.43989999999999996	375	1
3_MACS_peak_16834_lociStitched	chr4	185369481	185379820	3	4529	5278.0595	2459.6481	376	IRF2		IRF2	IRF2	0.1717	376	1
2_MACS_peak_21506_lociStitched	chr8	38239103	38244492	2	4528	3860.1407	1269.6484	377	LETM2,WHSC1L1		WHSC1L1	WHSC1L1	0.04100000000000001	377	1
1_MACS_peak_1634_lociStitched	chr1	183810578	183815104	1	4527	4983.5786	1642.0328	378	RGL1		APOBEC4	APOBEC4	NONE	378	1
1_MACS_peak_3265_lociStitched	chr10	112217393	112221916	1	4524	4700.7539	1472.2365	379		DUSP5	DUSP5	DUSP5	0.26549999999999996	379	1
2_MACS_peak_17850_lociStitched	chr5	131799238	131804082	2	4523	5962.964	1647.4444	380		IRF1	IRF1	IRF1	0.12669999999999998	380	1
2_MACS_peak_11311_lociStitched	chr2	88923160	88928322	2	4523	3828.6554	1304.4374	381	EIF2AK3		EIF2AK3	EIF2AK3	0.0937	381	1
1_MACS_peak_20931_lociStitched	chr7	128577159	128581680	1	4522	4815.3171	1459.3788	382	IRF5	KCP	IRF5	IRF5	0.18469999999999998	382	1
3_MACS_peak_4544_lociStitched	chr11	126173322	126182570	3	4520	5743.008	2044.7328	383	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	DCPS	0.08399999999999999	383	1
3_MACS_peak_12327_lociStitched	chr2	219148889	219157640	3	4518	4207.4808	1834.2096	384	PNKD,TMBIM1	GPBAR1,PNKD,AAMP	TMBIM1	TMBIM1	0.1272	384	1
3_MACS_peak_3843_lociStitched	chr11	58864994	58875866	3	4518	4434.6888	2083.0752	385	FAM111B	FAM111A,LOC283194	FAM111B	FAM111A	0.12230000000000002	385	1
2_MACS_peak_19540_lociStitched	chr6	126067693	126072303	2	4513	3374.52	1140.975	386	HEY2	NCOA7	HEY2	HEY2	0.11379999999999998	386	1
2_MACS_peak_5041_lociStitched	chr12	46776406	46782806	2	4512	3987.2	1301.76	387		SLC38A2	SLC38A2	SLC38A2	0.15639999999999998	387	1
1_MACS_peak_18869_lociStitched	chr6	36559554	36564064	1	4511	4031.038	1157.266	388	SRSF3	STK38,MIR3925	SRSF3	SRSF3	0.17809999999999998	388	1
2_MACS_peak_18753_lociStitched	chr6	30649582	30655590	2	4497	3703.3312	1321.1592	389	KIAA1949	C6orf136,TUBB,DHX16,NRM,MDC1	KIAA1949	TUBB	0.24170000000000003	389	1
3_MACS_peak_1862_lociStitched	chr1	205197438	205207887	3	4482	5458.5576	2865.1158	390	TMCC2	DSTYK	TMCC2	TMCC2	0.07709999999999997	390	1
1_MACS_peak_1058_lociStitched	chr1	145208065	145212535	1	4471	5768.982	2274.336	391	NOTCH2NL		NOTCH2NL	NOTCH2NL	0.08250000000000002	391	1
2_MACS_peak_857_lociStitched	chr1	92948489	92953002	2	4471	3379.7857	943.6683	392	GFI1		GFI1	GFI1	0.12769999999999998	392	1
1_MACS_peak_18649_lociStitched	chr6	26270309	26274777	1	4469	4038.1784	1376.5908	393	HIST1H2BI,HIST1H3G	HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1D,HIST1H4G,HIST1H3F,HIST1H4H	HIST1H2BI	HIST1H2BI	0.2531	393	1
2_MACS_peak_16866_lociStitched	chr4	186315648	186320759	2	4460	3789.2954	1355.4372	394	ANKRD37,UFSP2	C4orf47,LRP2BP	ANKRD37	ANKRD37	0.18030000000000002	394	1
1_MACS_peak_2098_lociStitched	chr1	226128971	226133425	1	4455	5494.009	2097.3886	395	LEFTY2	PYCR2	LEFTY2	LEFTY2	0.25299999999999995	395	1
3_MACS_peak_8244_lociStitched	chr17	3814016	3820218	3	4447	4409.622	1690.6652	396	P2RX1	CAMKK1,ATP2A3	P2RX1	P2RX1	0.12950000000000003	396	1
1_MACS_peak_9751_lociStitched	chr19	1036911	1041349	1	4439	5426.7864	1824.018	397	CNN2,ABCA7	GRIN3B,HMHA1,C19orf6	ABCA7	ABCA7	0.19399999999999998	397	1
2_MACS_peak_14045_lociStitched	chr3	15835141	15840139	2	4437	3442.1226	1207.5168	398	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.0174	398	1
2_MACS_peak_17940_lociStitched	chr5	139047171	139051702	2	4431	3864.4899	1192.1061	399	CXXC5		CXXC5	CXXC5	0.0925	399	1
2_MACS_peak_14335_lociStitched	chr3	47821949	47831274	2	4420	4062.9025	1799.725	400	SMARCC1	DHX30	SMARCC1	DHX30	0.011200000000000015	400	1
2_MACS_peak_9609_lociStitched	chr18	56806448	56811339	2	4414	3710.8017	1306.3861	401	SEC11C		SEC11C	SEC11C	0.08180000000000001	401	1
3_MACS_peak_10186_lociStitched	chr19	36231055	36237047	3	4403	3487.9432	1343.4064	402	PSENEN,TMEM149,U2AF1L4	ZBTB32,MLL4,LIN37,C19orf55,ARHGAP33,HSPB6	TMEM149	TMEM149	0.1692	402	1
2_MACS_peak_21463_lociStitched	chr8	33420698	33425478	2	4399	4105.064	964.126	403	RNF122	C8orf41,DUSP26	RNF122	RNF122	0.2434	403	1
2_MACS_peak_13420_lociStitched	chr21	44527031	44531461	2	4397	3098.342	1332.987	404	U2AF1	CBS	U2AF1	U2AF1	0.07919999999999999	404	1
3_MACS_peak_12307_lociStitched	chr2	217081412	217088265	3	4392	4642.2222	1878.4073	405			XRCC5	XRCC5	0.006599999999999995	405	1
1_MACS_peak_8718_lociStitched	chr17	43302662	43307050	1	4389	4170.794	1148.7784	406	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.1594	406	1
2_MACS_peak_7983_lociStitched	chr16	66583121	66587527	2	4389	2713.2148	997.0778	407	CKLF,TK2	CMTM1,CMTM2	TK2	TK2	0.1515	407	1
3_MACS_peak_3255_lociStitched	chr10	111966876	111972594	3	4380	3898.5324	1546.1472	408	MXI1	MXI1	MXI1	MXI1	0.04669999999999999	408	1
3_MACS_peak_19354_lociStitched	chr6	106588489	106595246	3	4371	4432.592	1958.8543	409		PRDM1	PRDM1	PRDM1	0.3721	409	1
1_MACS_peak_2095_lociStitched	chr1	226067317	226071684	1	4368	3630.2871	1306.6064	410	TMEM63A	LEFTY1,PYCR2	TMEM63A	TMEM63A	0.09830000000000003	410	1
2_MACS_peak_18252_lociStitched	chr5	173169138	173174049	2	4366	3806.5161	1504.2393	411			BOD1	BOD1	NONE	411	1
3_MACS_peak_21776_lociStitched	chr8	81050547	81060109	3	4365	5671.2222	2213.603	412	TPD52		TPD52	TPD52	0.095	412	1
2_MACS_peak_1293_lociStitched	chr1	156469814	156476039	2	4364	5991.5625	2149.4925	413	MEF2D		MEF2D	MEF2D	0.1705	413	1
1_MACS_peak_11468_lociStitched	chr2	111876889	111881251	1	4363	3737.7978	867.1656	414	BCL2L11		BCL2L11	BCL2L11	0.123	414	1
2_MACS_peak_2108_lociStitched	chr1	226308865	226316586	2	4360	6610.7202	2486.9341	415			ACBD3	ACBD3	NONE	415	1
1_MACS_peak_15225_lociStitched	chr3	169771811	169776167	1	4357	3673.4148	1541.1528	416	GPR160		GPR160	GPR160	0.1207	416	1
1_MACS_peak_4729_lociStitched	chr12	9799707	9804061	1	4355	3708.7372	974.8606	417	LOC374443	CLEC2D,KLRB1	LOC374443	LOC374443	0.1332	417	1
3_MACS_peak_16516_lociStitched	chr4	140128197	140136252	3	4350	4742.784	1635.165	418			C4orf49	C4orf49	0.0676	418	1
3_MACS_peak_7164_lociStitched	chr15	74832366	74839370	3	4349	4994.5524	1780.4168	419	ARID3B		ARID3B	ARID3B	0.0514	419	1
3_MACS_peak_11036_lociStitched	chr2	60776357	60783328	3	4344	4316.4432	1201.1033	420	BCL11A		BCL11A	BCL11A	0.0266	420	1
2_MACS_peak_1752_lociStitched	chr1	197743411	197748319	2	4337	4626.7716	1776.2052	421	DENND1B		DENND1B	DENND1B	0.00520000000000001	421	1
3_MACS_peak_13958_lociStitched	chr3	5018572	5029182	3	4326	4318.27	1806.883	422	BHLHE40		BHLHE40	BHLHE40	0.1606	422	1
1_MACS_peak_9820_lociStitched	chr19	2607475	2611795	1	4321	6651.936	1576.368	423	GNG7		GNG7	GNG7	0.1038	423	1
3_MACS_peak_6228_lociStitched	chr13	115070606	115081028	3	4321	4128.1542	1888.4664	424	UPF3A,ZNF828		ZNF828	ZNF828	0.0562	424	1
3_MACS_peak_3628_lociStitched	chr11	21432246	21437794	3	4317	4623.7032	1253.848	425	NELL1		NELL1	NONE	NONE	425	1
3_MACS_peak_6802_lociStitched	chr15	40835078	40843537	3	4314	6774.8131	2079.2222	426		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	C15orf57	0.1898	426	1
1_MACS_peak_1139_lociStitched	chr1	150335292	150339602	1	4311	4165.184	1589.528	427	RPRD2	PRPF3	RPRD2	RPRD2	0.015099999999999975	427	1
3_MACS_peak_23005_lociStitched	chr9	127630537	127635589	3	4311	3085.2564	1233.6984	428	ARPC5L	WDR38,RPL35	ARPC5L	ARPC5L	0.11319999999999997	428	1
3_MACS_peak_19878_lociStitched	chr7	2438889	2447238	3	4311	5196.4176	1876.0203	429	CHST12	EIF3B	CHST12	CHST12	0.08920000000000002	429	1
3_MACS_peak_13581_lociStitched	chr22	24823123	24831259	3	4305	4906.8216	1662.9984	430	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.14629999999999999	430	1
2_MACS_peak_1232_lociStitched	chr1	154756894	154765070	2	4297	7010.92	2827.2608	431	KCNN3		KCNN3	KCNN3	0.046999999999999986	431	1
3_MACS_peak_8491_lociStitched	chr17	29640200	29649237	3	4297	4843.832	2021.5769	432	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	0.13289999999999996	432	1
3_MACS_peak_322_lociStitched	chr1	28903292	28914166	3	4296	5533.7786	2332.473	433	TRNAU1AP,SNHG12,SNORD99,SNORA61,SNORA44,SNORA16A	RAB42	SNHG12	SNHG12	0.23159999999999997	433	1
1_MACS_peak_1716_lociStitched	chr1	192777165	192781459	1	4295	4566.669	1874.7604	434	RGS2		RGS2	RGS2	0.21280000000000004	434	1
2_MACS_peak_19512_lociStitched	chr6	119668313	119672682	2	4294	3285.488	1012.2973	435	MAN1A1		MAN1A1	MAN1A1	0.007400000000000018	435	1
2_MACS_peak_2880_lociStitched	chr10	72335212	72340117	2	4285	5201.262	1256.661	436		PRF1	PRF1	NONE	NONE	436	1
2_MACS_peak_11109_lociStitched	chr2	65215068	65219367	2	4283	3020.0475	855.9309	437	SLC1A4		SLC1A4	SLC1A4	0.07239999999999999	437	1
3_MACS_peak_22924_lociStitched	chr9	117349558	117355367	3	4281	3717.76	1509.7591	438	ATP6V1G1	C9orf91	ATP6V1G1	ATP6V1G1	0.09689999999999999	438	1
3_MACS_peak_18558_lociStitched	chr6	16759874	16766918	3	4277	3800.9424	1287.6432	439	ATXN1		ATXN1	ATXN1	0.012800000000000006	439	1
2_MACS_peak_17237_lociStitched	chr5	55287372	55291646	2	4272	3432.4494	847.5342	440	IL6ST		IL6ST	IL6ST	0.09410000000000002	440	1
2_MACS_peak_561_lociStitched	chr1	52336545	52345708	2	4267	5021.324	1575.1197	441	NRD1	MIR761	NRD1	NRD1	0.04039999999999999	441	1
1_MACS_peak_7690_lociStitched	chr16	21528347	21532609	1	4263	4861.2372	1527.927	442	SLC7A5P2	LOC100271836	SLC7A5P2	SLC7A5P2	0.25689999999999996	442	1
3_MACS_peak_2092_lociStitched	chr1	226035194	226044950	3	4262	5168.7288	2734.6068	443	TMEM63A	EPHX1,LEFTY1	EPHX1	LEFTY1	0.08150000000000002	443	1
3_MACS_peak_4450_lociStitched	chr11	118738781	118743876	3	4260	4503.98	1293.6205	444		CXCR5,BCL9L	CXCR5	CXCR5	0.017499999999999988	444	1
2_MACS_peak_13441_lociStitched	chr21	45557579	45566085	2	4260	5114.6578	2180.0878	445	C21orf33	PWP2	C21orf33	C21orf33	0.17969999999999997	445	1
3_MACS_peak_18660_lociStitched	chr6	26532751	26538854	3	4255	4255.0116	1163.8421	446	HMGN4	BTN1A1,HCG11	HMGN4	HMGN4	0.18810000000000002	446	1
1_MACS_peak_7713_lociStitched	chr16	23345286	23349536	1	4251	4841.175	1549.125	447	SCNN1B		SCNN1B	SCNN1B	0.0668	447	1
3_MACS_peak_20269_lociStitched	chr7	45034343	45041558	3	4242	4199.13	1513.707	448	CCM2	CCM2,MYO1G,SNORA9,C7orf40	CCM2	SNORA9	0.04580000000000001	448	1
3_MACS_peak_18871_lociStitched	chr6	36646133	36651317	3	4237	3811.2768	1170.5472	449	CDKN1A		CDKN1A	CDKN1A	0.1266	449	1
2_MACS_peak_15136_lociStitched	chr3	156805429	156811717	2	4226	6076.7232	2773.008	450	LOC100498859,LOC339894		LOC100498859	LOC100498859	0.25040000000000007	450	1
3_MACS_peak_1330_lociStitched	chr1	158979145	158986228	3	4221	5404.329	1925.8677	451	IFI16		IFI16	IFI16	0.0557	451	1
2_MACS_peak_13436_lociStitched	chr21	45201639	45210395	2	4220	5619.6008	2539.24	452	RRP1	CSTB,LOC284837	RRP1	CSTB	0.1182	452	1
2_MACS_peak_20925_lociStitched	chr7	128165507	128172912	2	4218	3866.891	1713.517	453		METTL2B	METTL2B	METTL2B	0.07730000000000001	453	1
1_MACS_peak_13398_lociStitched	chr21	43480999	43485205	1	4207	7832.4132	1979.7642	454	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.08629999999999999	454	1
1_MACS_peak_17165_lociStitched	chr5	42991482	42995682	1	4201	4612.02	1193.22	455		LOC153684,LOC648987,C5orf39	LOC648987	C5orf39	0.4292	455	1
1_MACS_peak_169_lociStitched	chr1	17065464	17069663	1	4200	8108.269	2330.0251	456		ESPNP,MST1P9	ESPNP	MST1P9	0.010999999999999982	456	1
3_MACS_peak_11551_lociStitched	chr2	120763524	120771084	3	4196	3791.34	1282.932	457	EPB41L5		EPB41L5	EPB41L5	0.011300000000000004	457	1
3_MACS_peak_16974_lociStitched	chr5	7868576	7873957	3	4195	3434.6923	1170.3675	458	MTRR,FASTKD3	C5orf49	MTRR	MTRR	0.0783	458	1
2_MACS_peak_18342_lociStitched	chr5	180644664	180651175	2	4193	4733.497	1591.9395	459	TRIM41	TRIM7,SNORD96A,SNORD95,GNB2L1,TRIM52	TRIM41	SNORD95	0.2203	459	1
2_MACS_peak_13434_lociStitched	chr21	45135902	45140160	2	4192	3916.5084	1299.9674	460	PDXK		PDXK	PDXK	0.0403	460	1
3_MACS_peak_16854_lociStitched	chr4	186124445	186130984	3	4192	3185.1469	1399.346	461	KIAA1430	SNX25	KIAA1430	SNX25	0.0627	461	1
3_MACS_peak_18494_lociStitched	chr6	12008317	12013830	3	4190	3408.6879	871.6053	462	HIVEP1		HIVEP1	HIVEP1	0.033299999999999996	462	1
3_MACS_peak_3835_lociStitched	chr11	58340780	58347651	3	4190	5367.6252	1964.4189	463	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.087	463	1
2_MACS_peak_3179_lociStitched	chr10	103574820	103579116	2	4188	2981.424	1011.2784	464	MGEA5	FGF8,NPM3,KCNIP2	MGEA5	MGEA5	0.0678	464	1
4_MACS_peak_12976_lociStitched	chr20	47883659	47895770	4	4187	5239.2186	2304.7233	465	NCRNA00275,SNORD12C,ZNFX1	DDX27,SNORD12B,SNORD12	NCRNA00275	SNORD12	0.1251	465	1
3_MACS_peak_22967_lociStitched	chr9	123690444	123699330	3	4181	3657.4776	1987.7982	466	TRAF1	TRAF1	TRAF1	TRAF1	0.05499999999999999	466	1
3_MACS_peak_7314_lociStitched	chr15	89164112	89171282	3	4174	3455.223	1325.733	467	AEN	MIR1179,MIR7-2,ISG20	AEN	ISG20	0.1826	467	1
2_MACS_peak_5308_lociStitched	chr12	69200868	69205104	2	4172	4441.446	1187.7744	468	MDM2		MDM2	MDM2	0.1486	468	1
3_MACS_peak_10000_lociStitched	chr19	12991467	13002571	3	4171	4983.4752	2024.2592	469	GCDH,DNASE2,KLF1	MAST1,CALR,RTBDN,SYCE2,FARSA	KLF1	CALR	0.2435	469	1
1_MACS_peak_20009_lociStitched	chr7	20368525	20372692	1	4168	3742.3827	931.7412	470	ITGB8		ITGB8	ITGB8	0.058699999999999974	470	1
1_MACS_peak_17410_lociStitched	chr5	75697181	75701345	1	4165	3942.0588	1109.706	471	IQGAP2		IQGAP2	IQGAP2	0.021699999999999997	471	1
