REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_16846_lociStitched	chr19	56145639	56170418	4	13456	19647.2691	335	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	CCDC106	0.8744	335	1
2_MACS_peak_26441_lociStitched	chr5	109023767	109037631	2	13426	38971.704	336	1	MAN2A1		MAN2A1	MAN2A1	0.3269	336	1
3_MACS_peak_18191_lociStitched	chr2	112184542	112199078	3	13405	21600.496	337	1	LOC541471		LOC541471	LOC541471	0.6511	337	1
3_MACS_peak_13913_lociStitched	chr17	46123687	46138315	3	13385	39325.9152	338	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	NFE2L1	1.735	338	1
1_MACS_peak_20135_lociStitched	chr20	43269222	43282603	1	13382	80841.3115	339	1	ADA	LOC79015	ADA	ADA	2.0158	339	1
2_MACS_peak_6536_lociStitched	chr11	118886527	118901749	2	13362	38172.2094	340	1	TRAPPC4,MIR3656,RPS25,SLC37A4	FOXR1,CCDC84,VPS11,RPL23AP64,HYOU1	MIR3656	MIR3656	2.3792	340	1
4_MACS_peak_32703_lociStitched	chr8	126339352	126355626	4	13348	36974.528	341	1	NSMCE2		TRIB1	TRIB1	2.0954	341	1
2_MACS_peak_2286_lociStitched	chr1	165720960	165740266	2	13318	54452.573	342	1	TMCO1		TMCO1	TMCO1	1.5027	342	1
3_MACS_peak_1555_lociStitched	chr1	111170742	111191081	3	13312	59436.6597	343	1		KCNA2,KCNA3	KCNA2	KCNA3	1.1361	343	1
2_MACS_peak_415_lociStitched	chr1	23849062	23866764	2	13290	45711.8746	344	1	E2F2	ASAP3,ID3	E2F2	E2F2	1.3463	344	1
2_MACS_peak_25906_lociStitched	chr5	53813285	53828393	2	13257	39209.7924	345	1	SNX18		SNX18	SNX18	1.0814	345	1
2_MACS_peak_31493_lociStitched	chr8	22296702	22315412	2	13255	54825.913	346	1	PPP3CC		PPP3CC	PPP3CC	0.5813	346	1
2_MACS_peak_19244_lociStitched	chr2	219080861	219096867	2	13203	41167.432	347	1	ARPC2	GPBAR1,PNKD,CXCR1,AAMP	ARPC2	ARPC2	0.9625	347	1
3_MACS_peak_12421_lociStitched	chr16	56964565	56979684	3	13154	30156.3574	348	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.414	348	1
3_MACS_peak_9842_lociStitched	chr14	74223135	74241907	3	13153	19780.0564	349	1	C14orf43	PNMA1	C14orf43	C14orf43	0.638	349	1
3_MACS_peak_7536_lociStitched	chr12	57022008	57040853	3	13132	37693.769	350	1	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.3985	350	1
1_MACS_peak_34893_lociStitched	chrX	48767962	48781077	1	13116	28161.8395	351	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	1.7787	351	1
4_MACS_peak_12197_lociStitched	chr16	30344764	30368073	4	13099	31814.4541	352	1	LOC595101,CD2BP2	MYLPF,ZNF48,TBC1D10B,SEPT1	LOC595101	MYLPF	1.0841	352	1
2_MACS_peak_30037_lociStitched	chr7	55574288	55588871	2	13088	21483.6756	353	1	VOPP1		VOPP1	VOPP1	0.6296	353	1
5_MACS_peak_5176_lociStitched	chr11	10323879	10344968	5	13073	21202.8806	354	1	ADM	SBF2	ADM	ADM	1.4438	354	1
3_MACS_peak_20142_lociStitched	chr20	43586908	43608642	3	13064	40746.9032	355	1	STK4,TOMM34	PABPC1L	STK4	STK4	0.4632	355	1
3_MACS_peak_27700_lociStitched	chr6	26020382	26035532	3	13061	33264.855	356	1	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H4B	1.4389	356	1
1_MACS_peak_13672_lociStitched	chr17	37924733	37937774	1	13042	28227.2445	357	1	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.3939	357	1
2_MACS_peak_6021_lociStitched	chr11	72850484	72869475	2	13029	46598.2167	358	1	FCHSD2		FCHSD2	FCHSD2	0.142	358	1
2_MACS_peak_34296_lociStitched	chr9	132244341	132261098	2	13015	56300.1686	359	1			C9orf50	C9orf50	NONE	359	1
5_MACS_peak_23623_lociStitched	chr3	183220774	183246743	5	13001	25026.3253	360	1	KLHL6		KLHL6	KLHL6	0.4655	360	1
2_MACS_peak_799_lociStitched	chr1	40239261	40257023	2	12998	49246.9212	361	1	BMP8B	PPIE,OXCT2	BMP8B	BMP8B	1.2942	361	1
3_MACS_peak_34227_lociStitched	chr9	130531969	130551314	3	12994	43201.254	362	1	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	TOR2A	0.4139	362	1
4_MACS_peak_29591_lociStitched	chr7	22474085	22489121	4	12983	18966.4104	363	1	MGC87042		MGC87042	MGC87042	0.36	363	1
2_MACS_peak_8044_lociStitched	chr12	108953242	108970574	2	12916	23112.222	364	1	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	1.3367	364	1
5_MACS_peak_12413_lociStitched	chr16	56885566	56905804	5	12882	34694.0034	365	1	MIR138-2,SLC12A3		MIR138-2	MIR138-2	2.9115	365	1
4_MACS_peak_1961_lociStitched	chr1	153747480	153770455	4	12869	47932.7425	366	1	SLC27A3	INTS3	SLC27A3	SLC27A3	1.1827	366	1
3_MACS_peak_2072_lociStitched	chr1	156209060	156231437	3	12845	38401.1697	367	1	PMF1,BGLAP,PAQR6,SMG5	SLC25A44,TMEM79,C1orf85,VHLL	PAQR6	PAQR6	2.3776	367	1
5_MACS_peak_2129_lociStitched	chr1	157798740	157827270	5	12751	14732.892	368	1	CD5L	FCRL1	CD5L	FCRL1	0.5979	368	1
1_MACS_peak_13835_lociStitched	chr17	43296399	43309147	1	12749	73038.3912	369	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.2775	369	1
1_MACS_peak_18584_lociStitched	chr2	158289297	158302041	1	12745	31206.2328	370	1	CYTIP		CYTIP	CYTIP	0.8596	370	1
4_MACS_peak_5021_lociStitched	chr11	788976	812222	4	12739	30324.407	371	1	RPLP2,SNORA52,CEND1,SLC25A22,LRDD	TALDO1,PNPLA2,EFCAB4A,CD151,TSPAN4,PDDC1,POLR2L	SLC25A22	SLC25A22	0.8473	371	1
1_MACS_peak_7396_lociStitched	chr12	51711781	51724503	1	12723	47595.5464	372	1	BIN2,CELA1	SMAGP	BIN2	BIN2	0.9351	372	1
3_MACS_peak_20195_lociStitched	chr20	45976853	45990285	3	12712	52199.4384	373	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5084	373	1
3_MACS_peak_23779_lociStitched	chr3	195258300	195273937	3	12700	24382.7741	374	1	PPP1R2	APOD	PPP1R2	PPP1R2	0.674	374	1
4_MACS_peak_6485_lociStitched	chr11	115629877	115650409	4	12638	20353.3716	375	1	LOC283143		LOC283143	LOC283143	0.4941	375	1
3_MACS_peak_16673_lociStitched	chr19	50165632	50184776	3	12633	34464.9432	376	1	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	PRMT1	RRAS	1.0392	376	1
3_MACS_peak_23364_lociStitched	chr3	156263952	156287168	3	12623	17398.0704	377	1	SSR3		SSR3	SSR3	0.6868	377	1
3_MACS_peak_11335_lociStitched	chr15	86231598	86251644	3	12598	26755.3962	378	1	AKAP13		AKAP13	AKAP13	0.185	378	1
4_MACS_peak_9256_lociStitched	chr13	114863781	114877933	4	12594	40750.684	379	1	RASA3		RASA3	RASA3	0.8175	379	1
3_MACS_peak_18154_lociStitched	chr2	109828846	109843799	3	12576	25360.288	380	1	SH3RF3		MIR4265	MIR4265	0.2139	380	1
2_MACS_peak_20291_lociStitched	chr20	50015832	50033864	2	12556	40665.7664	381	1	NFATC2	MIR3194	MIR3194	MIR3194	0.0742	381	1
4_MACS_peak_15429_lociStitched	chr19	2454762	2480523	4	12551	46547.5509	382	1	GADD45B,LMNB2	TIMM13	GADD45B	GADD45B	2.7884	382	1
1_MACS_peak_17444_lociStitched	chr2	43444405	43456937	1	12533	46451.1112	383	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	3.281	383	1
5_MACS_peak_12581_lociStitched	chr16	68270682	68300035	5	12532	23993.1422	384	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	PLA2G15	PLA2G15	0.8362	384	1
2_MACS_peak_13376_lociStitched	chr17	20935460	20948278	2	12451	30852.926	385	1	USP22		USP22	USP22	0.6434	385	1
5_MACS_peak_17239_lociStitched	chr2	27292747	27310989	5	12433	19334.6958	386	1	AGBL5,EMILIN1,KHK,OST4	TMEM214,AGBL5,ABHD1,CGREF1,PREB	EMILIN1	EMILIN1	0.7602	386	1
3_MACS_peak_584_lociStitched	chr1	28558651	28577946	3	12418	33498.0495	387	1	ATPIF1,DNAJC8	SESN2,PTAFR	ATPIF1	ATPIF1	0.6926	387	1
3_MACS_peak_34168_lociStitched	chr9	127615015	127637384	3	12413	42261.7517	388	1	WDR38,ARPC5L,RPL35		RPL35	RPL35	0.5938	388	1
4_MACS_peak_31374_lociStitched	chr8	11717569	11740331	4	12384	27680.8682	389	1	CTSB		CTSB	CTSB	0.3173	389	1
3_MACS_peak_76_lociStitched	chr1	2470749	2489202	3	12378	36647.658	390	1	TNFRSF14,LOC115110	C1orf93,PANK4,HES5	LOC115110	LOC115110	2.0803	390	1
2_MACS_peak_28223_lociStitched	chr6	45671642	45684986	2	12373	28505.4528	391	1			RUNX2	RUNX2	1.0923	391	1
6_MACS_peak_13585_lociStitched	chr17	34409157	34431729	6	12364	26467.9272	392	1	CCL4,CCL3	CCL18	CCL3	CCL3	1.8449	392	1
4_MACS_peak_21420_lociStitched	chr22	39911215	39929543	4	12324	27328.8808	393	1	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.2473	393	1
1_MACS_peak_8239_lociStitched	chr12	120628210	120640531	1	12322	26355.8511	394	1	GCN1L1,RPLP0	PXN	GCN1L1	GCN1L1	0.4467	394	1
1_MACS_peak_23853_lociStitched	chr4	47823	60139	1	12317	22475.4684	395	1	ZNF718,ZNF595		ZNF718	ZNF718	0.258	395	1
5_MACS_peak_7848_lociStitched	chr12	92578092	92605412	5	12254	29970.04	396	1		BTG1	BTG1	BTG1	1.491	396	1
3_MACS_peak_12191_lociStitched	chr16	30193186	30212734	3	12238	45853.7436	397	1	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B	LOC613037	CORO1A	CORO1A	2.4659	397	1
2_MACS_peak_23118_lociStitched	chr3	133290036	133305403	2	12227	32024.828	398	1	CDV3		CDV3	CDV3	1.2547	398	1
2_MACS_peak_28874_lociStitched	chr6	119661715	119674217	2	12200	25046.5068	399	1	MAN1A1		MAN1A1	MAN1A1	0.23	399	1
3_MACS_peak_20731_lociStitched	chr21	36414498	36431166	3	12200	22731.8184	400	1	RUNX1	C21orf96	RUNX1	C21orf96	0.3707	400	1
1_MACS_peak_30353_lociStitched	chr7	84008971	84021156	1	12186	14888.8515	401	1			SEMA3A	SEMA3A	NONE	401	1
1_MACS_peak_35662_lociStitched	chrX	152981374	152993558	1	12185	30792.6232	402	1	ABCD1,BCAP31	SLC6A8,PLXNB3,PNCK	BCAP31	BCAP31	0.9686	402	1
3_MACS_peak_30636_lociStitched	chr7	104571617	104587331	3	12181	37460.6046	403	1		LOC723809	LOC723809	LOC723809	0.6006	403	1
5_MACS_peak_32947_lociStitched	chr8	145732057	145755146	5	12157	25455.6225	404	1	GPT,MFSD3,LRRC14,RECQL4,LRRC24,MGC70857,ARHGAP39	KIFC2,PPP1R16A,CYHR1,FOXH1	LRRC14	LRRC14	0.7617	404	1
1_MACS_peak_5323_lociStitched	chr11	23587513	23599662	1	12150	10818.6845	405	1			LOC100500938	LOC100500938	NONE	405	1
5_MACS_peak_11094_lociStitched	chr15	74273785	74290192	5	12114	20103.4971	406	1	PML,STOML1		STOML1	STOML1	1.0476	406	1
1_MACS_peak_20571_lociStitched	chr21	19182743	19194842	1	12100	35097.9891	407	1	C21orf91		C21orf91	C21orf91	2.9221	407	1
1_MACS_peak_26895_lociStitched	chr5	142774073	142786167	1	12095	39575.1962	408	1	NR3C1		NR3C1	NR3C1	0.38	408	1
2_MACS_peak_17507_lociStitched	chr2	47534046	47550878	2	12063	37959.5264	409	1		EPCAM	EPCAM	EPCAM	0.0468	409	1
2_MACS_peak_19521_lociStitched	chr2	241498215	241510712	2	12057	50892.7828	410	1	DUSP28,RNPEPL1	CAPN10,GPR35,ANKMY1	RNPEPL1	RNPEPL1	2.0428	410	1
5_MACS_peak_9116_lociStitched	chr13	99127880	99145272	5	12057	17805.9296	411	1	STK24		STK24	STK24	0.2983	411	1
5_MACS_peak_21619_lociStitched	chr22	50741012	50756551	5	12056	31317.3006	412	1	PLXNB2,FAM116B	PPP6R2,MAPK12,MAPK11	PLXNB2	PLXNB2	0.5374	412	1
3_MACS_peak_21315_lociStitched	chr22	37610891	37629014	3	12043	24268.5093	413	1	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.3956	413	1
4_MACS_peak_26249_lociStitched	chr5	87954832	87976718	4	12033	22288.7024	414	1	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.3032	414	1
4_MACS_peak_1016_lociStitched	chr1	52561516	52584834	4	12026	14119.049	415	1		BTF3L4,ZFYVE9,TXNDC12	ZFYVE9	TXNDC12	0.7038	415	1
5_MACS_peak_9894_lociStitched	chr14	77487130	77507508	5	12025	16575.4652	416	1	C14orf4		C14orf4	C14orf4	0.918	416	1
1_MACS_peak_1342_lociStitched	chr1	87791639	87803642	1	12004	24085.2198	417	1	LMO4		LMO4	LMO4	0.8254	417	1
4_MACS_peak_14418_lociStitched	chr17	75130795	75144409	4	11995	28123.8012	418	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	0.8368	418	1
1_MACS_peak_14391_lociStitched	chr17	74257428	74269412	1	11985	53516.9488	419	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	3.3624	419	1
4_MACS_peak_8873_lociStitched	chr13	53424015	53447112	4	11978	29166.8916	420	1		MIR759,PCDH8	PCDH8	PCDH8	0.7538	420	1
3_MACS_peak_32149_lociStitched	chr8	80996341	81018137	3	11962	31828.6988	421	1	TPD52	TPD52	TPD52	TPD52	1.1102	421	1
2_MACS_peak_11884_lociStitched	chr16	14394763	14408710	2	11940	55398.8787	422	1	MIR193B,MIR365-1		MIR365-1	MIR365-1	3.8662	422	1
1_MACS_peak_10272_lociStitched	chr14	106385262	106397195	1	11934	19121.4392	423	1	KIAA0125	ADAM6	KIAA0125	KIAA0125	0.8009	423	1
3_MACS_peak_22969_lociStitched	chr3	124858067	124874722	3	11915	23570.156	424	1	SLC12A8		SLC12A8	SLC12A8	0.2784	424	1
5_MACS_peak_14457_lociStitched	chr17	76337092	76357311	5	11894	23239.7186	425	1	SOCS3	PGS1	SOCS3	SOCS3	1.1232	425	1
2_MACS_peak_13055_lociStitched	chr17	4267887	4281897	2	11866	34838.667	426	1	UBE2G1		UBE2G1	UBE2G1	0.1797	426	1
2_MACS_peak_3929_lociStitched	chr10	43889978	43906035	2	11861	16774.7479	427	1	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.3793	427	1
4_MACS_peak_13951_lociStitched	chr17	47433854	47455523	4	11861	22592.0994	428	1	ZNF652	PHB	ZNF652	ZNF652	0.3848	428	1
2_MACS_peak_25715_lociStitched	chr5	32205235	32219731	2	11858	42077.5392	429	1		GOLPH3	GOLPH3	GOLPH3	0.759	429	1
5_MACS_peak_17392_lociStitched	chr2	38927809	38953565	5	11857	21220.3684	430	1	GALM	SRSF7	SRSF7	SRSF7	0.8542	430	1
2_MACS_peak_7980_lociStitched	chr12	104318560	104330477	2	11833	26356.8289	431	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	MIR3652	MIR3652	2.511	431	1
5_MACS_peak_20892_lociStitched	chr21	46512549	46533384	5	11830	23676.894	432	1	ADARB1	C21orf122	ADARB1	C21orf122	0.4047	432	1
1_MACS_peak_20381_lociStitched	chr20	55963937	55975750	1	11814	47871.0012	433	1	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	1.7745	433	1
4_MACS_peak_14285_lociStitched	chr17	70583788	70602251	4	11796	21021.9718	434	1	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.0996	434	1
2_MACS_peak_17073_lociStitched	chr2	11637129	11648970	2	11785	29364.4959	435	1		GREB1,E2F6	GREB1	E2F6	0.2036	435	1
4_MACS_peak_15396_lociStitched	chr19	1847067	1865779	4	11772	38413.8648	436	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.8172	436	1
1_MACS_peak_11556_lociStitched	chr15	101782165	101793918	1	11754	30221.6642	437	1	CHSY1	SELS,SNRPA1	CHSY1	CHSY1	0.988	437	1
2_MACS_peak_17363_lociStitched	chr2	37872038	37884723	2	11729	23564.9245	438	1	CDC42EP3		CDC42EP3	CDC42EP3	1.0436	438	1
3_MACS_peak_2153_lociStitched	chr1	159878921	159896599	3	11715	32138.604	439	1	TAGLN2	VSIG8,CCDC19,IGSF9,SLAMF9	TAGLN2	TAGLN2	1.4668	439	1
3_MACS_peak_27710_lociStitched	chr6	26155173	26174669	3	11712	28781.9448	440	1	HIST1H1E,HIST1H2BD	HIST1H2AC,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H2AE,HIST1H1T,HIST1H2BC,HIST1H4D,HIST1H2AD,HIST1H3D,HIST1H2BG	HIST1H2BD	HIST1H2BF	2.5337	440	1
1_MACS_peak_7823_lociStitched	chr12	89737514	89749223	1	11710	62476.8822	441	1	DUSP6		DUSP6	DUSP6	4.3426	441	1
2_MACS_peak_26332_lociStitched	chr5	95251665	95268288	2	11687	34359.741	442	1	ELL2		ELL2	ELL2	0.7074	442	1
2_MACS_peak_27280_lociStitched	chr5	176726429	176740750	2	11684	22323.5748	443	1	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	PRELID1	PRELID1	1.3866	443	1
3_MACS_peak_31554_lociStitched	chr8	26148180	26170682	3	11656	27510.9452	444	1	PPP2R2A		PPP2R2A	PPP2R2A	0.4233	444	1
2_MACS_peak_12520_lociStitched	chr16	66549120	66561479	2	11647	45410.6737	445	1	TK2	CKLF,CMTM1	TK2	TK2	1.2214	445	1
4_MACS_peak_27637_lociStitched	chr6	20400923	20417341	4	11645	28312.841	446	1	E2F3		E2F3	E2F3	0.3243	446	1
2_MACS_peak_17078_lociStitched	chr2	11883249	11895436	2	11644	36643.8716	447	1	LPIN1		LPIN1	LPIN1	0.4857	447	1
2_MACS_peak_11554_lociStitched	chr15	101735300	101751191	2	11631	49800.8049	448	1	CHSY1		CHSY1	CHSY1	0.988	448	1
3_MACS_peak_20684_lociStitched	chr21	34574199	34591797	3	11622	28547.4756	449	1		IFNAR2,IL10RB,C21orf54	IFNAR2	IFNAR2	1.3558	449	1
5_MACS_peak_15419_lociStitched	chr19	2253865	2274444	5	11568	37182.1372	450	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	2.0078	450	1
4_MACS_peak_19871_lociStitched	chr20	31254593	31270248	4	11554	38226.379	451	1		C20orf203	C20orf203	C20orf203	0.1801	451	1
3_MACS_peak_18941_lociStitched	chr2	191321840	191335479	3	11527	27812.6488	452	1	MFSD6		MFSD6	MFSD6	0.4318	452	1
3_MACS_peak_29515_lociStitched	chr7	7999246	8016736	3	11525	16477.329	453	1	GLCCI1		GLCCI1	GLCCI1	0.1588	453	1
1_MACS_peak_8046_lociStitched	chr12	109020354	109031867	1	11514	46002.4941	454	1	SELPLG	TMEM119	SELPLG	SELPLG	2.1672	454	1
3_MACS_peak_13892_lociStitched	chr17	45679853	45693960	3	11504	13315.5973	455	1	NPEPPS	KPNB1	KPNB1	KPNB1	0.5471	455	1
3_MACS_peak_24549_lociStitched	chr4	77609187	77624790	3	11500	22234.275	456	1	SHROOM3		ANKRD56	ANKRD56	NONE	456	1
2_MACS_peak_33971_lociStitched	chr9	112862241	112874163	2	11495	22680.4128	457	1	PALM2-AKAP2,AKAP2	AKAP2	AKAP2	AKAP2	0.8713	457	1
2_MACS_peak_12632_lociStitched	chr16	70461269	70474364	2	11479	25168.59	458	1	ST3GAL2	FUK	ST3GAL2	ST3GAL2	0.7966	458	1
14_MACS_peak_24984_lociStitched	chr4	132643009	132683680	14	11471	7328.9142	459	1				NONE	NONE	459	1
5_MACS_peak_14589_lociStitched	chr17	80654835	80675757	5	11469	21202.3548	460	1	FN3KRP,RAB40B	FN3K,TBCD,WDR45L	RAB40B	FN3K	0.1621	460	1
2_MACS_peak_2769_lociStitched	chr1	203721064	203738385	2	11455	34279.9911	461	1	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	LAX1	1.0779	461	1
3_MACS_peak_21771_lociStitched	chr3	13366605	13378297	3	11451	28611.4932	462	1	NUP210		NUP210	NUP210	0.4207	462	1
3_MACS_peak_2535_lociStitched	chr1	184451086	184465982	3	11444	23215.416	463	1	C1orf21		C1orf21	C1orf21	0.3693	463	1
4_MACS_peak_28696_lociStitched	chr6	106576971	106595943	4	11429	41431.0536	464	1		PRDM1	PRDM1	PRDM1	4.0965	464	1
1_MACS_peak_20317_lociStitched	chr20	52267562	52278985	1	11424	44532.5655	465	1			ZNF217	ZNF217	1.9378	465	1
1_MACS_peak_32460_lociStitched	chr8	103817563	103828978	1	11416	53478.1335	466	1		AZIN1	AZIN1	AZIN1	0.4152	466	1
2_MACS_peak_7825_lociStitched	chr12	89854835	89870494	2	11406	20546.1739	467	1	POC1B	GALNT4	GALNT4	GALNT4	1.1322	467	1
6_MACS_peak_9717_lociStitched	chr14	65660557	65678771	6	11406	11254.4306	468	1			MAX	MAX	NONE	468	1
4_MACS_peak_11413_lociStitched	chr15	90721017	90736588	4	11381	35394.4401	469	1	SEMA4B	SEMA4B,C15orf58,CIB1	SEMA4B	SEMA4B	0.7809	469	1
5_MACS_peak_2032_lociStitched	chr1	155210097	155233089	5	11367	31717.464	470	1	GBA,FAM189B,SCAMP3,CLK2	MIR92B,MTX1,HCN3,FDPS,MUC1,THBS3,GBAP1,PKLR	FAM189B	FDPS	1.7536	470	1
2_MACS_peak_32386_lociStitched	chr8	101309495	101323752	2	11364	27551.6525	471	1	RNF19A		RNF19A	RNF19A	0.6649	471	1
4_MACS_peak_5912_lociStitched	chr11	67187482	67212956	4	11364	30887.225	472	1	CARNS1,RPS6KB2,PTPRCAP,CORO1B	RAD9A,TBC1D10C,CABP4,AIP,CLCF1,PPP1CA,GPR152,TMEM134	RPS6KB2	RPS6KB2	1.2319	472	1
2_MACS_peak_14405_lociStitched	chr17	74720673	74735953	2	11361	33282.896	473	1	C17orf95,MFSD11,JMJD6,SRSF2,MIR636	MXRA7	MIR636	MIR636	2.0543	473	1
1_MACS_peak_23003_lociStitched	chr3	126626567	126637924	1	11358	26165.3923	474	1	CHCHD6		PLXNA1	PLXNA1	NONE	474	1
4_MACS_peak_20332_lociStitched	chr20	52545735	52566781	4	11352	16184.374	475	1	BCAS1		SUMO1P1	SUMO1P1	0.3695	475	1
4_MACS_peak_917_lociStitched	chr1	45264717	45286598	4	11347	19423.7637	476	1	PLK3,BTBD19,TCTEX1D4,PTCH2	RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,BEST4,PTCH2	BTBD19	SNORD38B	1.2036	476	1
2_MACS_peak_20314_lociStitched	chr20	52224973	52241571	2	11307	49301.0394	477	1		ZNF217	ZNF217	ZNF217	1.9378	477	1
5_MACS_peak_21892_lociStitched	chr3	25895905	25915148	5	11302	16042.8891	478	1	LOC285326		LOC285326	LOC285326	0.664	478	1
4_MACS_peak_2443_lociStitched	chr1	179048297	179061721	4	11276	35522.5888	479	1	TOR3A		TOR3A	TOR3A	1.5332	479	1
5_MACS_peak_21384_lociStitched	chr22	39409278	39426582	5	11274	24929.8728	480	1	APOBEC3C,APOBEC3D	APOBEC3B,APOBEC3F,APOBEC3G	APOBEC3D	APOBEC3D	0.7812	480	1
2_MACS_peak_28016_lociStitched	chr6	35264723	35280160	2	11259	30735.067	481	1	DEF6	ZNF76,PPARD	DEF6	DEF6	0.9382	481	1
6_MACS_peak_31349_lociStitched	chr8	11271222	11298658	6	11251	23981.8076	482	1	C8orf12,FAM167A		FAM167A	FAM167A	0.6653	482	1
1_MACS_peak_4344_lociStitched	chr10	89619845	89631094	1	11250	35165.4989	483	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.3854	483	1
2_MACS_peak_2126_lociStitched	chr1	157741349	157752940	2	11236	13548.7199	484	1	FCRL2	FCRL1	FCRL2	FCRL1	0.5979	484	1
5_MACS_peak_33326_lociStitched	chr9	35825923	35849959	5	11234	18267.36	485	1	TMEM8B,C9orf128	NPR2,LOC92973,SPAG8,HINT2,OR13J1	TMEM8B	HINT2	0.7294	485	1
5_MACS_peak_4482_lociStitched	chr10	99159348	99189033	5	11221	14521.902	486	1	PGAM1,RRP12	ZDHHC16,EXOSC1	PGAM1	PGAM1	0.4868	486	1
3_MACS_peak_28688_lociStitched	chr6	106227841	106242765	3	11218	17783.4384	487	1			PRDM1	PRDM1	4.0965	487	1
5_MACS_peak_25938_lociStitched	chr5	55437130	55453064	5	11217	14323.0726	488	1	ANKRD55		ANKRD55	ANKRD55	0.1674	488	1
4_MACS_peak_20205_lociStitched	chr20	46114386	46132928	4	11201	26068.1978	489	1	NCOA3		NCOA3	NCOA3	0.2161	489	1
1_MACS_peak_16687_lociStitched	chr19	50423759	50434953	1	11195	36700.6484	490	1	ATF5,NUP62,IL4I1	TBC1D17,SIGLEC16,AKT1S1,IL4I1,SIGLEC11	ATF5	ATF5	2.01	490	1
2_MACS_peak_16457_lociStitched	chr19	44256886	44272473	2	11185	35586.6797	491	1	C19orf61,KCNN4	IRGC,LYPD5	C19orf61	C19orf61	0.4974	491	1
3_MACS_peak_745_lociStitched	chr1	38140540	38159458	3	11172	21524.9004	492	1	CDCA8,C1orf109	RSPO1	C1orf109	C1orf109	0.8731	492	1
1_MACS_peak_20034_lociStitched	chr20	36906753	36917912	1	11160	44832.3984	493	1		BPI,KIAA1755	BPI	BPI	0.3283	493	1
5_MACS_peak_15838_lociStitched	chr19	13943896	13961882	5	11129	20281.0136	494	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	0.601	494	1
3_MACS_peak_14912_lociStitched	chr18	34966004	34984363	3	11109	15998.0326	495	1	CELF4		CELF4	CELF4	0.225	495	1
1_MACS_peak_27138_lociStitched	chr5	162736731	162747829	1	11099	31857.9188	496	1			CCNG1	CCNG1	NONE	496	1
3_MACS_peak_1900_lociStitched	chr1	150967720	150982980	3	11070	28649.124	497	1	ANXA9,PRUNE,FAM63A	BNIPL,C1orf56,MLLT11,LASS2,CDC42SE1	FAM63A	MLLT11	2.0071	497	1
5_MACS_peak_27969_lociStitched	chr6	33537838	33565546	5	11068	23590.5912	498	1	GGNBP1,BAK1,C6orf227	ITPR3	GGNBP1	GGNBP1	0.7876	498	1
