REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
1_MACS_peak_3967_lociStitched	chr11	60602310	60612968	1	10659	16482.597	2216.864	361	CCDC86	MS4A10,ZP1,GPR44	CCDC86	CCDC86	0.6910000000000001	361	1
3_MACS_peak_1293_lociStitched	chr1	149203734	149225536	3	7813	37534.3232	6165.6056	364			LOC388692	LOC388692	NONE	364	1
2_MACS_peak_21928_lociStitched	chr8	1990820	2000106	2	7541	33886.4712	1746.6966	366	MYOM2		MYOM2	MYOM2	1.2162	366	1
3_MACS_peak_13021_lociStitched	chr2	157188112	157207822	3	8772	29117.583	2400.678	370	NR4A2		NR4A2	NR4A2	0.6926000000000001	370	1
3_MACS_peak_11753_lociStitched	chr19	56329013	56351158	3	9924	22561.326	3171.164	371	NLRP4,NLRP11		NLRP4	NLRP4	0.06029999999999999	371	1
5_MACS_peak_11746_lociStitched	chr19	56145818	56167788	5	10284	19575.27	3299.894	372	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	ZNF524	0.7738999999999999	372	1
2_MACS_peak_1458_lociStitched	chr1	155939639	155952093	2	9946	22667.5254	3560.5986	373	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	0.6628999999999999	373	1
2_MACS_peak_22793_lociStitched	chr8	137189365	137201300	2	10435	16623.068	2221.1035	374			KHDRBS3	KHDRBS3	NONE	374	1
2_MACS_peak_12584_lociStitched	chr2	89049534	89066032	2	9251	26373.7028	2893.7492	376	RPIA,ANKRD36BP2		ANKRD36BP2	NONE	NONE	376	1
4_MACS_peak_11233_lociStitched	chr19	19050260	19061773	4	10052	19456.97	1852.4417	378	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	DDX49	0.2361	378	1
3_MACS_peak_19705_lociStitched	chr6	36633965	36652015	3	10055	20141.995	2888	380	CDKN1A	MIR3925	CDKN1A	CDKN1A	0.7634	380	1
2_MACS_peak_16855_lociStitched	chr3	196358102	196371056	2	9713	23002.4178	3242.3862	383	LRRC33		LRRC33	LRRC33	0.3438	383	1
2_MACS_peak_1410_lociStitched	chr1	154755459	154765930	2	9611	23485.4059	3019.8364	384	KCNN3		KCNN3	KCNN3	0.2893	384	1
5_MACS_peak_4848_lociStitched	chr12	6552073	6580881	5	10243	19606.7248	4701.4656	385	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	TAPBPL	0.6006	385	1
1_MACS_peak_7894_lociStitched	chr15	90637292	90646631	1	9340	24107.6946	1959.3222	386	IDH2		IDH2	IDH2	0.7852	386	1
1_MACS_peak_19819_lociStitched	chr6	45386606	45395592	1	8987	25547.198	1346.1028	388	RUNX2	SUPT3H	RUNX2	RUNX2	0.1124	388	1
3_MACS_peak_10813_lociStitched	chr19	2254727	2271936	3	9796	22564.4408	3920.2102	389	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	1.3212	389	1
2_MACS_peak_14890_lociStitched	chr22	26974927	26992414	2	10152	18114.7833	2976.2874	393	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	0.8587	393	1
2_MACS_peak_22202_lociStitched	chr8	33409809	33425399	2	8802	27340.183	2658.095	398	RNF122	C8orf41,DUSP26	RNF122	RNF122	0.8637999999999999	398	1
4_MACS_peak_9259_lociStitched	chr17	20204821	20221701	4	10159	17045.424	2337.88	399	SPECC1	CCDC144C	CCDC144C	CCDC144C	0.009900000000000006	399	1
3_MACS_peak_5475_lociStitched	chr12	68751982	68770291	3	9994	19427.6799	3185.766	400		MDM1	MDM1	NONE	NONE	400	1
4_MACS_peak_18464_lociStitched	chr5	87954687	87976874	4	9434	23400.6289	3470.0468	403	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.1073	403	1
4_MACS_peak_9082_lociStitched	chr17	7136719	7156659	4	9859	19453.464	3060.79	404	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	GABARAP	0.6496000000000001	404	1
4_MACS_peak_10771_lociStitched	chr19	1258577	1277309	4	9513	23396.268	4169.7432	405	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	1.0285000000000002	405	1
4_MACS_peak_12315_lociStitched	chr2	64430679	64456338	4	9973	18864.4968	3992.5404	408	LOC150992		LOC150992	LOC150992	0.11679999999999999	408	1
3_MACS_peak_4199_lociStitched	chr11	67760492	67778652	3	9819	19427.568	3326.912	411	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	UNC93B1	0.5061	411	1
2_MACS_peak_22117_lociStitched	chr8	26428318	26437451	2	9052	23500.1223	1769.9754	413	DPYSL2		DPYSL2	DPYSL2	0.12489999999999998	413	1
3_MACS_peak_1865_lociStitched	chr1	200850717	200863738	3	8500	28044.6298	3173.2177	414	C1orf106	GPR25,C1orf106	C1orf106	C1orf106	0.7017	414	1
4_MACS_peak_9240_lociStitched	chr17	19204458	19221496	4	9994	16595.012	2601.7026	415	EPN2	MIR1180,B9D1	MIR1180	B9D1	0.05990000000000001	415	1
2_MACS_peak_2728_lociStitched	chr10	43890527	43906028	2	8587	26734.5747	2483.2602	416	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.45270000000000005	416	1
3_MACS_peak_14257_lociStitched	chr20	50015694	50032796	3	9853	17556.9132	2437.035	417	NFATC2	MIR3194	MIR3194	NONE	NONE	417	1
2_MACS_peak_16773_lociStitched	chr3	186780474	186792458	2	8130	30039.0944	3594.0016	418	ST6GAL1		ST6GAL1	ST6GAL1	0.3211	418	1
3_MACS_peak_3272_lociStitched	chr10	104401258	104421929	3	9741	19374.9283	3266.018	419	TRIM8		TRIM8	TRIM8	0.6738999999999999	419	1
3_MACS_peak_16563_lociStitched	chr3	169656776	169668117	3	9898	16988.818	2431.5104	420	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	0.5823	420	1
2_MACS_peak_10172_lociStitched	chr17	78873568	78887096	2	8128	28602.2504	2206.4168	421	RPTOR		CHMP6	CHMP6	NONE	421	1
3_MACS_peak_4689_lociStitched	chr11	126173106	126189657	3	9913	17158.4217	3010.6269	424	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	DCPS	0.24760000000000001	424	1
2_MACS_peak_4558_lociStitched	chr11	115125572	115137344	2	9037	23038.9812	1810.5336	426	CADM1		CADM1	CADM1	0.2196	426	1
3_MACS_peak_6428_lociStitched	chr13	114581687	114594855	3	9443	20785.688	2446.6144	427	FLJ44054	GAS6	FLJ44054	GAS6	0.9634	427	1
3_MACS_peak_19766_lociStitched	chr6	42737863	42752332	3	8047	28337.5365	1947.5274	430		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.4383	430	1
3_MACS_peak_10987_lociStitched	chr19	10329576	10347981	3	9684	18570.645	3025.782	433	MIR4322,S1PR2	MRPL4,ICAM1,ICAM4,DNMT1	MIR4322	MIR4322	0.4132	433	1
1_MACS_peak_7623_lociStitched	chr15	70387110	70396876	1	9767	16066.0466	1611.39	434	TLE3	MIR629	TLE3	TLE3	0.2223	434	1
2_MACS_peak_21843_lociStitched	chr7	150100720	150113895	2	7481	31680.605	3301.655	435	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	2.8179	435	1
3_MACS_peak_19721_lociStitched	chr6	37121702	37140496	3	9601	18156.8834	2625.5218	441	PIM1		PIM1	PIM1	0.6059	441	1
3_MACS_peak_14839_lociStitched	chr22	23477837	23488756	3	9353	19813.6174	2344.3093	443	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.22329999999999997	443	1
4_MACS_peak_18919_lociStitched	chr5	150459419	150475540	4	9640	17475.164	2659.965	444	TNIP1	ANXA6	TNIP1	TNIP1	0.12929999999999997	444	1
3_MACS_peak_16231_lociStitched	chr3	125548617	125560883	3	9244	20502.619	2665.4018	450		MIR548I1	MIR548I1	MIR548I1	0.002799999999999997	450	1
1_MACS_peak_2671_lociStitched	chr10	30989336	30996986	1	7651	28588.05	1608.795	451			LYZL2	LYZL2	NONE	451	1
2_MACS_peak_1366_lociStitched	chr1	152006491	152021827	2	9172	22395.1608	4031.8344	452	S100A11	S100A10,TCHHL1	S100A11	S100A11	0.8627999999999999	452	1
2_MACS_peak_23777_lociStitched	chr9	132646226	132657745	2	8103	26816.232	2029.6478	453	FNBP1	USP20,C9orf78	USP20	USP20	0.185	453	1
2_MACS_peak_9025_lociStitched	chr17	4268258	4281180	2	9357	18689.0886	2121.7924	454	UBE2G1		UBE2G1	NONE	NONE	454	1
2_MACS_peak_8909_lociStitched	chr16	89033345	89046106	2	8863	21124.5594	1134.4529	457	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.1668	457	1
2_MACS_peak_12956_lociStitched	chr2	137132867	137142820	2	8162	26084.8224	2058.2804	458			CXCR4	CXCR4	NONE	458	1
3_MACS_peak_10114_lociStitched	chr17	76139310	76152500	3	8934	21647.428	2254.171	460	C17orf99	TMC8,SYNGR2,AFMID,TMC6,TK1	C17orf99	SYNGR2	0.9212	460	1
2_MACS_peak_20137_lociStitched	chr6	106585373	106595808	2	9028	20778.172	2171.5235	461		PRDM1	PRDM1	PRDM1	1.7157	461	1
3_MACS_peak_7935_lociStitched	chr15	93346275	93364509	3	8996	21541.6476	2986.7292	463		ASB9P1	ASB9P1	NONE	NONE	463	1
2_MACS_peak_5954_lociStitched	chr12	125398251	125412580	2	9369	17009.9559	1541.8004	464	UBC	SCARB1	UBC	UBC	0.8694	464	1
2_MACS_peak_16841_lociStitched	chr3	195621242	195637443	2	8164	27729.6316	4097.2329	465	TNK2		TNK2	TNK2	0.38759999999999994	465	1
4_MACS_peak_19653_lociStitched	chr6	33537809	33559071	4	9335	19061.383	3497.599	467	GGNBP1,BAK1,C6orf227	ITPR3	BAK1	BAK1	0.6966	467	1
2_MACS_peak_22812_lociStitched	chr8	142126374	142140717	2	9193	19097.7045	2336.4747	468	DENND3		DENND3	DENND3	0.09040000000000001	468	1
4_MACS_peak_4063_lociStitched	chr11	64611160	64634273	4	9426	18081.2999	3698.08	470	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	MEN1	0.0845	470	1
2_MACS_peak_16634_lociStitched	chr3	177068667	177080333	2	9248	18382.1162	3199.9838	475			TBL1XR1	TBL1XR1	NONE	475	1
1_MACS_peak_2847_lociStitched	chr10	63802950	63812185	1	9236	17038.575	1928.268	477	ARID5B		ARID5B	ARID5B	0.134	477	1
1_MACS_peak_20139_lociStitched	chr6	106610172	106617495	1	7324	28349.5299	1762.6461	481			PRDM1	PRDM1	1.7157	481	1
2_MACS_peak_15084_lociStitched	chr22	39095390	39103869	2	7448	27581.3391	1588.9646	482	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	GTPBP1	0.5066	482	1
4_MACS_peak_11159_lociStitched	chr19	16544729	16561491	4	9217	17476.0612	2608.1672	484	EPS15L1	C19orf44,CALR3	EPS15L1	EPS15L1	0.2141	484	1
4_MACS_peak_15135_lociStitched	chr22	39910944	39929242	4	8873	21225.68	3707.1748	488	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.0209	488	1
2_MACS_peak_17139_lociStitched	chr4	38124208	38136218	2	8835	19984.64	2331.141	490	TBC1D1		PTTG2	PTTG2	NONE	490	1
1_MACS_peak_7700_lociStitched	chr15	75334548	75341877	1	7330	27952.806	1836.6474	491	PPCDC	SCAMP5	PPCDC	PPCDC	1.0188	491	1
3_MACS_peak_4192_lociStitched	chr11	67644799	67654505	3	8345	22410.1834	1730.5798	494			LOC645332	LOC645332	NONE	494	1
4_MACS_peak_15320_lociStitched	chr22	50962528	50983193	4	8863	19689.612	3093.5505	500	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	0.8282999999999999	500	1
3_MACS_peak_9300_lociStitched	chr17	27037508	27056533	3	8753	20257.82	3333.18	507	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,NEK8,PROCA1,RAB34,TLCD1	SUPT6H,TRAF4,SDF2	RPL23A	RPL23A	1.1159999999999999	507	1
1_MACS_peak_22630_lociStitched	chr8	118449721	118457622	1	7902	23620.8296	1386.6255	510			MED30	MED30	NONE	510	1
2_MACS_peak_23338_lociStitched	chr9	93698909	93708644	2	8187	22188.012	1795.134	514			SYK	SYK	NONE	514	1
1_MACS_peak_3345_lociStitched	chr10	112255883	112264770	1	8888	17135.9134	1930.2564	516	DUSP5		DUSP5	DUSP5	0.6511	516	1
1_MACS_peak_3579_lociStitched	chr11	2792720	2801563	1	8844	17120.048	1585.5499	518	KCNQ1		KCNQ1OT1	KCNQ1OT1	NONE	518	1
3_MACS_peak_3969_lociStitched	chr11	60672643	60683997	3	8794	17990.413	2461.5472	521	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	ZP1	0.5809	521	1
3_MACS_peak_15304_lociStitched	chr22	50623437	50640728	3	8912	16569.9653	2249.5591	523	TRABD,SELO	MOV10L1,PANX2,TUBGCP6,HDAC10	SELO	HDAC10	0.23929999999999998	523	1
1_MACS_peak_9507_lociStitched	chr17	38016649	38025126	1	8478	19603.9102	1788.647	524	ZPBP2,IKZF3	GSDMB	IKZF3	IKZF3	0.3201	524	1
3_MACS_peak_14870_lociStitched	chr22	24819695	24831776	3	8374	20534.0757	2051.3538	526	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.7581	526	1
3_MACS_peak_4630_lociStitched	chr11	120368070	120383029	3	8824	15935.8227	1756.1866	530			GRIK4	GRIK4	NONE	530	1
3_MACS_peak_6436_lociStitched	chr13	114863417	114877638	3	8269	20475.3958	2010.8494	532	RASA3		RASA3	RASA3	1.0194999999999999	532	1
2_MACS_peak_12732_lociStitched	chr2	110744781	110760380	2	8354	19980.7591	2165.1412	534		LOC100288570	LOC100288570	NONE	NONE	534	1
3_MACS_peak_15426_lociStitched	chr3	13455177	13470739	3	8000	22457.5222	2424.5596	539	NUP210		NUP210	NUP210	0.2547	539	1
2_MACS_peak_6619_lociStitched	chr14	50465373	50476583	2	7866	21832.596	1153.509	540	C14orf182		C14orf182	C14orf182	0.5975999999999999	540	1
3_MACS_peak_10230_lociStitched	chr17	80405894	80424007	3	8032	23157.4705	3579.1288	542	NARF,C17orf62	HEXDC,C17orf101	NARF	C17orf101	0.151	542	1
2_MACS_peak_13029_lociStitched	chr2	158295254	158310822	2	8549	18239.4688	2437.9488	543	CYTIP		CYTIP	CYTIP	0.3609	543	1
3_MACS_peak_24614_lociStitched	chrX	153235599	153252404	3	8178	19873.593	1341.039	544	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	0.7963	544	1
2_MACS_peak_9043_lociStitched	chr17	4842244	4854556	2	7581	24186.924	2261.7144	548	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	1.4477	548	1
2_MACS_peak_2553_lociStitched	chr10	15826039	15834600	2	7573	23286.7761	1344.9331	550	FAM188A		ITGA8	ITGA8	NONE	550	1
4_MACS_peak_9199_lociStitched	chr17	17725465	17744790	4	8648	17494.9225	2894.885	552	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	0.40790000000000004	552	1
1_MACS_peak_13450_lociStitched	chr2	217080536	217088869	1	8334	18788.4151	1757.4297	555			XRCC5	XRCC5	NONE	555	1
2_MACS_peak_10025_lociStitched	chr17	73628883	73643778	2	8207	19758.2175	2152.3275	559	LOC643008,LOC100130933,RECQL5	MYO15B,SAP30BP,RECQL5	LOC643008	LOC643008	0.8032	559	1
2_MACS_peak_18852_lociStitched	chr5	142774753	142785741	2	8221	18881.7792	1450.416	560	NR3C1		NR3C1	NR3C1	0.1106	560	1
1_MACS_peak_1099_lociStitched	chr1	111172967	111181275	1	8309	17200.8832	1099.9792	568		KCNA2,KCNA3	KCNA2	KCNA3	0.29719999999999996	568	1
3_MACS_peak_23521_lociStitched	chr9	112669119	112683285	3	8012	20632.779	2432.3022	569	PALM2,PALM2-AKAP2		PALM2	PALM2	0.09299999999999999	569	1
3_MACS_peak_509_lociStitched	chr1	36614146	36627395	3	8401	17459.5322	2186.085	570	MAP7D1,TRAPPC3	COL8A2	MAP7D1	MAP7D1	0.27990000000000004	570	1
3_MACS_peak_8851_lociStitched	chr16	84132624	84151795	3	8427	15821.8263	1320.8819	576	MBTPS1	LRRC50,HSDL1	MBTPS1	MBTPS1	0.2676	576	1
2_MACS_peak_14584_lociStitched	chr21	37906294	37916973	2	7519	23001.4981	2573.639	582	CLDN14		CLDN14	CLDN14	0.2615	582	1
2_MACS_peak_1993_lociStitched	chr1	207092525	207105328	2	8086	20262.0278	3605.3248	585	FAIM3,PIGR	IL24,FCAMR	FAIM3	FAIM3	0.5192	585	1
1_MACS_peak_20766_lociStitched	chr7	20254542	20262405	1	7864	19875.3051	1744.0134	586	MACC1		MACC1	MACC1	0.22709999999999997	586	1
2_MACS_peak_24185_lociStitched	chrX	48793558	48804591	2	7589	21044.3442	1298.5841	587	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	0.6174	587	1
2_MACS_peak_11141_lociStitched	chr19	16180424	16191690	2	7593	21308.5124	1750.7364	588	TPM4	FLJ25328,RAB8A	TPM4	RAB8A	0.7422	588	1
4_MACS_peak_22879_lociStitched	chr8	145732865	145754828	4	8339	17153.103	3033.0903	591	MFSD3,LRRC14,RECQL4,LRRC24,MGC70857,ARHGAP39	KIFC2,PPP1R16A,GPT,CYHR1,FOXH1	LRRC14	GPT	0.5576	591	1
2_MACS_peak_20348_lociStitched	chr6	135190465	135204186	2	7470	22612.208	2538.385	594			ALDH8A1	ALDH8A1	NONE	594	1
2_MACS_peak_10091_lociStitched	chr17	75229238	75244083	2	8169	17757.589	2505.836	597		SEC14L1,SEPT9	SEPT9	SEC14L1	0.6186	597	1
1_MACS_peak_8951_lociStitched	chr17	977250	985456	1	8207	15675.9218	1402.4054	602	ABR		ABR	ABR	0.12169999999999997	602	1
2_MACS_peak_10099_lociStitched	chr17	75434847	75443006	2	7317	21591.9776	1383.7664	606	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.2222	606	1
2_MACS_peak_325_lociStitched	chr1	25869584	25879094	2	7628	19971	1708.947	608	LDLRAP1		LDLRAP1	LDLRAP1	0.6346	608	1
1_MACS_peak_5686_lociStitched	chr12	102870885	102879083	1	8199	15601.6138	1687.1484	609	IGF1		IGF1	IGF1	0.14519999999999997	609	1
2_MACS_peak_11460_lociStitched	chr19	41801678	41817081	2	8057	18013.8085	2982.0208	615	HNRNPUL1,CCDC97	TGFB1	CCDC97	CCDC97	0.5051	615	1
3_MACS_peak_11672_lociStitched	chr19	50369468	50381995	3	7610	20749.7228	2547.9918	617	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	AKT1S1	0.9809000000000001	617	1
2_MACS_peak_21714_lociStitched	chr7	134842887	134857318	2	8056	17592.8321	3203.682	625	TMEM140,C7orf49	WDR91	C7orf49	C7orf49	0.8351999999999999	625	1
1_MACS_peak_9475_lociStitched	chr17	36856431	36863516	1	7086	21732.529	1344.0245	635	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.59	635	1
2_MACS_peak_14530_lociStitched	chr21	34745740	34757310	2	7945	17376.983	2653.001	637		IFNAR1,IFNGR2	IFNGR2	IFNAR1	0.32420000000000004	637	1
3_MACS_peak_14527_lociStitched	chr21	34696150	34712591	3	7947	18527.3629	3875.1437	639	IFNAR1		IFNAR1	IFNAR1	0.32420000000000004	639	1
1_MACS_peak_868_lociStitched	chr1	66795801	66803529	1	7729	18085.0656	1768.9392	640	PDE4B		PDE4B	PDE4B	0.08760000000000001	640	1
2_MACS_peak_2220_lociStitched	chr1	228268945	228279346	2	7897	17635.9356	2662.656	641	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	ARF1	0.7239	641	1
1_MACS_peak_21684_lociStitched	chr7	130789961	130797133	1	7173	21226.2512	1742.796	646	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.08809999999999998	646	1
1_MACS_peak_15433_lociStitched	chr3	14161152	14168460	1	7309	20288.4696	1666.224	648	TMEM43,CHCHD4		CHCHD4	CHCHD4	0.7986	648	1
1_MACS_peak_20305_lociStitched	chr6	130003212	130010784	1	7573	18203.088	1437.9228	651	ARHGAP18		ARHGAP18	ARHGAP18	0.16090000000000002	651	1
2_MACS_peak_8994_lociStitched	chr17	2294583	2306218	2	7307	20468.292	1993.0755	652	MNT	LOC284009	MNT	MNT	0.6783999999999999	652	1
3_MACS_peak_9211_lociStitched	chr17	18217109	18236105	3	7537	20055.9768	3278.7096	656	SMCR8,TOP3A,SHMT1	EVPLL	SMCR8	SMCR8	0.7282000000000001	656	1
1_MACS_peak_16529_lociStitched	chr3	160116156	160123537	1	7382	19182.4809	1468.0809	658	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	SMC4	0.3596	658	1
1_MACS_peak_14199_lociStitched	chr20	45979904	45987342	1	7439	18851.611	1556.7734	660	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.0981	660	1
2_MACS_peak_254_lociStitched	chr1	21615534	21622626	2	6907	21661.8048	1350.3168	662	ECE1	ECE1	ECE1	ECE1	0.1572	662	1
3_MACS_peak_10219_lociStitched	chr17	80249775	80259980	3	6979	21977.488	2052.2255	663		CSNK1D,CD7,SECTM1	CD7	SECTM1	0.34259999999999996	663	1
1_MACS_peak_22235_lociStitched	chr8	38237438	38245065	1	7628	17207.2747	1345.4028	665	LETM2,WHSC1L1		WHSC1L1	WHSC1L1	0.1669	665	1
2_MACS_peak_317_lociStitched	chr1	25346966	25359227	2	7236	20073.7092	1666.2699	666			RUNX3	RUNX3	NONE	666	1
2_MACS_peak_12774_lociStitched	chr2	112482416	112494752	2	7828	15764.1744	1789.9536	668			ANAPC1	ANAPC1	NONE	668	1
2_MACS_peak_1414_lociStitched	chr1	154821450	154835734	2	7028	22231.6176	3065.3464	671	KCNN3		KCNN3	KCNN3	0.2893	671	1
2_MACS_peak_11143_lociStitched	chr19	16221423	16231839	2	6902	21831.936	2041.536	674	RAB8A	TPM4,HSH2D	RAB8A	HSH2D	1.1421	674	1
2_MACS_peak_11405_lociStitched	chr19	39338761	39348828	2	7442	18552.4743	2033.534	676	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	0.6327	676	1
2_MACS_peak_14639_lociStitched	chr21	43527181	43541160	2	7491	19467.1554	3321.4104	679	UMODL1,C21orf128		C21orf128	C21orf128	0.34709999999999996	679	1
3_MACS_peak_23662_lociStitched	chr9	127622924	127635908	3	7703	16689.6336	2195.5944	680	ARPC5L,RPL35	WDR38	ARPC5L	WDR38	0.44600000000000006	680	1
2_MACS_peak_18475_lociStitched	chr5	88595747	88611578	2	7741	16788.7755	2741.9292	684			MEF2C	MEF2C	0.13770000000000002	684	1
2_MACS_peak_9017_lociStitched	chr17	3813351	3821194	2	7506	16665.5907	1544.2867	700	P2RX1	CAMKK1,ATP2A3	P2RX1	P2RX1	0.5626	700	1
1_MACS_peak_1208_lociStitched	chr1	143461391	143468705	1	7315	19851.6588	3607.2648	706			LOC100130000	LOC100130000	NONE	706	1
2_MACS_peak_12739_lociStitched	chr2	111126567	111141873	2	7222	18947.2974	2194.8804	708	LOC151009		LOC151009	LOC151009	0.8504999999999999	708	1
1_MACS_peak_22778_lociStitched	chr8	134508347	134515349	1	7003	19350.7272	1564.2468	717	ST3GAL1		ST3GAL1	ST3GAL1	0.2715	717	1
1_MACS_peak_5381_lociStitched	chr12	57076642	57083864	1	7223	17339.2998	1266.7388	728	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	0.43970000000000004	728	1
3_MACS_peak_13903_lociStitched	chr20	23329940	23344206	3	7449	16825.3204	2426.6466	730	NXT1	GZF1	NXT1	NXT1	0.6633	730	1
2_MACS_peak_399_lociStitched	chr1	28831485	28846134	2	7379	16817.052	2469.8214	739	RCC1,SNHG3	TRNAU1AP	RCC1	TRNAU1AP	0.344	739	1
2_MACS_peak_21653_lociStitched	chr7	128572287	128582224	2	7251	18035.655	2800.2466	740	IRF5	KCP	IRF5	IRF5	0.6925	740	1
2_MACS_peak_20834_lociStitched	chr7	25979919	25992244	2	7139	17856.46	1867.2375	742	MIR148A		MIR148A	MIR148A	1.5296	742	1
1_MACS_peak_1758_lociStitched	chr1	183808944	183815760	1	6817	19707.1008	1806.9216	746	RGL1		APOBEC4	APOBEC4	NONE	746	1
1_MACS_peak_4584_lociStitched	chr11	117877675	117884621	1	6947	18402.0378	1442.6842	750		IL10RA	IL10RA	IL10RA	0.5465	750	1
2_MACS_peak_16161_lociStitched	chr3	119354554	119362801	2	6877	18705.0207	1552.9101	764	POPDC2	PLA1A,COX17	POPDC2	POPDC2	0.5905	764	1
2_MACS_peak_16295_lociStitched	chr3	129892873	129900527	2	7037	17620.2734	1531.5654	765		COL6A4P2	COL6A4P2	NONE	NONE	765	1
2_MACS_peak_16940_lociStitched	chr4	4029594	4037237	2	6850	18343.2	1485.0349	772			LOC348926	LOC348926	NONE	772	1
2_MACS_peak_23234_lociStitched	chr9	73026478	73036517	2	6911	16333.453	1689.5637	823	KLF9		KLF9	KLF9	0.1565	823	1
1_MACS_peak_17698_lociStitched	chr4	144274708	144281633	1	6926	15589.56	1294.2825	827	GAB1		GAB1	GAB1	0.1324	827	1
1_MACS_peak_22779_lociStitched	chr8	134579263	134586090	1	6828	16408.6945	1637.7973	834	ST3GAL1		ST3GAL1	ST3GAL1	0.2715	834	1
1_MACS_peak_23459_lociStitched	chr9	102580710	102587620	1	6911	15456.979	1320.501	836	NR4A3	NR4A3	NR4A3	NR4A3	0.276	836	1
