REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_23679_lociStitched	chr6	31781534	31805538	6	16924	47729.5536	3958.2596	325	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.8711000000000002	325	1
1_MACS_peak_11456_lociStitched	chr17	37924914	37938760	1	13847	46168.1024	2521.3566	326	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.3774	326	1
2_MACS_peak_2067_lociStitched	chr1	178544420	178552008	2	6804	45882.3596	2285.5056	327		C1orf220	C1orf220	C1orf220	0.3538	327	1
1_MACS_peak_21264_lociStitched	chr4	144272726	144282505	1	9780	45749.0957	2243.3026	328	GAB1		GAB1	GAB1	0.44530000000000003	328	1
2_MACS_peak_26841_lociStitched	chr8	29405043	29416144	2	7376	45401.9799	1898.271	329			C8orf75	C8orf75	0.2815	329	1
1_MACS_peak_20742_lociStitched	chr4	76023346	76029463	1	6118	44799.0729	1316.9901	330			PARM1	PARM1	NONE	330	1
1_MACS_peak_6474_lociStitched	chr12	62995219	62998341	1	3123	43953.3892	537.9206	331	MIRLET7I,C12orf61		C12orf61	C12orf61	3.6834999999999996	331	1
1_MACS_peak_26090_lociStitched	chr7	113723631	113728503	1	4873	44829.708	1424.0856	332	FOXP2		FOXP2	NONE	NONE	332	1
1_MACS_peak_24388_lociStitched	chr6	108986320	108997462	1	11143	44973.5688	1693.584	333	FOXO3		NCRNA00222	NCRNA00222	NONE	333	1
2_MACS_peak_17427_lociStitched	chr21	36236374	36248418	2	6656	45668.4392	2413.6176	334	RUNX1		RUNX1	RUNX1	0.27249999999999996	334	1
1_MACS_peak_1504_lociStitched	chr1	145434045	145441176	1	7132	45399.5115	2363.2134	335	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	TXNIP	3.0298	335	1
2_MACS_peak_6295_lociStitched	chr12	51711841	51722013	2	9736	45063.9944	2125.948	336	BIN2	SMAGP,CELA1	BIN2	CELA1	0.9145	336	1
1_MACS_peak_7637_lociStitched	chr13	78689146	78696347	1	7202	44308.4731	1404.195	337			EDNRB	EDNRB	NONE	337	1
1_MACS_peak_16934_lociStitched	chr20	42696101	42700235	1	4135	43692.246	790.4208	338	TOX2		JPH2	JPH2	NONE	338	1
1_MACS_peak_21529_lociStitched	chr4	185392069	185397240	1	5172	43643.7571	755.4831	339	IRF2		IRF2	IRF2	2.7134	339	1
1_MACS_peak_16878_lociStitched	chr20	37518231	37523506	1	5276	43815.205	1068.715	340	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0816	340	1
6_MACS_peak_10227_lociStitched	chr16	30193874	30227398	6	17950	48562.8664	5886.8144	341	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	2.0111	341	1
1_MACS_peak_13838_lociStitched	chr19	47613784	47617828	1	4045	43435.7952	759.8676	342	ZC3H4	SAE1	ZC3H4	ZC3H4	0.6937	342	1
6_MACS_peak_27543_lociStitched	chr8	126285286	126308122	6	15437	46443.8568	3836.448	343	NSMCE2		TRIB1	TRIB1	NONE	343	1
3_MACS_peak_17810_lociStitched	chr22	26974826	26992377	3	12636	45644.8857	3050.3638	344	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	1.3608	344	1
1_MACS_peak_26255_lociStitched	chr7	129587969	129593321	1	5353	44204.3088	1696.0488	345	UBE2H		UBE2H	UBE2H	0.27080000000000004	345	1
1_MACS_peak_4117_lociStitched	chr10	125863442	125867647	1	4206	43475.9155	1016.769	346		CHST15	CHST15	CHST15	1.597	346	1
1_MACS_peak_11808_lociStitched	chr17	55431377	55436561	1	5185	43598.9952	1188.1728	347	MSI2		MSI2	MSI2	0.14629999999999999	347	1
1_MACS_peak_16128_lociStitched	chr2	217079657	217089096	1	9440	44080.13	1931.2194	348			XRCC5	XRCC5	NONE	348	1
2_MACS_peak_28361_lociStitched	chr9	93733075	93742347	2	5684	43432.8296	1488.156	349			LOC100129316	NONE	NONE	349	1
2_MACS_peak_14734_lociStitched	chr2	65139917	65151158	2	8197	43955.6823	2040.2415	350	LOC400958		LOC400958	LOC400958	2.4126	350	1
3_MACS_peak_17555_lociStitched	chr21	45194839	45210684	3	11242	45471.981	3623.7515	351	RRP1,CSTB	LOC284837	CSTB	CSTB	1.0994000000000002	351	1
1_MACS_peak_4011_lociStitched	chr10	112600159	112604622	1	4464	42751.077	997.0342	352		PDCD4,LOC282997	LOC282997	LOC282997	3.2712	352	1
3_MACS_peak_3646_lociStitched	chr10	81001341	81020519	3	14319	44627.206	3097.247	353	ZMIZ1		PPIF	PPIF	NONE	353	1
1_MACS_peak_10121_lociStitched	chr16	23412959	23419402	1	6444	42870.4334	1342.7212	354	COG7		COG7	COG7	0.6002	354	1
5_MACS_peak_22910_lociStitched	chr5	156339573	156361507	5	10990	44773.8742	3296.6802	355	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.37829999999999997	355	1
6_MACS_peak_8875_lociStitched	chr15	40329651	40358396	6	15034	46377.183	4924.0185	356	SRP14	BMF	SRP14	BMF	3.5202	356	1
2_MACS_peak_16507_lociStitched	chr20	5570446	5592500	2	19338	45204.0838	3758.0016	357	GPCPD1		GPCPD1	GPCPD1	0.5253	357	1
3_MACS_peak_14480_lociStitched	chr2	42344044	42360964	3	11659	44085.06	2693.664	358		EML4	EML4	EML4	0.012200000000000003	358	1
1_MACS_peak_28360_lociStitched	chr9	93703026	93707428	1	4403	42387.7384	1120.309	359			SYK	SYK	NONE	359	1
1_MACS_peak_5932_lociStitched	chr12	15100994	15116294	1	15301	44096.13	3098.25	360	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3679000000000001	360	1
4_MACS_peak_22854_lociStitched	chr5	150512928	150538132	4	16615	45359.6388	4413.2204	361	ANXA6		ANXA6	ANXA6	0.6192	361	1
2_MACS_peak_1864_lociStitched	chr1	161007770	161018289	2	7065	43411.913	2564.5322	362	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	USF1	2.4403	362	1
3_MACS_peak_24345_lociStitched	chr6	106585627	106595660	3	8380	42798.7714	1959.4449	363		PRDM1	PRDM1	PRDM1	4.5849	363	1
3_MACS_peak_17393_lociStitched	chr21	34695937	34712529	3	8843	44811.6736	4045.1296	364	IFNAR1		IFNAR1	IFNAR1	0.9472999999999999	364	1
1_MACS_peak_12676_lociStitched	chr18	48677505	48681720	1	4216	41676.234	953.8545	365		MEX3C	MEX3C	MEX3C	0.4458	365	1
4_MACS_peak_24215_lociStitched	chr6	88625763	88640260	4	11759	43373.5743	2661.6492	366			SPACA1	SPACA1	NONE	366	1
2_MACS_peak_8073_lociStitched	chr14	50465507	50476730	2	7845	41648.553	953.955	367	C14orf182		C14orf182	C14orf182	1.1234	367	1
1_MACS_peak_24343_lociStitched	chr6	106439293	106446769	1	7477	41859.6192	1273.9104	368			PRDM1	PRDM1	4.5849	368	1
3_MACS_peak_22237_lociStitched	chr5	86408411	86420325	3	8849	42786.7482	2308.9332	369	MIR4280		MIR4280	MIR4280	0.46720000000000006	369	1
2_MACS_peak_27653_lociStitched	chr8	137189319	137201492	2	10680	42797.8334	2490.5958	370			KHDRBS3	KHDRBS3	NONE	370	1
2_MACS_peak_20576_lociStitched	chr4	48194366	48206627	2	9613	42506.4348	2269.5111	371	TEC		TXK	TXK	NONE	371	1
1_MACS_peak_3935_lociStitched	chr10	105229981	105233203	1	3223	40779.5652	654.7104	372	CALHM3	NEURL,CALHM2,CALHM1	CALHM3	CALHM3	2.448	372	1
1_MACS_peak_6286_lociStitched	chr12	51312074	51323139	1	11066	42211.8685	2133.332	373	METTL7A	HIGD1C	METTL7A	METTL7A	2.1451	373	1
1_MACS_peak_22360_lociStitched	chr5	100235029	100241752	1	6724	41464.1025	1407.7962	374	ST8SIA4		ST8SIA4	ST8SIA4	0.5236999999999999	374	1
3_MACS_peak_23871_lociStitched	chr6	42737925	42752189	3	8939	42137.2824	2128.1888	375		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.8171	375	1
2_MACS_peak_11726_lociStitched	chr17	47816016	47827690	2	9982	42207.347	2293.941	376	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	0.775	376	1
1_MACS_peak_18029_lociStitched	chr22	38782028	38797226	1	15199	42575.6772	2667.249	377	LOC400927	KCNJ4	LOC400927	LOC400927	0.7351	377	1
2_MACS_peak_2619_lociStitched	chr1	226062637	226071662	2	8413	42277.6125	2387.1125	378	TMEM63A	EPHX1,LEFTY1,PYCR2	TMEM63A	LEFTY1	2.0330999999999997	378	1
1_MACS_peak_25949_lociStitched	chr7	101946198	101952262	1	6065	40905.3184	1025.4224	379	SH2B2	MIR4285,SPDYE6	MIR4285	MIR4285	1.0684	379	1
1_MACS_peak_23512_lociStitched	chr6	26269706	26275769	1	6064	41068.3368	1196.2299	380	HIST1H2BI,HIST1H3G	HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1D,HIST1H4G,HIST1H3F,HIST1H4H	HIST1H2BI	HIST1H2BI	3.8054	380	1
4_MACS_peak_2313_lociStitched	chr1	203236315	203248405	4	8877	43070.625	3356.184	381		BTG2,CHIT1,LOC730227	LOC730227	LOC730227	7.1023	381	1
1_MACS_peak_17494_lociStitched	chr21	41383260	41389932	1	6673	41611.9296	1959.5664	382	DSCAM		PCP4	PCP4	0.21300000000000002	382	1
4_MACS_peak_15024_lociStitched	chr2	88898808	88928491	4	18923	44580.8977	4948.1561	383	EIF2AK3		EIF2AK3	EIF2AK3	0.47240000000000004	383	1
2_MACS_peak_16603_lociStitched	chr20	17827697	17838763	2	7401	41291.6724	1757.2808	384			SNORD17	SNORD17	0.4612	384	1
2_MACS_peak_1824_lociStitched	chr1	159036095	159048304	2	7085	42622.8399	3096.2024	385	AIM2		AIM2	AIM2	1.5792	385	1
3_MACS_peak_7094_lociStitched	chr12	122227374	122243860	3	9789	40567.1002	1149.0742	386	SETD1B,RHOF,LOC338799		RHOF	RHOF	0.0427	386	1
5_MACS_peak_10099_lociStitched	chr16	22194912	22219232	5	17057	43644.672	4243.84	387	EEF2K		EEF2K	EEF2K	0.038599999999999995	387	1
2_MACS_peak_17538_lociStitched	chr21	44725935	44734435	2	8046	41422.2	2032.35	388			SIK1	SIK1	NONE	388	1
2_MACS_peak_27464_lociStitched	chr8	118450459	118457555	2	6853	40789.9368	1546.2184	389			MED30	MED30	NONE	389	1
2_MACS_peak_12166_lociStitched	chr17	76116353	76129346	2	9513	41281.3596	2042.4996	390	TMC8,TMC6	C17orf99,SYNGR2	TMC6	SYNGR2	1.5926999999999998	390	1
2_MACS_peak_12152_lociStitched	chr17	75434576	75442947	2	7158	40534.0562	1431.441	391	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.4202	391	1
3_MACS_peak_6333_lociStitched	chr12	53845164	53876054	3	30719	44262.281	5164.808	392	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.9994	392	1
2_MACS_peak_5547_lociStitched	chr11	122929033	122941781	2	8939	41668.1128	2572.5464	393	HSPA8	LOC341056	HSPA8	HSPA8	2.409	393	1
2_MACS_peak_8313_lociStitched	chr14	72980400	72989843	2	8388	39979.7734	932.0241	394	RGS6		DPF3	DPF3	NONE	394	1
2_MACS_peak_9731_lociStitched	chr15	101661307	101669382	2	5874	40449.29	1428.4675	395			CHSY1	CHSY1	0.5889	395	1
2_MACS_peak_4000_lociStitched	chr10	112255901	112273942	2	12947	42170.8375	3151.7627	396	DUSP5		DUSP5	DUSP5	1.6462999999999999	396	1
2_MACS_peak_7160_lociStitched	chr12	125397458	125413069	2	11009	40562.0613	1562.6611	397	UBC	SCARB1	UBC	UBC	2.4292000000000002	397	1
3_MACS_peak_14322_lociStitched	chr2	27374638	27389621	3	10090	41477.4389	2538.1202	398	TCF23	ABHD1,C2orf28,CGREF1,PREB,C2orf53,SLC5A6	TCF23	C2orf28	1.0681	398	1
4_MACS_peak_12983_lociStitched	chr19	2254644	2274629	4	12917	43213.5655	4406.6925	399	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	2.0344	399	1
3_MACS_peak_23030_lociStitched	chr5	171601133	171616234	3	11151	41345.0279	2550.5589	400	STK10	EFCAB9	STK10	STK10	0.2523	400	1
4_MACS_peak_4981_lociStitched	chr11	67644659	67661735	4	9637	41704.7148	3000.2532	401			LOC645332	LOC645332	NONE	401	1
2_MACS_peak_28798_lociStitched	chr9	130828748	130845873	2	14240	41692.525	2998.5875	402	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.7674	402	1
3_MACS_peak_16926_lociStitched	chr20	42569035	42585612	3	11496	41140.7986	2586.012	403	TOX2		TOX2	TOX2	0.5772	403	1
2_MACS_peak_1697_lociStitched	chr1	154296825	154308087	2	7124	41233.5606	2682.6084	404	AQP10,ATP8B2		ATP8B2	ATP8B2	1.7198	404	1
1_MACS_peak_15735_lociStitched	chr2	175457431	175464206	1	6776	39635.7825	1134.135	405	WIPF1		WIPF1	WIPF1	0.41759999999999997	405	1
2_MACS_peak_25503_lociStitched	chr7	50343624	50357535	2	12046	40944.2463	2508.1533	406	IKZF1		IKZF1	IKZF1	0.274	406	1
2_MACS_peak_11917_lociStitched	chr17	62195764	62210498	2	14594	41233.099	2843.662	407	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	407	1
1_MACS_peak_3739_lociStitched	chr10	91646090	91650692	1	4603	39406.4658	1026.246	408			KIF20B	KIF20B	NONE	408	1
1_MACS_peak_22027_lociStitched	chr5	61985019	61991055	1	6037	39336.0084	1097.3448	409			LRRC70	LRRC70	NONE	409	1
3_MACS_peak_12188_lociStitched	chr17	76763382	76779698	3	14144	41018.424	2793.2992	410	CYTH1		CYTH1	CYTH1	0.9152999999999999	410	1
3_MACS_peak_7464_lociStitched	chr13	46269211	46280975	3	9900	39303.524	1190.5168	411	SPERT		SPERT	SPERT	1.6298000000000001	411	1
2_MACS_peak_16782_lociStitched	chr20	32988867	33005831	2	12708	40674.5828	2622.6344	412	ITCH	MIR644	ITCH	ITCH	0.2916	412	1
2_MACS_peak_12089_lociStitched	chr17	73868344	73875710	2	6231	39369.7968	1378.1786	413	TRIM47	UNC13D,WBP2,TRIM65,MRPL38	TRIM47	TRIM47	2.6245	413	1
1_MACS_peak_28370_lociStitched	chr9	93952756	93957350	1	4595	38787.142	798.4372	414			LOC100129316	NONE	NONE	414	1
3_MACS_peak_28675_lociStitched	chr9	123630346	123641526	3	8775	39733.72	1846.936	415	PHF19	LOC253039,PSMD5,TRAF1	PHF19	PHF19	1.1981	415	1
1_MACS_peak_2707_lociStitched	chr1	230256643	230261612	1	4970	39206.9007	1346.599	416	GALNT2		GALNT2	GALNT2	0.38960000000000006	416	1
1_MACS_peak_21517_lociStitched	chr4	185263855	185270142	1	6288	39159.2082	1407.0306	417			ENPP6	NONE	NONE	417	1
2_MACS_peak_6546_lociStitched	chr12	69195516	69207131	2	8148	39283.0915	1669.0755	418	MDM2		MDM2	MDM2	0.788	418	1
2_MACS_peak_6842_lociStitched	chr12	104318532	104326461	2	6728	39032.8812	1453.3857	419	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	GNN	0.4382999999999999	419	1
1_MACS_peak_11462_lociStitched	chr17	38016449	38025023	1	8575	39316.077	1755.0978	420	ZPBP2,IKZF3	GSDMB	IKZF3	IKZF3	0.9529000000000001	420	1
1_MACS_peak_26303_lociStitched	chr7	134853247	134857462	1	4216	38630.475	1100.115	421	C7orf49	TMEM140,WDR91	C7orf49	C7orf49	2.632	421	1
8_MACS_peak_8530_lociStitched	chr14	95945995	95986243	8	24280	40726.9512	3207.7656	422		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.3237	422	1
2_MACS_peak_1338_lociStitched	chr1	111323374	111331698	2	7262	38377.802	965.584	423			CD53	CD53	NONE	423	1
2_MACS_peak_20488_lociStitched	chr4	38124286	38136231	2	8871	39475.836	2121.432	424	TBC1D1		PTTG2	PTTG2	NONE	424	1
3_MACS_peak_8819_lociStitched	chr15	34619242	34635806	3	10006	39977.214	2708.214	425	SLC12A6,NOP10	C15orf55,SLC12A6,LPCAT4,MIR1233-1,GOLGA8A	SLC12A6	LPCAT4	0.7433	425	1
2_MACS_peak_2083_lociStitched	chr1	179846181	179853711	2	4712	39460.965	2229.633	426	TOR1AIP1,TOR1AIP2		TOR1AIP1	TOR1AIP1	0.7184	426	1
2_MACS_peak_8701_lociStitched	chr15	23660154	23669486	2	7400	38888.3104	1672.2944	427			MKRN3	MKRN3	NONE	427	1
2_MACS_peak_1711_lociStitched	chr1	154755725	154765719	2	7157	39851.075	2742.3536	428	KCNN3		KCNN3	KCNN3	0.47009999999999996	428	1
4_MACS_peak_3662_lociStitched	chr10	81946400	81966408	4	13451	40214.0792	3127.2504	429	ANXA11		ANXA11	ANXA11	0.6114999999999999	429	1
1_MACS_peak_25798_lociStitched	chr7	90337233	90345379	1	8147	38482.5186	1405.185	430	CDK14		CDK14	CDK14	0.13269999999999998	430	1
5_MACS_peak_5868_lociStitched	chr12	11901802	11920238	5	12138	40282.66	3342.4468	431	ETV6		ETV6	ETV6	0.2875	431	1
2_MACS_peak_28856_lociStitched	chr9	132646203	132657791	2	8064	38775.7656	1883.05	432	FNBP1	USP20,C9orf78	USP20	USP20	0.2685	432	1
1_MACS_peak_12953_lociStitched	chr19	1647580	1653966	1	6387	37996.0614	1109.8868	433	TCF3	UQCR11	TCF3	TCF3	0.9081	433	1
2_MACS_peak_4499_lociStitched	chr11	26099215	26110708	2	6092	38223.4194	1594.0791	434			ANO3	ANO3	NONE	434	1
2_MACS_peak_17110_lociStitched	chr20	52481578	52490654	2	8368	38308.8884	1718.9944	435		SUMO1P1	SUMO1P1	SUMO1P1	1.4533	435	1
2_MACS_peak_6395_lociStitched	chr12	56726388	56734300	2	7414	37957.0288	1407.5448	436	IL23A,PAN2	CS,CNPY2,STAT2,APOF	IL23A	IL23A	2.5144	436	1
1_MACS_peak_6535_lociStitched	chr12	68766510	68770470	1	3961	37512.684	974.556	437		MDM1	MDM1	NONE	NONE	437	1
3_MACS_peak_13925_lociStitched	chr19	50369584	50382033	3	8217	38716.39	2208.4526	438	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	AKT1S1	1.9818000000000002	438	1
3_MACS_peak_982_lociStitched	chr1	66736702	66750332	3	10239	39092.203	2596.515	439	PDE4B	PDE4B	PDE4B	PDE4B	0.0664	439	1
1_MACS_peak_25482_lociStitched	chr7	47708198	47712407	1	4210	37454.6283	1003.0047	440		C7orf65	C7orf65	NONE	NONE	440	1
2_MACS_peak_20167_lociStitched	chr3	196357905	196371210	2	9129	39715.425	3270.369	441	LRRC33		LRRC33	LRRC33	0.5519999999999999	441	1
1_MACS_peak_22673_lociStitched	chr5	138720076	138730576	1	10501	38430	2064.3	442	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.9490999999999996	442	1
1_MACS_peak_14278_lociStitched	chr2	25640698	25645586	1	4889	37409.3304	1088.5576	443	DTNB		DNMT3A	DNMT3A	NONE	443	1
4_MACS_peak_19463_lociStitched	chr3	129026464	129054624	4	15007	40195.584	3995.904	444	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.6062000000000003	444	1
1_MACS_peak_641_lociStitched	chr1	39972847	39977424	1	4578	36970.2598	791.3633	445	BMP8A	PPIEL	BMP8A	BMP8A	1.2577	445	1
1_MACS_peak_22211_lociStitched	chr5	81145928	81152078	1	6151	37476.87	1299.495	446			SSBP2	SSBP2	NONE	446	1
3_MACS_peak_28678_lociStitched	chr9	123653430	123667560	3	7992	38302.191	2178.846	447	TRAF1	LOC253039,PSMD5,PHF19	TRAF1	PHF19	1.1981	447	1
1_MACS_peak_6408_lociStitched	chr12	57076549	57083804	1	7256	37376.309	1310.9785	448	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	ATP5B	1.1148	448	1
1_MACS_peak_5637_lociStitched	chr11	129870959	129874642	1	3684	36925.0214	863.2952	449	NCRNA00167,PRDM10		PRDM10	PRDM10	0.2857	449	1
1_MACS_peak_22402_lociStitched	chr5	109023753	109034480	1	10728	38248.1912	2234.4341	450	MAN2A1		MAN2A1	MAN2A1	0.4347	450	1
3_MACS_peak_18545_lociStitched	chr3	30682661	30703503	3	16603	39464.327	3474.3614	451	TGFBR2		TGFBR2	TGFBR2	0.416	451	1
3_MACS_peak_12278_lociStitched	chr17	80405809	80423934	3	8521	38841.875	2867.375	452	NARF,C17orf62	HEXDC,C17orf101	NARF	NARF	0.35419999999999996	452	1
2_MACS_peak_2410_lociStitched	chr1	207094160	207104526	2	5011	38657.9238	2689.977	453	FAIM3,PIGR	IL24,FCAMR	FAIM3	FAIM3	1.2261	453	1
1_MACS_peak_7825_lociStitched	chr13	114789172	114794496	1	5325	36937.3796	1077.5776	454	RASA3		RASA3	RASA3	1.0352999999999999	454	1
2_MACS_peak_17103_lociStitched	chr20	52345442	52358573	2	8679	38254.5423	2397.7206	455			SUMO1P1	SUMO1P1	1.4533	455	1
1_MACS_peak_23572_lociStitched	chr6	27857219	27864307	1	7089	37501.8992	1663.5536	456	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	HIST1H2AM	3.402	456	1
3_MACS_peak_9628_lociStitched	chr15	90721467	90736252	3	7650	38177.827	2377.428	457	SEMA4B	SEMA4B,C15orf58,CIB1	SEMA4B	SEMA4B	0.7145	457	1
1_MACS_peak_7621_lociStitched	chr13	77898920	77905560	1	6641	37224.504	1428.264	458	MYCBP2		MYCBP2	MYCBP2	0.07280000000000002	458	1
4_MACS_peak_12959_lociStitched	chr19	1847231	1865659	4	10298	38630.6164	2883.982	459	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.6815	459	1
1_MACS_peak_20120_lociStitched	chr3	193817865	193823087	1	5223	37616.677	1916.474	460		HES1	HES1	HES1	0.8163	460	1
1_MACS_peak_2624_lociStitched	chr1	226127732	226133490	1	5759	37236.986	1542.5682	461	LEFTY2	PYCR2	LEFTY2	LEFTY2	2.392	461	1
3_MACS_peak_25436_lociStitched	chr7	44661685	44680155	3	14519	38860.88	3174.993	462	OGDH	DDX56,TMED4	OGDH	TMED4	0.8696	462	1
3_MACS_peak_23492_lociStitched	chr6	26020348	26034852	3	10643	38071.5496	2387.3584	463	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H1C	2.3028	463	1
3_MACS_peak_20771_lociStitched	chr4	77608720	77624753	3	14552	38453.5472	3078.336	464	SHROOM3		ANKRD56	ANKRD56	NONE	464	1
5_MACS_peak_8667_lociStitched	chr15	20969938	20995773	5	15298	39005.683	3663.403	465		BCL8	BCL8	NONE	NONE	465	1
1_MACS_peak_22292_lociStitched	chr5	90674677	90681088	1	6412	36894.6639	1554.6675	466	LOC100129716,ARRDC3		ARRDC3	ARRDC3	1.3916	466	1
1_MACS_peak_6741_lociStitched	chr12	94564033	94569413	1	5381	36734.64	1421.934	467	PLXNC1		PLXNC1	PLXNC1	0.9511000000000001	467	1
3_MACS_peak_13338_lociStitched	chr19	16180538	16198102	3	8875	37925.9452	2703.0996	468	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	HSH2D	1.8334	468	1
1_MACS_peak_25162_lociStitched	chr7	20368301	20372570	1	4270	35956.5063	750.4902	469	ITGB8		ITGB8	ITGB8	0.36769999999999997	469	1
4_MACS_peak_18082_lociStitched	chr22	39910207	39929664	4	13650	38425.6293	3278.5045	470	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.6851	470	1
2_MACS_peak_23634_lociStitched	chr6	30648711	30659511	2	9477	36913.32	1777.68	471	KIAA1949,NRM	C6orf136,TUBB,DHX16,MDC1	KIAA1949	KIAA1949	1.7416999999999998	471	1
1_MACS_peak_29881_lociStitched	chrX	135110448	135115835	1	5388	35700.1877	628.6629	472	SLC9A6		SLC9A6	SLC9A6	0.49649999999999994	472	1
3_MACS_peak_13294_lociStitched	chr19	13943815	13959163	3	9441	37275.6876	2211.6468	473	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	2.1394	473	1
1_MACS_peak_12143_lociStitched	chr17	75203592	75210101	1	6510	36451.7018	1402.6895	474	SEC14L1		SEC14L1	SEC14L1	1.6335	474	1
3_MACS_peak_599_lociStitched	chr1	37930819	37946559	3	10662	37420.276	2439.7	475	ZC3H12A	MEAF6	ZC3H12A	ZC3H12A	1.6492	475	1
2_MACS_peak_1798_lociStitched	chr1	156709563	156722906	2	11167	37839.4137	2914.1112	476	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	HDGF	1.7589	476	1
1_MACS_peak_17536_lociStitched	chr21	44581088	44587032	1	5945	36289.9032	1413.4832	477		CRYAA	CRYAA	CRYAA	2.0511000000000004	477	1
2_MACS_peak_17786_lociStitched	chr22	24822592	24832072	2	7944	36520.752	1644.78	478	ADORA2A,C22orf45		ADORA2A	ADORA2A	1.4125999999999999	478	1
2_MACS_peak_13341_lociStitched	chr19	16221383	16231851	2	8786	36953.0868	2079.9916	479	RAB8A	TPM4,HSH2D	RAB8A	HSH2D	1.8334	479	1
3_MACS_peak_18054_lociStitched	chr22	39458982	39474377	3	11349	37308.243	2452.4235	480	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	2.128	480	1
1_MACS_peak_14760_lociStitched	chr2	66659650	66668148	1	8499	36112.251	1257.704	481	MEIS1		MEIS1	MEIS1	0.19520000000000004	481	1
1_MACS_peak_12193_lociStitched	chr17	76884375	76889425	1	5051	35832.275	1016.565	482	TIMP2	USP36	TIMP2	TIMP2	0.48429999999999995	482	1
1_MACS_peak_27629_lociStitched	chr8	134227487	134232113	1	4627	35826.5196	1019.5704	483	WISP1		WISP1	WISP1	0.7394	483	1
1_MACS_peak_26340_lociStitched	chr7	139615144	139618143	1	3000	35926.5205	1129.1235	484	TBXAS1		TBXAS1	TBXAS1	0.14020000000000002	484	1
4_MACS_peak_673_lociStitched	chr1	40838978	40858483	4	14349	38563.3355	3780.069	485	SMAP2	SMAP2	SMAP2	SMAP2	0.549	485	1
1_MACS_peak_4572_lociStitched	chr11	35159878	35168727	1	8850	36836.6172	2084.8244	486	CD44		CD44	CD44	0.5504	486	1
3_MACS_peak_7116_lociStitched	chr12	123371215	123387355	3	14877	36344.052	1596.246	487	VPS37B		VPS37B	VPS37B	1.1399	487	1
4_MACS_peak_17115_lociStitched	chr20	52545962	52566634	4	11162	38187.3856	3464.6272	488	BCAS1		SUMO1P1	SUMO1P1	1.4533	488	1
