GENE_ID	locusLine	bin_1_23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam
3_MACS_peak_15787_lociStitched	chr19(.):33793654-33797168	0.8628
1_MACS_peak_15790_lociStitched	chr19(.):33800615-33801804	0.6686
1_MACS_peak_15791_lociStitched	chr19(.):34015159-34016293	0.6461
1_MACS_peak_15792_lociStitched	chr19(.):34019571-34022759	1.0403
6_MACS_peak_15793_lociStitched	chr19(.):34024193-34032505	0.7646
1_MACS_peak_15799_lociStitched	chr19(.):34040048-34040575	0.6449
1_MACS_peak_15800_lociStitched	chr19(.):34043900-34044348	0.5634
1_MACS_peak_15801_lociStitched	chr19(.):34046397-34047213	0.6957
1_MACS_peak_15802_lociStitched	chr19(.):34056815-34057276	0.7389
1_MACS_peak_15803_lociStitched	chr19(.):34071628-34072203	0.7841
1_MACS_peak_15804_lociStitched	chr19(.):34111401-34112464	0.7752
1_MACS_peak_15805_lociStitched	chr19(.):34113626-34114327	0.6012
1_MACS_peak_15806_lociStitched	chr19(.):34130830-34131294	0.812
1_MACS_peak_15807_lociStitched	chr19(.):34191325-34191768	0.6711
1_MACS_peak_15808_lociStitched	chr19(.):34263505-34263992	0.8326
1_MACS_peak_15809_lociStitched	chr19(.):34265520-34265937	0.5455
2_MACS_peak_15810_lociStitched	chr19(.):34269265-34274232	1.1625
2_MACS_peak_15812_lociStitched	chr19(.):34276061-34277696	0.6602
2_MACS_peak_15814_lociStitched	chr19(.):34282270-34284189	0.5337
1_MACS_peak_15816_lociStitched	chr19(.):34285539-34286423	0.7725
4_MACS_peak_15817_lociStitched	chr19(.):34287751-34293210	0.8482
1_MACS_peak_15821_lociStitched	chr19(.):34294750-34295181	0.6667
1_MACS_peak_15822_lociStitched	chr19(.):34298665-34299712	0.7221
4_MACS_peak_15823_lociStitched	chr19(.):34301976-34308871	0.7983
1_MACS_peak_15827_lociStitched	chr19(.):34310906-34311648	0.7496
2_MACS_peak_15828_lociStitched	chr19(.):34350888-34352672	0.6144
1_MACS_peak_15830_lociStitched	chr19(.):34359524-34360294	0.7384
1_MACS_peak_15831_lociStitched	chr19(.):34385968-34386368	0.6278
2_MACS_peak_15832_lociStitched	chr19(.):34394125-34398177	0.884
1_MACS_peak_15834_lociStitched	chr19(.):34400640-34401164	0.7415
2_MACS_peak_15835_lociStitched	chr19(.):34404157-34405502	0.7071
1_MACS_peak_15837_lociStitched	chr19(.):34421961-34422491	0.7331
1_MACS_peak_15838_lociStitched	chr19(.):34433410-34433761	0.4268
1_MACS_peak_15839_lociStitched	chr19(.):34435915-34436374	0.7172
1_MACS_peak_15840_lociStitched	chr19(.):34581786-34582181	0.6099
2_MACS_peak_15841_lociStitched	chr19(.):35004715-35006571	0.6209
1_MACS_peak_15843_lociStitched	chr19(.):35216028-35216449	0.5959
1_MACS_peak_15844_lociStitched	chr19(.):35412571-35412975	0.5766
2_MACS_peak_15845_lociStitched	chr19(.):35455577-35457836	0.5829
1_MACS_peak_15847_lociStitched	chr19(.):35462607-35463533	0.6706
1_MACS_peak_15848_lociStitched	chr19(.):35464722-35465339	0.8527
1_MACS_peak_15849_lociStitched	chr19(.):35467661-35468116	0.756
1_MACS_peak_15850_lociStitched	chr19(.):35475527-35475992	0.6273
2_MACS_peak_15851_lociStitched	chr19(.):35484630-35486109	0.5756
1_MACS_peak_15853_lociStitched	chr19(.):35490449-35490838	0.7023
9_MACS_peak_15854_lociStitched	chr19(.):35520471-35543110	1.0774
1_MACS_peak_15863_lociStitched	chr19(.):35544915-35545420	0.7791
1_MACS_peak_15864_lociStitched	chr19(.):35547185-35547922	0.721
2_MACS_peak_15865_lociStitched	chr19(.):35550971-35552622	0.7998
1_MACS_peak_15867_lociStitched	chr19(.):35556525-35557078	0.619
2_MACS_peak_15868_lociStitched	chr19(.):35558706-35561433	0.7651
4_MACS_peak_15870_lociStitched	chr19(.):35563558-35572847	1.015
3_MACS_peak_15874_lociStitched	chr19(.):35575229-35577966	0.8361
1_MACS_peak_15877_lociStitched	chr19(.):35579494-35580254	0.7592
1_MACS_peak_15878_lociStitched	chr19(.):35584674-35585512	0.8048
7_MACS_peak_15879_lociStitched	chr19(.):35586747-35596459	0.8929
10_MACS_peak_15886_lociStitched	chr19(.):35599260-35614827	0.8494
6_MACS_peak_15896_lociStitched	chr19(.):35616903-35625768	0.8486
1_MACS_peak_15902_lociStitched	chr19(.):35627213-35631782	1.1114
3_MACS_peak_15903_lociStitched	chr19(.):35632981-35636629	0.9722
2_MACS_peak_15906_lociStitched	chr19(.):35772025-35776205	0.8657
6_MACS_peak_15908_lociStitched	chr19(.):35777951-35786680	0.8852
1_MACS_peak_15914_lociStitched	chr19(.):35791085-35791668	0.8421
4_MACS_peak_15915_lociStitched	chr19(.):35793083-35796269	0.7009
1_MACS_peak_15919_lociStitched	chr19(.):35798247-35798766	0.661
6_MACS_peak_15920_lociStitched	chr19(.):35799769-35806351	0.8197
1_MACS_peak_15926_lociStitched	chr19(.):35809580-35810686	0.7904
1_MACS_peak_15927_lociStitched	chr19(.):35811743-35812278	0.6289
9_MACS_peak_15928_lociStitched	chr19(.):35818152-35843823	1.1117
2_MACS_peak_15937_lociStitched	chr19(.):35849043-35855567	1.0947
1_MACS_peak_15939_lociStitched	chr19(.):35861861-35864589	0.9739
1_MACS_peak_15940_lociStitched	chr19(.):35937648-35938080	0.6911
1_MACS_peak_15941_lociStitched	chr19(.):35940519-35941291	0.7757
11_MACS_peak_15942_lociStitched	chr19(.):35977531-36028558	1.1481
3_MACS_peak_15953_lociStitched	chr19(.):36043581-36057550	1.0917
2_MACS_peak_15956_lociStitched	chr19(.):36059337-36062176	0.7887
1_MACS_peak_15958_lociStitched	chr19(.):36064877-36065483	0.6033
1_MACS_peak_15959_lociStitched	chr19(.):36067122-36067530	0.6708
3_MACS_peak_15960_lociStitched	chr19(.):36074339-36077518	0.7457
6_MACS_peak_15963_lociStitched	chr19(.):36158713-36171320	0.989
3_MACS_peak_15969_lociStitched	chr19(.):36179246-36182460	0.7493
2_MACS_peak_15972_lociStitched	chr19(.):36194456-36200101	1.0189
3_MACS_peak_15974_lociStitched	chr19(.):36201654-36206188	0.7989
1_MACS_peak_15977_lociStitched	chr19(.):36282239-36285253	1.0408
10_MACS_peak_15978_lociStitched	chr19(.):36286382-36314525	0.9853
1_MACS_peak_15988_lociStitched	chr19(.):36317228-36317647	0.6655
7_MACS_peak_15989_lociStitched	chr19(.):36319511-36328404	0.7623
1_MACS_peak_15996_lociStitched	chr19(.):36330854-36331310	0.5376
1_MACS_peak_15997_lociStitched	chr19(.):36332481-36333030	0.7178
6_MACS_peak_15998_lociStitched	chr19(.):36334298-36370579	1.1454
1_MACS_peak_16004_lociStitched	chr19(.):36373599-36374351	0.6323
4_MACS_peak_16005_lociStitched	chr19(.):36395850-36400717	0.7339
7_MACS_peak_16009_lociStitched	chr19(.):36402132-36411093	0.7252
1_MACS_peak_16016_lociStitched	chr19(.):36413585-36415228	0.9128
3_MACS_peak_16017_lociStitched	chr19(.):36416775-36420065	0.8412
5_MACS_peak_16020_lociStitched	chr19(.):36440261-36445239	0.771
1_MACS_peak_16025_lociStitched	chr19(.):36446698-36447529	0.557
3_MACS_peak_16026_lociStitched	chr19(.):36448610-36452307	0.8726
1_MACS_peak_16029_lociStitched	chr19(.):36458410-36460029	1.01
3_MACS_peak_16030_lociStitched	chr19(.):36462771-36466286	0.7893
7_MACS_peak_16033_lociStitched	chr19(.):36468055-36478135	0.8252
1_MACS_peak_16040_lociStitched	chr19(.):36479858-36480791	0.8861
1_MACS_peak_16043_lociStitched	chr19(.):38385344-38386124	0.6162
1_MACS_peak_16044_lociStitched	chr19(.):38712719-38713125	0.6362
5_MACS_peak_16045_lociStitched	chr19(.):38716998-38723992	1.0457
1_MACS_peak_16050_lociStitched	chr19(.):38729003-38729489	0.785
1_MACS_peak_16051_lociStitched	chr19(.):38730921-38732196	0.6434
2_MACS_peak_16052_lociStitched	chr19(.):38742832-38747418	0.8746
1_MACS_peak_16054_lociStitched	chr19(.):38809172-38811684	0.83
6_MACS_peak_16055_lociStitched	chr19(.):38846463-38859104	0.8899
6_MACS_peak_16061_lociStitched	chr19(.):38878133-38891138	1.1328
3_MACS_peak_16067_lociStitched	chr19(.):38901169-38906457	0.9562
5_MACS_peak_16070_lociStitched	chr19(.):38907835-38914009	0.8017
2_MACS_peak_16075_lociStitched	chr19(.):38916057-38918332	0.7475
1_MACS_peak_16077_lociStitched	chr19(.):38920978-38921407	0.5962
1_MACS_peak_16078_lociStitched	chr19(.):38926892-38927315	0.5905
1_MACS_peak_16079_lociStitched	chr19(.):38929425-38929965	0.735
2_MACS_peak_16080_lociStitched	chr19(.):38933178-38937412	0.8619
2_MACS_peak_16082_lociStitched	chr19(.):38938555-38941571	0.7759
1_MACS_peak_16084_lociStitched	chr19(.):38945706-38946754	0.8158
2_MACS_peak_16085_lociStitched	chr19(.):38947878-38950251	0.7208
1_MACS_peak_16087_lociStitched	chr19(.):38951857-38952443	0.4951
1_MACS_peak_16088_lociStitched	chr19(.):38956419-38957051	0.7446
1_MACS_peak_16089_lociStitched	chr19(.):38959720-38960289	0.6658
6_MACS_peak_16090_lociStitched	chr19(.):38961385-38969671	0.8984
1_MACS_peak_16096_lociStitched	chr19(.):38973371-38974295	0.8326
7_MACS_peak_16097_lociStitched	chr19(.):38976900-38987572	0.714
2_MACS_peak_16104_lociStitched	chr19(.):38988593-38993075	0.8713
2_MACS_peak_16106_lociStitched	chr19(.):38995217-38997789	0.7093
1_MACS_peak_16108_lociStitched	chr19(.):39001067-39004073	1.1284
3_MACS_peak_16109_lociStitched	chr19(.):39006445-39010817	0.834
2_MACS_peak_16112_lociStitched	chr19(.):39013679-39018370	0.8129
6_MACS_peak_16114_lociStitched	chr19(.):39020533-39027978	0.798
1_MACS_peak_16120_lociStitched	chr19(.):39052596-39053631	0.9555
3_MACS_peak_16121_lociStitched	chr19(.):39057062-39059832	0.8669
3_MACS_peak_16124_lociStitched	chr19(.):39066121-39070778	0.8086
1_MACS_peak_16127_lociStitched	chr19(.):39072238-39072959	0.8605
1_MACS_peak_16128_lociStitched	chr19(.):39227168-39227574	0.4867
1_MACS_peak_16129_lociStitched	chr19(.):39241019-39241604	0.7514
3_MACS_peak_16130_lociStitched	chr19(.):39260936-39266154	0.7799
1_MACS_peak_16133_lociStitched	chr19(.):39269529-39273026	1.0599
3_MACS_peak_16134_lociStitched	chr19(.):39278902-39285352	0.7683
1_MACS_peak_16137_lociStitched	chr19(.):39289635-39290391	0.7171
4_MACS_peak_16138_lociStitched	chr19(.):39291639-39294875	0.7861
1_MACS_peak_16142_lociStitched	chr19(.):39297290-39297739	0.5021
1_MACS_peak_16143_lociStitched	chr19(.):39300342-39300766	0.4884
1_MACS_peak_16144_lociStitched	chr19(.):39436166-39440389	0.9962
1_MACS_peak_16145_lociStitched	chr19(.):39442282-39444976	0.8097
1_MACS_peak_16146_lociStitched	chr19(.):39450857-39451328	0.8018
2_MACS_peak_16147_lociStitched	chr19(.):39465634-39467621	0.9606
1_MACS_peak_16149_lociStitched	chr19(.):39479074-39480078	0.7277
1_MACS_peak_16150_lociStitched	chr19(.):39486560-39486975	0.7265
1_MACS_peak_16151_lociStitched	chr19(.):39502744-39503235	0.6396
1_MACS_peak_16152_lociStitched	chr19(.):39505967-39506489	0.7301
1_MACS_peak_16153_lociStitched	chr19(.):39508366-39509193	0.6843
1_MACS_peak_16154_lociStitched	chr19(.):39510583-39511041	0.6555
2_MACS_peak_16155_lociStitched	chr19(.):39516454-39517984	0.7863
1_MACS_peak_16157_lociStitched	chr19(.):39522134-39524116	0.9244
2_MACS_peak_16158_lociStitched	chr19(.):39540660-39542397	0.735
3_MACS_peak_16160_lociStitched	chr19(.):39543654-39547235	0.7914
1_MACS_peak_16163_lociStitched	chr19(.):39550746-39551321	0.7292
1_MACS_peak_16164_lociStitched	chr19(.):39553497-39554157	0.7615
1_MACS_peak_16165_lociStitched	chr19(.):39558101-39559380	0.8909
2_MACS_peak_16166_lociStitched	chr19(.):39572223-39576974	1.2647
1_MACS_peak_16168_lociStitched	chr19(.):39578254-39579722	1.064
1_MACS_peak_16169_lociStitched	chr19(.):39580971-39581399	0.6578
5_MACS_peak_16170_lociStitched	chr19(.):39586803-39600130	0.9159
1_MACS_peak_16175_lociStitched	chr19(.):39603295-39603792	0.7315
1_MACS_peak_16176_lociStitched	chr19(.):39606293-39606762	0.6285
1_MACS_peak_16177_lociStitched	chr19(.):39678532-39680087	0.8957
1_MACS_peak_16178_lociStitched	chr19(.):39683787-39695707	1.2333
2_MACS_peak_16179_lociStitched	chr19(.):39696914-39697992	0.5183
1_MACS_peak_16181_lociStitched	chr19(.):39700333-39700888	0.6491
1_MACS_peak_16182_lociStitched	chr19(.):39702255-39703227	0.7066
6_MACS_peak_16183_lociStitched	chr19(.):39706092-39711959	0.6928
1_MACS_peak_16189_lociStitched	chr19(.):39719272-39719700	0.5541
5_MACS_peak_16190_lociStitched	chr19(.):39726344-39739865	0.9709
1_MACS_peak_16195_lociStitched	chr19(.):39744729-39745944	1.0099
2_MACS_peak_16196_lociStitched	chr19(.):39752956-39757695	1.3034
2_MACS_peak_16198_lociStitched	chr19(.):39758703-39763272	0.8605
1_MACS_peak_16200_lociStitched	chr19(.):39811910-39812325	0.5657
1_MACS_peak_16201_lociStitched	chr19(.):39916255-39916992	0.7454
5_MACS_peak_16202_lociStitched	chr19(.):39986703-40008671	1.1148
3_MACS_peak_16207_lociStitched	chr19(.):40361999-40364401	0.7298
1_MACS_peak_16210_lociStitched	chr19(.):40398919-40399407	0.6295
1_MACS_peak_16211_lociStitched	chr19(.):40731278-40732816	0.9935
2_MACS_peak_16212_lociStitched	chr19(.):40889401-40894171	0.8666
4_MACS_peak_16214_lociStitched	chr19(.):40895385-40905671	1.2152
1_MACS_peak_16218_lociStitched	chr19(.):40914181-40914886	0.7291
1_MACS_peak_16219_lociStitched	chr19(.):40924933-40925640	0.7562
2_MACS_peak_16220_lociStitched	chr19(.):40972178-40973776	0.9046
1_MACS_peak_16222_lociStitched	chr19(.):40981770-40982274	0.8302
1_MACS_peak_16223_lociStitched	chr19(.):40987002-40987397	0.7234
1_MACS_peak_16224_lociStitched	chr19(.):40991036-40991855	0.6694
1_MACS_peak_16225_lociStitched	chr19(.):40999634-41000201	0.8649
1_MACS_peak_16226_lociStitched	chr19(.):41003010-41003994	0.6853
6_MACS_peak_16227_lociStitched	chr19(.):41007699-41018647	0.8798
1_MACS_peak_16233_lociStitched	chr19(.):41019868-41021806	0.9092
3_MACS_peak_16234_lociStitched	chr19(.):41023686-41028275	0.9168
3_MACS_peak_16237_lociStitched	chr19(.):41037405-41040575	0.6808
1_MACS_peak_16240_lociStitched	chr19(.):41044627-41045501	0.7505
1_MACS_peak_16241_lociStitched	chr19(.):41048852-41049521	0.6786
1_MACS_peak_16242_lociStitched	chr19(.):41054593-41055313	0.8399
1_MACS_peak_16243_lociStitched	chr19(.):41056391-41056906	0.6316
6_MACS_peak_16244_lociStitched	chr19(.):41058308-41076212	0.9597
1_MACS_peak_16250_lociStitched	chr19(.):41077725-41078422	0.6212
3_MACS_peak_16251_lociStitched	chr19(.):41100777-41108763	1.5484
1_MACS_peak_16254_lociStitched	chr19(.):41118677-41119311	0.8343
3_MACS_peak_16255_lociStitched	chr19(.):41139697-41142399	0.7118
1_MACS_peak_16258_lociStitched	chr19(.):41151847-41152233	0.5589
2_MACS_peak_16259_lociStitched	chr19(.):41156116-41158424	0.5822
1_MACS_peak_16261_lociStitched	chr19(.):41169456-41169933	0.6181
2_MACS_peak_16262_lociStitched	chr19(.):41279762-41283184	0.8376
1_MACS_peak_16264_lociStitched	chr19(.):41316824-41317857	0.8682
3_MACS_peak_16265_lociStitched	chr19(.):41348991-41358059	0.9392
1_MACS_peak_16268_lociStitched	chr19(.):41370812-41371201	0.5706
5_MACS_peak_16269_lociStitched	chr19(.):41379583-41387823	0.9386
1_MACS_peak_16274_lociStitched	chr19(.):41393075-41393587	0.5273
1_MACS_peak_16275_lociStitched	chr19(.):41396851-41397393	0.8023
1_MACS_peak_16276_lociStitched	chr19(.):41399567-41400393	0.6686
2_MACS_peak_16277_lociStitched	chr19(.):41404966-41408554	0.8273
1_MACS_peak_16279_lociStitched	chr19(.):41409870-41410357	0.5908
2_MACS_peak_16280_lociStitched	chr19(.):41414954-41416270	0.7371
1_MACS_peak_16282_lociStitched	chr19(.):41418320-41418756	0.4981
2_MACS_peak_16283_lociStitched	chr19(.):41429107-41431181	0.5917
4_MACS_peak_16285_lociStitched	chr19(.):41444638-41449001	0.6645
1_MACS_peak_16289_lociStitched	chr19(.):41451257-41451812	0.6042
1_MACS_peak_16290_lociStitched	chr19(.):41454746-41455423	0.8436
1_MACS_peak_16291_lociStitched	chr19(.):41456758-41457212	0.5733
1_MACS_peak_16292_lociStitched	chr19(.):41515737-41516290	0.7638
1_MACS_peak_16293_lociStitched	chr19(.):41518001-41518511	0.7252
1_MACS_peak_16294_lociStitched	chr19(.):41524519-41525800	0.8029
1_MACS_peak_16295_lociStitched	chr19(.):41527191-41527653	0.7133
2_MACS_peak_16296_lociStitched	chr19(.):41531274-41534986	0.8159
3_MACS_peak_16298_lociStitched	chr19(.):41554070-41559394	0.779
1_MACS_peak_16301_lociStitched	chr19(.):41560633-41561522	0.7711
1_MACS_peak_16302_lociStitched	chr19(.):41570294-41570758	0.5769
3_MACS_peak_16303_lociStitched	chr19(.):41594213-41600509	0.8126
1_MACS_peak_16306_lociStitched	chr19(.):41603051-41603447	0.4515
1_MACS_peak_16307_lociStitched	chr19(.):41615358-41615991	0.619
3_MACS_peak_16308_lociStitched	chr19(.):41620235-41622477	0.6082
2_MACS_peak_16311_lociStitched	chr19(.):41629291-41630802	0.6729
1_MACS_peak_16313_lociStitched	chr19(.):41635003-41635783	0.7105
5_MACS_peak_16314_lociStitched	chr19(.):41637942-41645032	0.837
1_MACS_peak_16319_lociStitched	chr19(.):41646213-41647144	0.6986
1_MACS_peak_16320_lociStitched	chr19(.):41659194-41659691	0.5925
2_MACS_peak_16321_lociStitched	chr19(.):41661405-41662944	0.4623
7_MACS_peak_16323_lociStitched	chr19(.):41669861-41678182	0.6933
6_MACS_peak_16330_lociStitched	chr19(.):41679322-41685823	0.8183
1_MACS_peak_16336_lociStitched	chr19(.):41689656-41690066	0.7055
1_MACS_peak_16337_lociStitched	chr19(.):41692004-41692577	0.5504
4_MACS_peak_16338_lociStitched	chr19(.):41694793-41709800	1.004
1_MACS_peak_16342_lociStitched	chr19(.):41711824-41714510	0.966
2_MACS_peak_16343_lociStitched	chr19(.):41715543-41717212	0.7896
3_MACS_peak_16345_lociStitched	chr19(.):41722552-41730116	1.0633
3_MACS_peak_16348_lociStitched	chr19(.):41731362-41735016	0.8547
1_MACS_peak_16351_lociStitched	chr19(.):41742755-41744274	0.8613
1_MACS_peak_16352_lociStitched	chr19(.):41748676-41749572	0.7378
2_MACS_peak_16353_lociStitched	chr19(.):41754292-41755126	0.6044
4_MACS_peak_16355_lociStitched	chr19(.):41756172-41760914	0.7847
1_MACS_peak_16359_lociStitched	chr19(.):41762020-41762896	0.8126
2_MACS_peak_16360_lociStitched	chr19(.):42005792-42008353	0.7639
1_MACS_peak_16362_lociStitched	chr19(.):42011838-42012957	0.8172
2_MACS_peak_16363_lociStitched	chr19(.):42106843-42108731	0.59
1_MACS_peak_16365_lociStitched	chr19(.):42109817-42110622	0.6469
1_MACS_peak_16366_lociStitched	chr19(.):42119862-42120241	0.7139
3_MACS_peak_16367_lociStitched	chr19(.):42122944-42134375	0.9698
1_MACS_peak_16370_lociStitched	chr19(.):42145128-42146237	0.869
1_MACS_peak_16371_lociStitched	chr19(.):42148303-42148724	0.5291
4_MACS_peak_16372_lociStitched	chr19(.):42186255-42193654	0.7778
1_MACS_peak_16376_lociStitched	chr19(.):42195660-42196131	0.6198
5_MACS_peak_16377_lociStitched	chr19(.):42198638-42205965	0.755
5_MACS_peak_16382_lociStitched	chr19(.):42207391-42226564	1.0564
1_MACS_peak_16387_lociStitched	chr19(.):42231926-42232728	0.73
1_MACS_peak_16388_lociStitched	chr19(.):42233882-42234348	0.6426
1_MACS_peak_16389_lociStitched	chr19(.):42244170-42244781	0.8044
2_MACS_peak_16390_lociStitched	chr19(.):42248870-42257302	1.0971
4_MACS_peak_16392_lociStitched	chr19(.):42259474-42269708	0.988
4_MACS_peak_16396_lociStitched	chr19(.):42272194-42277232	0.6211
1_MACS_peak_16400_lociStitched	chr19(.):42280248-42285012	0.9193
27_MACS_peak_16401_lociStitched	chr19(.):42286092-42326604	0.8675
1_MACS_peak_16428_lociStitched	chr19(.):42329412-42329859	0.7162
1_MACS_peak_16429_lociStitched	chr19(.):42330992-42332196	0.6699
2_MACS_peak_16430_lociStitched	chr19(.):42333860-42335193	0.714
1_MACS_peak_16432_lociStitched	chr19(.):42336944-42337475	0.5041
1_MACS_peak_16433_lociStitched	chr19(.):42340333-42344120	0.9506
2_MACS_peak_16434_lociStitched	chr19(.):42345127-42346853	0.6889
4_MACS_peak_16436_lociStitched	chr19(.):42348168-42353493	1.0298
3_MACS_peak_16440_lociStitched	chr19(.):42354811-42358353	0.7509
2_MACS_peak_16443_lociStitched	chr19(.):42414509-42421304	1.5277
5_MACS_peak_16445_lociStitched	chr19(.):42422363-42446143	1.4957
8_MACS_peak_16450_lociStitched	chr19(.):42466832-42512389	1.3288
3_MACS_peak_16458_lociStitched	chr19(.):42521252-42530262	0.9862
4_MACS_peak_16461_lociStitched	chr19(.):42531393-42536571	0.6679
2_MACS_peak_16465_lociStitched	chr19(.):42555340-42559601	0.9647
1_MACS_peak_16467_lociStitched	chr19(.):42563253-42563785	0.6588
1_MACS_peak_16468_lociStitched	chr19(.):42565694-42566754	0.7121
1_MACS_peak_16469_lociStitched	chr19(.):42568840-42575263	1.3821
3_MACS_peak_16470_lociStitched	chr19(.):42650121-42661474	1.1547
1_MACS_peak_16473_lociStitched	chr19(.):42664233-42664674	0.5776
3_MACS_peak_16474_lociStitched	chr19(.):42679361-42684173	1.0419
2_MACS_peak_16477_lociStitched	chr19(.):42759752-42761570	0.8796
2_MACS_peak_16479_lociStitched	chr19(.):42765990-42767289	0.6398
3_MACS_peak_16481_lociStitched	chr19(.):42815449-42821420	0.9818
1_MACS_peak_16484_lociStitched	chr19(.):42823877-42829394	1.4202
1_MACS_peak_16485_lociStitched	chr19(.):42884238-42886296	0.8786
1_MACS_peak_16486_lociStitched	chr19(.):42892070-42897644	1.3702
2_MACS_peak_16487_lociStitched	chr19(.):43059429-43061979	0.7353
1_MACS_peak_16489_lociStitched	chr19(.):43069525-43070835	0.621
1_MACS_peak_16490_lociStitched	chr19(.):43098039-43098724	0.6416
2_MACS_peak_16491_lociStitched	chr19(.):43830732-43833066	0.8863
2_MACS_peak_16493_lociStitched	chr19(.):43857294-43858788	0.8879
11_MACS_peak_16495_lociStitched	chr19(.):43859790-43883406	0.8655
1_MACS_peak_16506_lociStitched	chr19(.):43964286-43965950	1.2181
1_MACS_peak_16507_lociStitched	chr19(.):44131336-44132001	0.8548
2_MACS_peak_16508_lociStitched	chr19(.):44137981-44139750	0.7343
3_MACS_peak_16510_lociStitched	chr19(.):44141007-44145976	0.7768
1_MACS_peak_16513_lociStitched	chr19(.):44220781-44224291	1.1523
1_MACS_peak_16515_lociStitched	chr19(.):44917577-44918170	2.286
1_MACS_peak_16516_lociStitched	chr19(.):44959354-44959783	1.6941
1_MACS_peak_16519_lociStitched	chr19(.):45033972-45034365	0.5411
2_MACS_peak_16520_lociStitched	chr19(.):45116697-45117673	0.6038
3_MACS_peak_16522_lociStitched	chr19(.):45121365-45123543	0.5935
1_MACS_peak_16525_lociStitched	chr19(.):45146568-45147157	0.731
1_MACS_peak_16526_lociStitched	chr19(.):45248984-45250629	0.9417
1_MACS_peak_16527_lociStitched	chr19(.):45275790-45276492	0.5837
1_MACS_peak_16528_lociStitched	chr19(.):45289947-45290507	0.8303
2_MACS_peak_16529_lociStitched	chr19(.):45294622-45297151	0.7853
2_MACS_peak_16531_lociStitched	chr19(.):45305448-45317708	1.1481
3_MACS_peak_16533_lociStitched	chr19(.):45319264-45331612	1.1262
9_MACS_peak_16536_lociStitched	chr19(.):45332883-45347953	0.9031
2_MACS_peak_16545_lociStitched	chr19(.):45349323-45360396	1.5802
7_MACS_peak_16547_lociStitched	chr19(.):45365584-45392023	1.1289
2_MACS_peak_16554_lociStitched	chr19(.):45408342-45418456	1.2731
1_MACS_peak_16556_lociStitched	chr19(.):45425103-45430710	0.9448
1_MACS_peak_16557_lociStitched	chr19(.):45434468-45435065	0.6365
2_MACS_peak_16558_lociStitched	chr19(.):45437440-45439742	0.7638
4_MACS_peak_16560_lociStitched	chr19(.):45657683-45668391	1.1736
2_MACS_peak_16564_lociStitched	chr19(.):45701707-45703171	0.5691
1_MACS_peak_16566_lociStitched	chr19(.):45705715-45706476	0.5897
6_MACS_peak_16567_lociStitched	chr19(.):45713834-45732245	1.0736
6_MACS_peak_16573_lociStitched	chr19(.):45733666-45750724	1.0916
1_MACS_peak_16579_lociStitched	chr19(.):45752610-45753159	0.704
1_MACS_peak_16580_lociStitched	chr19(.):45807914-45808562	0.6301
1_MACS_peak_16581_lociStitched	chr19(.):45809710-45810220	0.6358
4_MACS_peak_16582_lociStitched	chr19(.):45816313-45828706	1.0195
1_MACS_peak_16586_lociStitched	chr19(.):45831311-45831905	0.6656
3_MACS_peak_16587_lociStitched	chr19(.):45843955-45852180	1.1182
1_MACS_peak_16590_lociStitched	chr19(.):45889212-45890219	1.0571
1_MACS_peak_16591_lociStitched	chr19(.):45931546-45932623	1.0646
5_MACS_peak_16592_lociStitched	chr19(.):45964177-45970015	0.7366
8_MACS_peak_16597_lociStitched	chr19(.):45989003-46003310	1.1498
3_MACS_peak_16605_lociStitched	chr19(.):46091988-46106585	1.107
1_MACS_peak_16608_lociStitched	chr19(.):46146625-46147724	0.7662
1_MACS_peak_16609_lociStitched	chr19(.):46156711-46158021	0.9254
4_MACS_peak_16610_lociStitched	chr19(.):46159223-46165866	0.9679
2_MACS_peak_16614_lociStitched	chr19(.):46166961-46168259	0.9039
1_MACS_peak_16616_lociStitched	chr19(.):46170022-46173304	1.0348
5_MACS_peak_16617_lociStitched	chr19(.):46176721-46181678	0.772
2_MACS_peak_16622_lociStitched	chr19(.):46248245-46249686	0.731
1_MACS_peak_16624_lociStitched	chr19(.):46251049-46251477	0.514
1_MACS_peak_16625_lociStitched	chr19(.):46261982-46262680	0.9364
1_MACS_peak_16626_lociStitched	chr19(.):46264579-46271795	1.2479
1_MACS_peak_16627_lociStitched	chr19(.):46284536-46285012	0.6179
4_MACS_peak_16628_lociStitched	chr19(.):46366767-46381548	1.1886
3_MACS_peak_16632_lociStitched	chr19(.):46407327-46409919	0.8292
3_MACS_peak_16635_lociStitched	chr19(.):46413625-46424244	0.9232
4_MACS_peak_16638_lociStitched	chr19(.):46425296-46429622	0.7756
7_MACS_peak_16642_lociStitched	chr19(.):46431522-46440750	0.7994
1_MACS_peak_16649_lociStitched	chr19(.):46446209-46446756	0.5745
5_MACS_peak_16650_lociStitched	chr19(.):46449164-46454703	0.747
1_MACS_peak_16655_lociStitched	chr19(.):46456417-46457053	0.8712
1_MACS_peak_16656_lociStitched	chr19(.):46458536-46459247	0.6623
17_MACS_peak_16657_lociStitched	chr19(.):46461372-46493807	0.9211
1_MACS_peak_16674_lociStitched	chr19(.):46579966-46581151	0.9654
1_MACS_peak_16675_lociStitched	chr19(.):46607529-46608497	0.7074
1_MACS_peak_16676_lociStitched	chr19(.):46690813-46691377	0.6456
